run,column,right_step,MG,MG_2E,ident_ratio,PRdelay,roughness,acorr,oscillations,degenerate
g_p1_p97,train_loss,33320,19.42262234455296,19.48908509335075,1.003421924579429,1.0017776268087895,0.001377655150461128,556.0,2,False
g_p1_p97,train_loss,43320,18.753137136996838,18.734679976356958,0.9990157827725012,1.0001554951991027,0.003457965422626283,301.0,2,False
g_p1_p97,train_loss,53320,18.24568629234021,18.20267891602823,0.9976428742869466,1.000064922905927,0.0015021319899930711,541.0,2,False
g_p1_p97,train_loss,63320,19.318501843383117,19.276534828237633,0.9978276257918075,1.0000117850295875,0.0008353200870182394,643.0,2,False
g_p1_p97,train_loss,73320,21.4680055119249,21.46850421048765,1.0000232298506946,1.000003507639525,0.0005856630582079504,679.0,2,False
g_p1_p97,train_loss,83320,23.612410045583562,23.603725075690917,0.9996321862158128,1.0000013436815698,0.00045581853022916486,696.0,2,False
g_p1_p97,train_loss,93320,25.060517872703947,25.02831037755928,0.9987148112697324,1.0000006241823751,0.0003765420826369582,704.0,2,False
g_p1_p97,weight_norm,33320,24.559677848411077,25.94490040108725,1.0564023095590316,1.0017729247654967,0.0014707596412874438,507.0,2,False
g_p1_p97,weight_norm,43320,27.17411491541702,28.707311065325268,1.0564211991698909,1.007282531047286,0.0055004276021864635,180.0,2,False
g_p1_p97,weight_norm,53320,24.009178362808896,24.16296383149373,1.0064052782798705,1.0000123834756285,0.00035894517295655874,705.0,2,False
g_p1_p97,weight_norm,63320,24.721564806007535,24.677847818876756,0.9982316254058419,1.0000007883766218,0.00040186826842294814,701.0,2,False
g_p1_p97,weight_norm,73320,25.603267558022967,25.576367448697436,0.9989493485835521,1.0000005416203583,0.0003378518955144885,708.0,2,False
g_p1_p97,weight_norm,83320,26.501435263879404,26.458401091253876,0.9983761569063324,1.0000002872986684,0.00028854689067945064,713.0,2,False
g_p1_p97,weight_norm,93320,27.032907015273825,26.990061639280768,0.9984150659058292,1.000000155732912,0.00025322776143272093,716.0,2,False
g_p1x_p97,train_loss,33320,18.663992014975594,18.62502951818677,0.997912424268208,1.0007136485101593,0.0008628898832067867,690.0,2,False
g_p1x_p97,train_loss,43320,18.6903282042591,18.634171558969946,0.9969954168447209,1.0001529057037861,0.0019945656244812347,455.0,2,False
g_p1x_p97,train_loss,53320,19.96784244675419,19.92395853108618,0.9978022705364873,1.0000202346731135,0.0008479269791261751,640.0,2,False
g_p1x_p97,train_loss,63320,22.583148595858326,22.61740261991155,1.0015167957606899,1.0000050486947787,0.0005249000703392972,687.0,2,False
g_p1x_p97,train_loss,73320,24.701346902307822,24.668340996928965,0.9986638013906937,1.000000376566959,0.0003969435275634977,704.0,2,False
g_p1x_p97,train_loss,83320,25.693105052924945,25.62831727910807,0.9974783984386699,1.000000537186672,0.0003486693423508227,706.0,2,False
g_p1x_p97,train_loss,93320,26.447318034590346,26.398810827159227,0.9981658931401787,1.0000012013995738,0.0002838256997779497,711.0,2,False
g_p1x_p97,weight_norm,33320,18.705238929941668,18.71404030108091,1.0004705297361989,1.0006494524555447,0.0008981504289478391,646.0,2,False
g_p1x_p97,weight_norm,43320,19.596317977275707,19.534176763097097,0.9968289341778047,1.0003300354482834,0.0023160587561564345,422.0,2,False
g_p1x_p97,weight_norm,53320,21.212127909506385,21.18711607299082,0.9988208709365571,1.0000177740402045,0.000694858545076571,664.0,2,False
g_p1x_p97,weight_norm,63320,24.399009583025315,24.40362704162368,1.0001892477882208,1.0000031683149007,0.0004203713149366266,699.0,2,False
g_p1x_p97,weight_norm,73320,25.910037714106025,25.8837173335064,0.9989841627831636,1.0000003445347494,0.0003190918319539191,711.0,2,False
g_p1x_p97,weight_norm,83320,26.644324730308178,26.5891375076739,0.997928743805937,1.0000002672805055,0.00027818408367548994,713.0,2,False
g_p1x_p97,weight_norm,93320,27.220080197347684,27.182367304993292,0.9986145194253297,1.0000008606116568,0.00022873530097940488,715.0,2,False
g_p2_p97,train_loss,33320,20.01579049201948,20.100292074474154,1.0042217459504468,1.0038820632407757,0.0019870587963527423,459.0,2,False
g_p2_p97,train_loss,43320,18.639277038500822,18.573674744286155,0.9964804271067402,1.0020842004081345,0.00543248266775463,267.0,2,False
