step,lam_max,eta_lam_over_2,power_iters,power_rel_change
0,9.328944727826638e-09,0.009328944727826638,30,7.283315647094509e-05
100,1.2563893925232605e-08,0.012563893925232605,24,7.61362809738403e-05
200,2.158813749986166e-08,0.02158813749986166,19,7.759374793518758e-05
300,3.328810294078721e-08,0.03328810294078721,30,0.00738353393595231
400,1.2105627433811605e-07,0.12105627433811605,30,0.0004264796307552739
500,6.012613766870345e-07,0.6012613766870345,30,0.000773717650916067
600,5.421462674348732e-07,0.5421462674348732,30,0.0016843969586281071
700,1.2065046348652686e-06,1.2065046348652686,30,0.0006663822857647382
800,2.1772018499177648e-07,0.21772018499177648,26,9.12491181862756e-05
900,1.4517859199258965e-06,1.4517859199258965,30,0.00041910583863297575
1000,1.3331045920494944e-06,1.3331045920494944,30,0.0004303216616044602
1100,1.1507009958222625e-06,1.1507009958222625,30,0.0005869583022490452
1200,1.0385725772721344e-06,1.0385725772721344,30,0.0006099362467750387
1300,1.0318178738089046e-06,1.0318178738089046,30,0.00052875914255298
1400,1.0096644018631196e-06,1.0096644018631196,30,0.00045365991742916587
1500,1.0088733688462526e-06,1.0088733688462526,30,0.00039248856002336674
1600,1.0107634125233744e-06,1.0107634125233744,30,0.0004440560765891004
1700,9.98594600787328e-07,0.9985946007873281,30,0.00039265774418638274
1800,9.918491059579537e-07,0.9918491059579537,30,0.0003996837833033045
1900,9.956658004739438e-07,0.9956658004739438,30,0.0003676651515893696
2000,1.0021960861195112e-06,1.0021960861195112,30,0.00045080149420163103
2100,9.90322064353677e-07,0.990322064353677,30,0.0001827581674360992
2200,1.0001772352552507e-06,1.0001772352552507,30,0.0002226730495818657
2300,9.861659009402501e-07,0.9861659009402501,30,0.00038077530832943395
2400,9.899376891553402e-07,0.9899376891553402,30,0.0003346508055506556
2500,9.88423039416375e-07,0.9884230394163751,30,0.0004864128187548085
2600,9.888856311590644e-07,0.9888856311590644,30,0.00035420592228623194
2700,9.91661977423064e-07,0.991661977423064,30,0.00033831070037422826
2800,9.899837323246174e-07,0.9899837323246174,30,0.00027825023665050563
2900,9.830619092099369e-07,0.9830619092099369,30,0.0005498950862624065
3000,9.917765737554873e-07,0.9917765737554873,30,0.00028279093908944525
3100,9.828225984165329e-07,0.9828225984165329,30,0.0003499132851258861
3200,9.846374950939207e-07,0.9846374950939207,30,0.00043932758978418453
3300,9.850193691818276e-07,0.9850193691818276,30,0.00025645399605416327
3400,9.890468390949536e-07,0.9890468390949536,30,0.0002724216839384313
3500,9.844839041761588e-07,0.9844839041761588,30,0.0004392806513732948
3600,9.870975645753788e-07,0.9870975645753788,30,0.0004040263506262293
3700,9.854212521531736e-07,0.9854212521531736,30,0.0005587309527602959
3800,9.806693697100854e-07,0.9806693697100854,30,0.0004851578223612892
3900,9.815119028644403e-07,0.9815119028644403,30,0.00042184660397267843
4000,9.791708635020768e-07,0.9791708635020768,30,0.0004574545233312256
4100,9.797565780900186e-07,0.9797565780900186,30,0.000543511684224817
4200,9.800812676985515e-07,0.9800812676985515,30,0.000657705020110462
4300,9.821025059864041e-07,0.9821025059864041,30,0.0004324742306826344
4400,9.848367881204467e-07,0.9848367881204467,30,0.00047329267172097067
4500,9.837539209911483e-07,0.9837539209911483,30,0.0005421121526151451
4600,9.814107215788681e-07,0.9814107215788681,30,0.0005134038723070044
4700,9.801955229704618e-07,0.9801955229704618,30,0.0004681107659560994
4800,9.866073469311232e-07,0.9866073469311232,30,0.0005880190682726667
4900,9.803019338505692e-07,0.9803019338505692,30,0.000549819682106576
5000,9.77534000412561e-07,0.977534000412561,30,0.0005609130916161926
5100,9.82293272500101e-07,0.982293272500101,30,0.0006642097425993389
5200,9.823392019825405e-07,0.9823392019825405,30,0.0006339729655317995
5300,9.845637123362394e-07,0.9845637123362394,30,0.0004872802533487816
5400,9.841825203693588e-07,0.9841825203693588,30,0.0005381796221560892
5500,9.828693237068364e-07,0.9828693237068364,30,0.0004472893708916061
5600,9.820219020184595e-07,0.9820219020184595,30,0.0005445732763630655
5700,9.822933861869387e-07,0.9822933861869387,30,0.0005997446397967488
5800,9.834086540649878e-07,0.9834086540649878,30,0.0005018407764763494
5900,9.783942687136005e-07,0.9783942687136005,30,0.0006081770178573275
6000,9.792163382371655e-07,0.9792163382371655,30,0.0006466759809679892
6100,9.784818075786461e-07,0.9784818075786461,30,0.0006746977424987658
6200,9.761829460330773e-07,0.9761829460330773,30,0.0006407661429511765
