step,lam_max,eta_lam_over_2,power_iters,power_rel_change
0,9.328944727826638e-09,0.0004664472363913319,30,7.283315647094509e-05
100,8.698842535181939e-09,0.00043494212675909694,30,0.0008074309788436339
200,7.69027597158356e-09,0.000384513798579178,30,0.01844492122809994
300,6.596533985714359e-09,0.00032982669928571795,30,0.032234792959830415
400,2.642237539873804e-09,0.0001321118769936902,30,0.1847113931752213
500,5.727620600026739e-09,0.00028638103000133697,60,0.003684835099719345
600,6.5469365484460695e-09,0.0003273468274223035,60,0.003816444801385267
700,5.705665273580962e-09,0.0002852832636790481,60,0.0003868678201119585
800,5.927977220210323e-09,0.00029639886101051616,60,0.00021574370376680526
900,3.803720893813534e-09,0.00019018604469067668,30,0.0030754617103732796
1000,6.386996265206335e-09,0.00031934981326031675,30,0.000582593653546385
1100,6.67463417869385e-09,0.0003337317089346925,30,0.00024331434456824179
1200,6.94217749952486e-09,0.000347108874976243,30,0.00020527885875957323
1300,7.243027955183834e-09,0.0003621513977591917,30,0.00019638440552086043
1400,7.637829035900268e-09,0.0003818914517950134,30,0.0006667883026214176
1500,8.185990552078692e-09,0.0004092995276039346,30,0.003250437308484273
1600,8.743123558474508e-09,0.0004371561779237254,30,0.008200423369560911
1700,1.0025543062397446e-08,0.0005012771531198723,30,0.004415048586264872
1800,1.0944548378688523e-08,0.0005472274189344262,30,0.0010971018301044611
1900,1.1776199571045254e-08,0.0005888099785522627,26,7.572316756345322e-05
2000,1.2561020668044875e-08,0.0006280510334022438,24,6.674938688142622e-05
2100,1.3307486668168167e-08,0.0006653743334084083,30,0.00023573543649566326
2200,1.401730820305147e-08,0.0007008654101525735,22,6.729148478851275e-05
2300,1.4679062410039023e-08,0.0007339531205019512,23,7.62381668230255e-05
2400,1.529481075124295e-08,0.0007647405375621474,18,7.560788565857779e-05
2500,1.586552400567598e-08,0.000793276200283799,18,7.579917182966884e-05
2600,1.639358515603817e-08,0.0008196792578019085,17,8.863588292608505e-05
