metric,W,series,pre,transition,delta
embed_grad_norm,50,mle_raw,14.4027748280677,8.272560893377605,-6.1302139346900955
embed_grad_norm,50,mle_detrended,14.137465423881983,12.247859345300252,-1.8896060785817301
embed_grad_norm,100,mle_raw,15.15715666286528,11.36098797975494,-3.7961686831103396
embed_grad_norm,100,mle_detrended,14.630518850706721,12.00643885853699,-2.6240799921697313
embed_grad_norm,150,mle_raw,15.199648393548149,15.24138770716533,0.04173931361718175
embed_grad_norm,150,mle_detrended,13.952971165958013,13.372788282739881,-0.5801828832181322
grad_cosine,50,mle_raw,14.35990843920238,13.083930011835111,-1.275978427367269
grad_cosine,50,mle_detrended,16.53440192781519,13.176781539499274,-3.3576203883159152
grad_cosine,100,mle_raw,14.972605653035576,13.04184862526374,-1.9307570277718362
grad_cosine,100,mle_detrended,15.539833378722312,12.923576886370816,-2.6162564923514964
grad_cosine,150,mle_raw,15.229580303183843,15.678314534793216,0.4487342316093734
grad_cosine,150,mle_detrended,15.292628464667327,15.72517841892208,0.4325499542547533
grad_norm,50,mle_raw,13.326680146033231,10.370136170012504,-2.9565439760207273
grad_norm,50,mle_detrended,10.516978996674705,16.025489972904744,5.508510976230038
grad_norm,100,mle_raw,15.58216994963757,17.605248026458707,2.023078076821136
grad_norm,100,mle_detrended,14.408563421179153,17.372129114763464,2.963565693584311
grad_norm,150,mle_raw,15.431488543676153,16.451446115076237,1.0199575714000844
grad_norm,150,mle_detrended,14.945381979092238,17.24224654718349,2.2968645680912534
train_loss,50,mle_raw,7.674911005097963,6.6474424764893,-1.0274685286086624
train_loss,50,mle_detrended,10.960193601177124,12.826551650192528,1.8663580490154033
train_loss,100,mle_raw,12.089071620830087,7.309852107181814,-4.779219513648273
train_loss,100,mle_detrended,12.644606655704106,11.871817262316082,-0.7727893933880239
train_loss,150,mle_raw,13.96127038545174,8.391627794686524,-5.569642590765216
train_loss,150,mle_detrended,11.258076972504835,12.677517159027099,1.4194401865222641
val_loss,50,mle_raw,1.4520423057794962,1.4535998133792867,0.001557507599790453
val_loss,50,mle_detrended,4.323181609353673,1.6705446529658832,-2.65263695638779
val_loss,100,mle_raw,1.71641911537832,1.41505657517422,-0.3013625402041
val_loss,100,mle_detrended,3.4602472991696436,1.814252279445078,-1.6459950197245656
val_loss,150,mle_raw,2.146967162790859,1.480556439688626,-0.6664107231022331
val_loss,150,mle_detrended,4.17581423131824,2.3914772331861616,-1.7843369981320785
weight_norm,50,mle_raw,2.100581010424308,1.5511816548182318,-0.5493993556060763
weight_norm,50,mle_detrended,2.1867668618494682,3.2783335121634307,1.0915666503139625
weight_norm,100,mle_raw,3.6365704821349736,1.8431401302873833,-1.7934303518475903
weight_norm,100,mle_detrended,4.35871867015588,2.264249460973889,-2.094469209181991
weight_norm,150,mle_raw,4.899815352879357,2.612206996440575,-2.287608356438782
weight_norm,150,mle_detrended,5.078346479211758,2.443352590141293,-2.634993889070465
