observer,MAE,max_error,rho,inversions
weight_fro,1.3370232279729821,4.630562983694697,0.9796992481203006,3.5
weight_trace,1.377721821669736,3.7389794926053987,0.9834586466165411,4.0
gradient_fro,1.7283485460670693,5.422919471830424,0.9601503759398495,5.5
loss,1.733359700399095,5.419904796801045,0.9601503759398495,5.5
weight_projection,3.4817616961364184,9.893748595665132,0.9804511278195487,5.0
gradient_projection,3.835976364568853,9.835159058531842,0.9646616541353382,4.5
