step,train_loss,probe_loss,grad_norm,lr
0,4.2038679122924805,4.191614627838135,1.6505088806152344,0.03
1,4.126891136169434,4.124297618865967,1.5296448469161987,0.03
2,4.057527542114258,4.0643839836120605,1.5236915349960327,0.03
3,3.9884488582611084,4.004802227020264,1.5025161504745483,0.03
4,3.922145366668701,3.9473581314086914,1.4400146007537842,0.03
5,3.861711263656616,3.8947436809539795,1.359013557434082,0.03
6,3.8080458641052246,3.847931146621704,1.2745356559753418,0.03
7,3.7609095573425293,3.8068735599517822,1.1917088031768799,0.03
8,3.719730854034424,3.7711575031280518,1.1125408411026,0.03
9,3.683846950531006,3.7402262687683105,1.0385161638259888,0.03
10,3.652560234069824,3.713458776473999,0.9708666801452637,0.03
11,3.6251797676086426,3.6902194023132324,0.9103183746337891,0.03
12,3.6010632514953613,3.6699066162109375,0.8569581508636475,0.03
13,3.5796444416046143,3.651991367340088,0.8103216886520386,0.03
14,3.5604515075683594,3.6360301971435547,0.7696161866188049,0.03
15,3.543102264404297,3.6216659545898438,0.7339462041854858,0.03
16,3.5272953510284424,3.608616590499878,0.7024737596511841,0.03
17,3.512791395187378,3.5966620445251465,0.6744948625564575,0.03
18,3.4994003772735596,3.5856261253356934,0.6494565010070801,0.03
19,3.4869699478149414,3.5753679275512695,0.6269404292106628,0.03
20,3.475372791290283,3.5657715797424316,0.6066377758979797,0.03
21,3.4645020961761475,3.556739091873169,0.5883223414421082,0.03
22,3.4542665481567383,3.548185348510742,0.571829617023468,0.03
23,3.4445860385894775,3.540036201477051,0.5570392608642578,0.03
24,3.4353902339935303,3.5322251319885254,0.5438632965087891,0.03
25,3.4266140460968018,3.524691581726074,0.5322347283363342,0.03
26,3.418199062347412,3.517380475997925,0.5220993161201477,0.03
27,3.4100918769836426,3.5102405548095703,0.5134067535400391,0.03
28,3.402243137359619,3.503225326538086,0.5061025023460388,0.03
29,3.394606590270996,3.496291160583496,0.5001180171966553,0.03
30,3.387141227722168,3.4894001483917236,0.495361864566803,0.03
31,3.3798089027404785,3.4825189113616943,0.4917100965976715,0.03
32,3.37257719039917,3.475619316101074,0.48899948596954346,0.03
33,3.365419387817383,3.468682050704956,0.48702308535575867,0.03
34,3.3583157062530518,3.4616951942443848,0.48553329706192017,0.03
35,3.3512535095214844,3.454657554626465,0.48425164818763733,0.03
36,3.344228506088257,3.4475769996643066,0.4828891158103943,0.03
37,3.3372457027435303,3.4404709339141846,0.48117324709892273,0.03
38,3.3303158283233643,3.433365821838379,0.47887930274009705,0.03
39,3.3234574794769287,3.4262924194335938,0.4758577346801758,0.03
40,3.3166909217834473,3.419285535812378,0.4720506966114044,0.03
41,3.310037612915039,3.412376880645752,0.46749335527420044,0.03
42,3.3035175800323486,3.405594825744629,0.46229788661003113,0.03
43,3.297145128250122,3.398960590362549,0.4566258490085602,0.03
44,3.290931224822998,3.392489194869995,0.45065754652023315,0.03
45,3.2848799228668213,3.3861870765686035,0.4445652663707733,0.03
46,3.27899169921875,3.380056142807007,0.4384962022304535,0.03
47,3.2732627391815186,3.3740930557250977,0.43256503343582153,0.03
48,3.267686605453491,3.368291139602661,0.4268549978733063,0.03
49,3.262256145477295,3.3626420497894287,0.4214225709438324,0.03
50,3.2569611072540283,3.3571364879608154,0.41630348563194275,0.03
51,3.2517924308776855,3.351764440536499,0.41151943802833557,0.03
52,3.2467401027679443,3.3465163707733154,0.40708208084106445,0.03
53,3.241793632507324,3.3413829803466797,0.40299710631370544,0.03
54,3.236945152282715,3.336355686187744,0.39926639199256897,0.03
55,3.2321832180023193,3.331425428390503,0.3958896994590759,0.03
56,3.2274999618530273,3.3265860080718994,0.3928660452365875,0.03
57,3.222885847091675,3.3218281269073486,0.39019379019737244,0.03
58,3.218332290649414,3.317145586013794,0.3878713548183441,0.03
59,3.2138311862945557,3.312530994415283,0.3858973979949951,0.03
60,3.2093732357025146,3.3079774379730225,0.38427025079727173,0.03
61,3.204951524734497,3.303478479385376,0.38298851251602173,0.03
62,3.200557231903076,3.29902720451355,0.3820498585700989,0.03
63,3.1961820125579834,3.2946159839630127,0.3814516067504883,0.03
64,3.1918187141418457,3.290238380432129,0.38118940591812134,0.03
65,3.187459707260132,3.2858872413635254,0.3812575340270996,0.03
66,3.1830976009368896,3.281555652618408,0.38164806365966797,0.03
67,3.1787240505218506,3.2772367000579834,0.38235044479370117,0.03
68,3.174333333969116,3.272923231124878,0.3833509087562561,0.03
69,3.1699178218841553,3.2686080932617188,0.38463178277015686,0.03
70,3.165470838546753,3.2642853260040283,0.3861711323261261,0.03
71,3.160987377166748,3.2599496841430664,0.38794171810150146,0.03
72,3.156461238861084,3.25559401512146,0.38991042971611023,0.03
73,3.151887893676758,3.2512142658233643,0.39203763008117676,0.03
74,3.147264242172241,3.2468056678771973,0.39427700638771057,0.03
75,3.142587661743164,3.2423651218414307,0.39657461643218994,0.03
76,3.1378557682037354,3.2378904819488525,0.39886990189552307,0.03
77,3.1330695152282715,3.2333807945251465,0.4010964035987854,0.03
78,3.1282308101654053,3.2288360595703125,0.4031836688518524,0.03
79,3.123342275619507,3.2242579460144043,0.40506017208099365,0.03
80,3.118410587310791,3.219650983810425,0.40665745735168457,0.03
81,3.1134417057037354,3.215017795562744,0.40791523456573486,0.03
82,3.1084439754486084,3.2103652954101562,0.40878671407699585,0.03
83,3.1034281253814697,3.2056992053985596,0.4092440605163574,0.03
84,3.0984034538269043,3.2010271549224854,0.40928226709365845,0.03
85,3.0933802127838135,3.196355104446411,0.40892133116722107,0.03
86,3.0883679389953613,3.191690444946289,0.40820470452308655,0.03
87,3.0833754539489746,3.187037944793701,0.407195121049881,0.03
88,3.07840895652771,3.1824028491973877,0.4059675335884094,0.03
89,3.0734732151031494,3.1777865886688232,0.4046006202697754,0.03
90,3.068570852279663,3.1731929779052734,0.4031689167022705,0.03
91,3.063703775405884,3.168621778488159,0.4017356336116791,0.03
92,3.058871030807495,3.164074420928955,0.4003491997718811,0.03
93,3.0540707111358643,3.1595497131347656,0.39904147386550903,0.03
94,3.0493016242980957,3.155048370361328,0.39782872796058655,0.03
95,3.044560432434082,3.1505696773529053,0.39671438932418823,0.03
96,3.0398452281951904,3.1461126804351807,0.395691841840744,0.03
97,3.0351545810699463,3.1416783332824707,0.3947478234767914,0.03
98,3.030485153198242,3.1372663974761963,0.3938648998737335,0.03
99,3.025836229324341,3.1328768730163574,0.39302369952201843,0.03
100,3.021207332611084,3.128511428833008,0.3922044634819031,0.03
101,3.0165975093841553,3.1241698265075684,0.3913882076740265,0.03
102,3.012006998062134,3.1198530197143555,0.3905572295188904,0.03
103,3.0074360370635986,3.1155617237091064,0.3896960914134979,0.03
104,3.002885580062866,3.111297845840454,0.38879135251045227,0.03
105,2.998356580734253,3.1070613861083984,0.38783225417137146,0.03
106,2.9938502311706543,3.1028554439544678,0.3868107199668884,0.03
107,2.989367961883545,3.098679780960083,0.3857213258743286,0.03
108,2.9849114418029785,3.0945358276367188,0.384561151266098,0.03
109,2.9804821014404297,3.0904252529144287,0.38332968950271606,0.03
