run,column,right_step,MG,MG_2E,ident_ratio,PRdelay,roughness,acorr,oscillations,degenerate
a_add,train_loss,33320,20.79589548164234,20.771604873176056,0.9988319517912693,1.0014323615604812,0.0011695888782766793,699.0,3,False
a_add,train_loss,43320,19.39104968232107,19.42724722756894,1.0018667140686495,1.0016048117614764,0.0028346107817315853,255.0,2,False
a_add,train_loss,53320,17.931530911105973,17.89476182395947,0.9979494730634667,1.0000927000104058,0.0017780423276315637,505.0,2,False
a_add,train_loss,63320,18.238640704541787,18.205592987555775,0.9981880383784422,1.0000120655890041,0.0009799243725592207,619.0,2,False
a_add,train_loss,73320,19.54081586385772,19.51933515320197,0.9989007260082993,1.0000038846850146,0.0007132224522458105,661.0,2,False
a_add,train_loss,83320,21.566718693493385,21.562949262649713,0.9998252200115723,1.0000017039569125,0.000568455164384762,682.0,2,False
a_add,train_loss,93320,23.332702657109643,23.31688286901035,0.9993219907555598,1.0000008768887296,0.00047476026016533276,694.0,2,False
a_add,weight_norm,33320,20.06800415084505,20.45296889988092,1.0191830112323184,1.001359105222087,0.001207547506179574,619.0,2,False
a_add,weight_norm,43320,19.4817653894545,19.781100916859444,1.0153649077186286,1.0044030150242484,0.004821048077723842,165.0,2,False
a_add,weight_norm,53320,18.299440103363946,18.263666941861306,0.9980451226212073,1.0000203404840784,0.0010422512930884417,612.0,2,False
a_add,weight_norm,63320,19.536059637746884,19.520486922068514,0.9992028732524812,1.0000039666102793,0.000712876740669314,661.0,2,False
a_add,weight_norm,73320,21.53373869683742,21.531757898732707,0.9999080142035435,1.000001431425275,0.0005714309415589462,682.0,2,False
a_add,weight_norm,83320,22.907901110834278,22.877318869702588,0.9986649915684669,1.000000614212207,0.0004895835234861779,693.0,2,False
a_add,weight_norm,93320,23.996463269058395,23.979298768808192,0.9992847070812999,1.0000003072083623,0.0004392002581697881,699.0,2,False
a_mul,train_loss,33320,21.159409467290512,21.056028021211944,0.9951141620356475,1.0015569221059664,0.0012354939233189424,691.0,2,False
a_mul,train_loss,43320,19.469311595359393,19.530216794280882,1.0031282666889982,1.001417640520573,0.0031200846259497846,236.0,2,False
a_mul,train_loss,53320,17.96326944969661,17.925041375337234,0.9978718754697506,1.000102126862214,0.0017972445937928549,504.0,2,False
a_mul,train_loss,63320,18.291965787178093,18.25760722006978,0.9981216580269138,1.0000118591110272,0.0009620327354687889,622.0,2,False
a_mul,train_loss,73320,19.62804997121988,19.608181815173467,0.9989877671966626,1.0000035690177553,0.0007019906237826747,663.0,2,False
a_mul,train_loss,83320,21.632724688948475,21.63120874862364,0.9999299237453149,1.000001572072731,0.0005638014286501568,682.0,2,False
a_mul,train_loss,93320,23.352661230504236,23.333440736099607,0.9991769462925484,1.0000008370439166,0.00047350066419403,694.0,2,False
a_mul,weight_norm,33320,20.228711029882582,20.538526648597657,1.0153156381668316,1.0014297591210959,0.0012387458874416266,616.0,2,False
a_mul,weight_norm,43320,19.72360027358624,19.98144682788481,1.0130729963455951,1.0048356646813492,0.005141044777524803,155.0,2,False
a_mul,weight_norm,53320,18.698120546437117,18.65686878738475,0.9977938018449545,1.0000231881442012,0.001028440367508184,614.0,2,False
a_mul,weight_norm,63320,20.315215672862987,20.308291791007854,0.9996591775363536,1.0000050842308594,0.0006715963791735202,667.0,2,False
a_mul,weight_norm,73320,22.68267545775428,22.679538259373082,0.9998616918719734,1.0000017382974744,0.0005142373336118999,689.0,2,False
a_mul,weight_norm,83320,24.111398512187957,24.08298721521331,0.998821665323134,1.0000007908518924,0.0004242310105070157,700.0,2,False
a_mul,weight_norm,93320,25.328519666394154,25.314655333026487,0.999452619673385,1.0000004391451456,0.0003652965377658104,706.0,2,False
x_mix_quad,train_loss,19990,18.877299900231975,18.792568514712368,0.9955114668958263,1.0011084817611076,0.0010095922276602575,472.0,3,False
x_mix_quad,train_loss,29990,18.268236866538565,18.245635412136686,0.9987628004515707,1.0000994349350096,0.0021800345984755694,326.0,2,False
x_mix_quad,train_loss,39990,17.89380149386382,17.826803070433982,0.9962557747467573,1.000013289061375,0.000959373449498542,408.0,2,False
x_mix_quad,train_loss,49990,20.39361964171323,20.38789683647939,0.9997193825650187,1.0000027445948563,0.0006030252489818614,423.0,2,False
x_mix_quad,weight_norm,19990,18.72433521179711,18.732837083474003,1.000454054660992,1.0009035686524805,0.0009251567983904627,471.0,3,False
x_mix_quad,weight_norm,29990,18.454068057859,18.43200482159857,0.9988044242499131,1.0002060567432367,0.0026092376091182575,296.0,2,False
x_mix_quad,weight_norm,39990,18.993638610074665,18.942738922873197,0.997320171861411,1.0000149272503187,0.0008175681102453623,414.0,2,False
x_mix_quad,weight_norm,49990,22.262053333512885,22.22015897981788,0.9981181271526317,1.000001574868878,0.0004878925812655933,427.0,2,False
x_no_grok,train_loss,33320,18.70865647171546,18.70002376942529,0.9995385717673942,1.0007212992202181,0.0008657803815863459,691.0,2,False
x_no_grok,train_loss,43320,18.60051211377578,18.540171234390954,0.9967559560179994,1.0001443205754168,0.0019893561964337697,457.0,2,False
x_no_grok,train_loss,53320,19.799447941708728,19.749427500378186,0.9974736446451534,1.0000201775637332,0.0008612262776619758,640.0,2,False
x_no_grok,train_loss,63320,22.425083543002273,22.434649334021866,1.0004265665722605,1.000005805924961,0.0005384649850206665,684.0,2,False
x_no_grok,train_loss,73320,24.966308144162333,24.96584335316992,0.9999813832710175,1.0000015145021688,0.00037877401225270066,704.0,2,False
x_no_grok,train_loss,83320,25.981348309926332,25.93405297812189,0.9981796429022749,1.0000003789902763,0.00030433155396859574,711.0,2,False
x_no_grok,train_loss,93320,26.750614177914304,26.698463844760862,0.9980504995957626,1.0000001645847503,0.00026469610584779627,715.0,2,False
x_no_grok,weight_norm,33320,18.706218058316953,18.749300743989846,1.002303121108638,1.0006552681637506,0.0009001066969796366,646.0,2,False
x_no_grok,weight_norm,43320,19.512290887953334,19.442242785394726,0.9964100523633617,1.0003252465342005,0.0023142711360599907,424.0,2,False
x_no_grok,weight_norm,53320,20.99389448503981,20.960188211456494,0.998394472564043,1.000017564708193,0.0007148703718590441,663.0,2,False
x_no_grok,weight_norm,63320,24.18950101979727,24.16780781014934,0.9991031973073701,1.0000038751758482,0.0004385401047500565,695.0,2,False
x_no_grok,weight_norm,73320,26.231036190045085,26.216613206177207,0.9994501557710728,1.000001775691722,0.00030294654889359,710.0,2,False
x_no_grok,weight_norm,83320,27.003529019720045,26.9617150605794,0.9984515372375918,1.0000002594100939,0.00022810273364922657,717.0,2,False
x_no_grok,weight_norm,93320,27.39746858700488,27.31777578556629,0.997091234864071,1.000000073358408,0.00019865000718149762,719.0,2,False
