step,ipr_u1,ipr_u2,ipr_w,erank_w1,erank_w2,w1_norm,w2_norm,sv1_0,sv2_0,sv1_1,sv2_1,sv1_2,sv2_2,sv1_3,sv2_3,sv1_4,sv2_4
0,0.040735951637306145,0.04010777570491066,0.040500116309834286,139.0554422896677,81.11975280916292,1.0023535693765804,0.998861993495237,35.86413479212756,31.89225145155409,35.535001178070935,31.053384478223514,35.38759461965741,30.886356167609783,34.900475055029546,30.299214858229366,34.78574383598283,30.120977300764068
100,0.04073790438000118,0.040103577985893014,0.04049715438094158,139.05956617723484,81.06796722968933,1.0031890372446473,0.9997098412027342,35.903453476978136,31.880018579645984,35.56375631312224,31.31946726060361,35.43021482035931,30.975001030486716,34.940283581292064,30.368955361674463,34.799672295510895,30.106222200264813
200,0.04073951109306526,0.04009891795167117,0.040862444884720524,139.05454456001507,80.7164182112928,1.0060510411415027,1.0025904106360006,36.016330114793334,33.281914378750244,35.666758514537854,31.88198750277503,35.54681124559386,30.99904554562692,35.054282889673864,30.50028511766311,34.88582840828633,30.11077483874326
300,0.04074079414939877,0.04009386972054556,0.041873116396165234,139.04118474911823,79.47664552216877,1.0107178808452337,1.0072811546594673,36.19453061519651,38.08212644596817,35.83601636235696,31.89395412899114,35.72944847621798,31.017859256757585,35.23420848415816,30.584005103877686,35.0365934361459,30.126323424823234
400,0.04074179649443143,0.040088530173228616,0.04384072833620897,139.01993222500943,76.7104411157805,1.0169937878348876,1.013585500122874,36.430897912992414,44.373749460512464,36.06452143743015,31.914105981699027,35.971191544122966,31.042794876033724,35.47281847524047,30.63459968343607,35.24535419213771,30.152045584252427
500,0.04074257155003529,0.04008300981319455,0.047020830994458425,138.99104540686628,72.08944694092268,1.0246985657592556,1.021322476866009,36.718932776038116,51.21856931142254,36.34590548683604,31.942192958613035,36.26562976929046,31.07571838308736,35.76348614328528,30.67624868724372,35.50610912082665,30.188285605472316
600,0.040743176107925674,0.04007742376573788,0.05156026657709103,138.95472939854463,65.82924487211575,1.03366022142948,1.030319343160972,37.05249070366214,58.22034067009617,36.67427642817219,31.97828608112488,36.60645129299622,31.117371654457,36.09991170546137,30.71814267743229,35.81317885372438,30.23519345615189
700,0.04074366382426089,0.04007188589699442,0.05747799972703259,138.91124510372464,58.61238139258013,1.0437099215663104,1.0404065427011866,37.42557445480059,65.18835705861662,37.044294308913116,32.02264575006978,36.98696123703482,31.168293837567163,36.47592273816627,30.764219563030412,36.160992774613966,30.29286874074996
800,0.04074407992240847,0.04006650097478664,0.06467115453171268,138.86098693680216,51.259625897895404,1.0546789350770398,1.0514146464613356,37.832204277235405,72.0145622538842,37.451420904663635,32.07565122391814,37.39957621607077,31.229003577356956,36.885349694055456,30.816601230911047,36.54394778279588,30.361519986682534
900,0.04074445727584166,0.04006135946007414,0.07293700095002519,138.80453856316706,44.417832868117934,1.0663973875949018,1.0631731359817798,38.2663548978002,78.62774261697781,37.89147620318055,32.13776958087019,37.83615500915836,31.300042292618716,37.32197087883157,30.876704594053322,36.95632224820605,30.441477056395343
