observer,MAE,max_error,rho
gradient_fro,9.153688780287165,18.582958227340715,0.7149934884797637
gradient_projection,9.296545270505751,18.76808297511448,0.6659253078978191
latent_fro,9.171799302726017,18.59875380719999,0.6861200352801841
latent_projection,9.303177378223728,18.771955202046758,0.6757723237288896
loss,9.153172520666033,18.58308778359361,0.7144927927595398
output_fro,9.292181146577944,18.793843285980397,0.7957723980092235
