observer,k,seed,MG,error
gradient_projection,8,0,1.2373498283785378,-6.762650171621463
output_fro,8,0,1.1856976084319166,-6.814302391568083
loss,8,0,1.3737078972356283,-6.6262921027643715
latent_fro,9,0,1.2430519778488318,-7.756948022151168
latent_projection,9,0,1.2612881481227025,-7.738711851877298
gradient_fro,9,0,1.313626715231787,-7.686373284768213
gradient_projection,9,0,1.2663789480896526,-7.733621051910347
output_fro,9,0,1.2604563752457754,-7.739543624754225
loss,9,0,1.313044023908144,-7.6869559760918555
latent_fro,10,0,1.26782612797124,-8.73217387202876
latent_projection,10,0,1.1837799930202773,-8.816220006979723
gradient_fro,10,0,1.3541706271265306,-8.64582937287347
gradient_projection,10,0,1.2323026297001565,-8.767697370299844
output_fro,10,0,1.208892826606236,-8.791107173393764
loss,10,0,1.3544717984671604,-8.645528201532839
latent_fro,11,0,1.2645427560728784,-9.735457243927122
latent_projection,11,0,1.1881238536742,-9.8118761463258
gradient_fro,11,0,1.3761511638355848,-9.623848836164415
gradient_projection,11,0,1.2522416111828032,-9.747758388817196
output_fro,11,0,1.1964024291384034,-9.803597570861596
loss,11,0,1.3761111084848738,-9.623888891515126
latent_fro,12,0,1.3954683809003403,-10.60453161909966
latent_projection,12,0,1.1925140373429606,-10.80748596265704
gradient_fro,12,0,1.5035104880985117,-10.496489511901489
gradient_projection,12,0,1.204470765636467,-10.795529234363533
output_fro,12,0,1.2500749944548593,-10.74992500554514
loss,12,0,1.5030114802901302,-10.49698851970987
latent_fro,13,0,1.3734506832623932,-11.626549316737607
latent_projection,13,0,1.2717595211303325,-11.728240478869667
gradient_fro,13,0,1.3946679253307936,-11.605332074669207
gradient_projection,13,0,1.2106350344444519,-11.789364965555547
output_fro,13,0,1.247860847183543,-11.752139152816458
loss,13,0,1.394581428455377,-11.605418571544623
latent_fro,14,0,1.3493984170488804,-12.65060158295112
latent_projection,14,0,1.18803461524818,-12.81196538475182
gradient_fro,14,0,1.4297277772885453,-12.570272222711456
gradient_projection,14,0,1.2443848173251062,-12.755615182674894
output_fro,14,0,1.2679929186662444,-12.732007081333755
loss,14,0,1.429499892382891,-12.570500107617109
latent_fro,15,0,1.3391258434764737,-13.660874156523526
latent_projection,15,0,1.2375496907667631,-13.762450309233238
gradient_fro,15,0,1.3209463265636754,-13.679053673436325
gradient_projection,15,0,1.279944433466127,-13.720055566533873
output_fro,15,0,1.2700279374785364,-13.729972062521464
loss,15,0,1.321595657692724,-13.678404342307276
latent_fro,16,0,1.3494757034566731,-14.650524296543328
latent_projection,16,0,1.2819321105335695,-14.71806788946643
gradient_fro,16,0,1.436426828968866,-14.563573171031134
gradient_projection,16,0,1.2198191389632242,-14.780180861036776
output_fro,16,0,1.2577054914513066,-14.742294508548694
loss,16,0,1.4363169731166532,-14.563683026883346
latent_fro,17,0,1.3892736705111548,-15.610726329488845
