step,train_steps,train_time_ms,step_avg_ms
229,2330,13933.0,60.84
230,2330,13995.0,60.85
231,2330,14055.0,60.84
232,2330,14117.0,60.85
233,2330,14177.0,60.84
234,2330,14238.0,60.85
235,2330,14298.0,60.84
236,2330,14360.0,60.85
237,2330,14419.0,60.84
238,2330,14480.0,60.84
239,2330,14539.0,60.83
240,2330,14600.0,60.83
241,2330,14660.0,60.83
242,2330,14721.0,60.83
243,2330,14781.0,60.83
244,2330,14843.0,60.83
245,2330,14903.0,60.83
246,2330,14965.0,60.83
247,2330,15025.0,60.83
248,2330,15087.0,60.84
249,2330,15148.0,60.83
250,2330,15209.0,60.84
251,2330,15291.0,60.92
252,2330,15332.0,60.84
253,2330,15395.0,60.85
254,2330,15459.0,60.86
255,2330,15520.0,60.86
256,2330,15582.0,60.87
257,2330,15642.0,60.86
258,2330,15702.0,60.86
259,2330,15762.0,60.86
260,2330,15822.0,60.86
261,2330,15881.0,60.85
262,2330,15942.0,60.85
263,2330,16001.0,60.84
264,2330,16061.0,60.84
265,2330,16120.0,60.83
266,2330,16180.0,60.83
267,2330,16242.0,60.83
268,2330,16304.0,60.83
269,2330,16365.0,60.84
270,2330,16428.0,60.84
271,2330,16489.0,60.84
272,2330,16550.0,60.85
273,2330,16611.0,60.84
274,2330,16672.0,60.85
275,2330,16732.0,60.84
276,2330,16793.0,60.85
277,2330,16852.0,60.84
278,2330,16914.0,60.84
279,2330,16974.0,60.84
280,2330,17035.0,60.84
281,2330,17095.0,60.84
282,2330,17156.0,60.84
283,2330,17216.0,60.83
284,2330,17278.0,60.84
285,2330,17337.0,60.83
286,2330,17399.0,60.84
287,2330,17459.0,60.83
288,2330,17520.0,60.83
289,2330,17580.0,60.83
290,2330,17641.0,60.83
291,2330,17701.0,60.83
292,2330,17762.0,60.83
293,2330,17822.0,60.83
294,2330,17884.0,60.83
295,2330,17942.0,60.82
296,2330,18004.0,60.82
297,2330,18064.0,60.82
298,2330,18125.0,60.82
299,2330,18184.0,60.82
300,2330,18246.0,60.82
301,2330,18306.0,60.82
302,2330,18367.0,60.82
303,2330,18427.0,60.82
304,2330,18490.0,60.82
305,2330,18550.0,60.82
306,2330,18611.0,60.82
307,2330,18670.0,60.82
308,2330,18732.0,60.82
309,2330,18792.0,60.82
310,2330,18853.0,60.82
311,2330,18913.0,60.81
312,2330,18975.0,60.82
313,2330,19035.0,60.81
314,2330,19096.0,60.82
315,2330,19155.0,60.81
316,2330,19216.0,60.81
317,2330,19277.0,60.81
318,2330,19338.0,60.81
319,2330,19397.0,60.81
320,2330,19458.0,60.81
321,2330,19519.0,60.81
322,2330,19579.0,60.81
323,2330,19639.0,60.8
324,2330,19700.0,60.8
325,2330,19760.0,60.8
326,2330,19821.0,60.8
327,2330,19880.0,60.79
328,2330,19942.0,60.8
329,2330,20001.0,60.79
330,2330,20062.0,60.8
331,2330,20122.0,60.79
332,2330,20183.0,60.79
333,2330,20243.0,60.79
334,2330,20305.0,60.79
335,2330,20364.0,60.79
336,2330,20426.0,60.79
337,2330,20485.0,60.79
338,2330,20547.0,60.79
339,2330,20607.0,60.79
340,2330,20669.0,60.79
341,2330,20729.0,60.79
342,2330,20790.0,60.79
343,2330,20850.0,60.79
344,2330,20912.0,60.79
345,2330,20971.0,60.79
346,2330,21033.0,60.79
347,2330,21093.0,60.79
348,2330,21154.0,60.79
349,2330,21213.0,60.78
350,2330,21275.0,60.79
351,2330,21335.0,60.78
352,2330,21398.0,60.79
353,2330,21457.0,60.78
354,2330,21518.0,60.79
355,2330,21577.0,60.78
356,2330,21638.0,60.78
357,2330,21697.0,60.78
358,2330,21759.0,60.78
359,2330,21817.0,60.77
360,2330,21878.0,60.77
361,2330,21938.0,60.77
362,2330,21998.0,60.77
363,2330,22058.0,60.76
364,2330,22118.0,60.76
365,2330,22178.0,60.76
366,2330,22239.0,60.76
367,2330,22298.0,60.76
368,2330,22360.0,60.76
369,2330,22419.0,60.76
370,2330,22480.0,60.76
371,2330,22540.0,60.75
372,2330,22600.0,60.75
373,2330,22661.0,60.75
374,2330,22722.0,60.75
375,2330,22781.0,60.75
376,2330,22843.0,60.75
377,2330,22901.0,60.75
378,2330,22964.0,60.75
379,2330,23023.0,60.75
380,2330,23085.0,60.75
381,2330,23146.0,60.75
382,2330,23208.0,60.75
383,2330,23268.0,60.75
384,2330,23329.0,60.75
385,2330,23389.0,60.75
386,2330,23451.0,60.75
387,2330,23511.0,60.75
388,2330,23572.0,60.75
389,2330,23632.0,60.75
390,2330,23693.0,60.75
391,2330,23753.0,60.75
392,2330,23815.0,60.75
393,2330,23875.0,60.75
394,2330,23936.0,60.75
395,2330,23996.0,60.75
396,2330,24058.0,60.75
397,2330,24117.0,60.75
398,2330,24179.0,60.75
399,2330,24238.0,60.75
400,2330,24298.0,60.75
401,2330,24358.0,60.74
402,2330,24419.0,60.74
403,2330,24478.0,60.74
404,2330,24539.0,60.74
405,2330,24598.0,60.74
406,2330,24659.0,60.74
407,2330,24719.0,60.73
408,2330,24780.0,60.73
409,2330,24839.0,60.73
410,2330,24900.0,60.73
411,2330,24961.0,60.73
412,2330,25021.0,60.73
413,2330,25080.0,60.73
414,2330,25142.0,60.73
415,2330,25201.0,60.72
416,2330,25262.0,60.73
417,2330,25321.0,60.72
418,2330,25382.0,60.72
419,2330,25442.0,60.72
420,2330,25503.0,60.72
421,2330,25562.0,60.72
422,2330,25624.0,60.72
423,2330,25683.0,60.72
424,2330,25745.0,60.72
425,2330,25805.0,60.72
426,2330,25866.0,60.72
427,2330,25927.0,60.72
428,2330,25988.0,60.72
429,2330,26049.0,60.72
430,2330,26111.0,60.72
431,2330,26171.0,60.72
432,2330,26233.0,60.72
433,2330,26293.0,60.72
434,2330,26353.0,60.72
435,2330,26413.0,60.72
436,2330,26474.0,60.72
437,2330,26534.0,60.72
438,2330,26596.0,60.72
439,2330,26655.0,60.72
440,2330,26716.0,60.72
441,2330,26776.0,60.72
442,2330,26837.0,60.72
443,2330,26897.0,60.72
444,2330,26958.0,60.72
445,2330,27017.0,60.71
446,2330,27078.0,60.71
447,2330,27138.0,60.71
448,2330,27199.0,60.71
449,2330,27259.0,60.71
450,2330,27319.0,60.71
451,2330,27379.0,60.71
452,2330,27441.0,60.71
453,2330,27500.0,60.71
454,2330,27562.0,60.71
455,2330,27622.0,60.71
456,2330,27683.0,60.71
457,2330,27743.0,60.71
458,2330,27804.0,60.71
459,2330,27864.0,60.71
460,2330,27925.0,60.71
461,2330,27985.0,60.71
462,2330,28047.0,60.71
463,2330,28107.0,60.71
464,2330,28169.0,60.71
465,2330,28229.0,60.71
466,2330,28290.0,60.71
467,2330,28351.0,60.71
468,2330,28413.0,60.71
469,2330,28473.0,60.71
470,2330,28534.0,60.71
471,2330,28594.0,60.71
472,2330,28655.0,60.71
473,2330,28715.0,60.71
474,2330,28777.0,60.71
475,2330,28837.0,60.71
476,2330,28898.0,60.71
477,2330,28958.0,60.71
478,2330,29019.0,60.71
479,2330,29079.0,60.71
480,2330,29141.0,60.71
481,2330,29200.0,60.71
482,2330,29261.0,60.71
483,2330,29320.0,60.7
484,2330,29381.0,60.71
485,2330,29442.0,60.7
486,2330,29503.0,60.7
487,2330,29562.0,60.7
488,2330,29624.0,60.7
489,2330,29684.0,60.7
490,2330,29745.0,60.7
491,2330,29804.0,60.7
492,2330,29866.0,60.7
493,2330,29926.0,60.7
494,2330,29988.0,60.7
495,2330,30048.0,60.7
496,2330,30109.0,60.7
497,2330,30169.0,60.7
498,2330,30231.0,60.7
499,2330,30291.0,60.7
500,2330,30352.0,60.7
501,2330,30434.0,60.75
502,2330,30475.0,60.71
503,2330,30537.0,60.71
504,2330,30600.0,60.72
505,2330,30660.0,60.71
506,2330,30721.0,60.71
507,2330,30780.0,60.71
508,2330,30842.0,60.71
509,2330,30902.0,60.71
510,2330,30963.0,60.71
511,2330,31023.0,60.71
512,2330,31084.0,60.71
513,2330,31144.0,60.71
514,2330,31205.0,60.71
515,2330,31264.0,60.71
516,2330,31326.0,60.71
517,2330,31386.0,60.71
518,2330,31448.0,60.71
519,2330,31509.0,60.71
520,2330,31570.0,60.71
521,2330,31631.0,60.71
522,2330,31692.0,60.71
523,2330,31751.0,60.71
524,2330,31812.0,60.71
525,2330,31871.0,60.71
526,2330,31933.0,60.71
527,2330,31992.0,60.71
528,2330,32054.0,60.71
529,2330,32114.0,60.71
530,2330,32175.0,60.71
531,2330,32235.0,60.71
532,2330,32296.0,60.71
533,2330,32357.0,60.71
534,2330,32418.0,60.71
535,2330,32478.0,60.71
536,2330,32540.0,60.71
537,2330,32600.0,60.71
538,2330,32662.0,60.71
539,2330,32722.0,60.71
540,2330,32783.0,60.71
541,2330,32844.0,60.71
542,2330,32905.0,60.71
543,2330,32966.0,60.71
544,2330,33028.0,60.71
545,2330,33087.0,60.71
546,2330,33149.0,60.71
547,2330,33209.0,60.71
548,2330,33270.0,60.71
549,2330,33330.0,60.71
550,2330,33391.0,60.71
551,2330,33451.0,60.71
552,2330,33512.0,60.71
553,2330,33571.0,60.71
554,2330,33633.0,60.71
555,2330,33692.0,60.71
556,2330,33753.0,60.71
557,2330,33813.0,60.71
558,2330,33874.0,60.71
559,2330,33934.0,60.71
560,2330,33996.0,60.71
561,2330,34056.0,60.71
562,2330,34118.0,60.71
563,2330,34177.0,60.71
564,2330,34238.0,60.71
565,2330,34299.0,60.71
566,2330,34361.0,60.71
567,2330,34421.0,60.71
568,2330,34482.0,60.71
569,2330,34542.0,60.71
570,2330,34603.0,60.71
571,2330,34663.0,60.71
572,2330,34725.0,60.71
573,2330,34785.0,60.71
574,2330,34846.0,60.71
575,2330,34907.0,60.71
576,2330,34968.0,60.71
577,2330,35028.0,60.71
578,2330,35089.0,60.71
579,2330,35149.0,60.71
580,2330,35209.0,60.71
581,2330,35269.0,60.7
582,2330,35330.0,60.7
583,2330,35389.0,60.7
584,2330,35450.0,60.7
585,2330,35509.0,60.7
586,2330,35570.0,60.7
587,2330,35630.0,60.7
588,2330,35691.0,60.7
589,2330,35750.0,60.7
590,2330,35811.0,60.7
591,2330,35871.0,60.7
592,2330,35932.0,60.7
593,2330,35991.0,60.69
594,2330,36052.0,60.69
595,2330,36112.0,60.69
596,2330,36174.0,60.69
597,2330,36233.0,60.69
598,2330,36294.0,60.69
599,2330,36354.0,60.69
600,2330,36415.0,60.69
601,2330,36475.0,60.69
602,2330,36537.0,60.69
603,2330,36596.0,60.69
604,2330,36658.0,60.69
605,2330,36718.0,60.69
606,2330,36780.0,60.69
607,2330,36840.0,60.69
608,2330,36902.0,60.69
609,2330,36962.0,60.69
610,2330,37024.0,60.7
611,2330,37084.0,60.69
612,2330,37146.0,60.7
613,2330,37206.0,60.69
614,2330,37268.0,60.7
615,2330,37328.0,60.7
616,2330,37390.0,60.7
617,2330,37449.0,60.7
618,2330,37510.0,60.7
619,2330,37571.0,60.7
620,2330,37632.0,60.7
621,2330,37690.0,60.69
622,2330,37752.0,60.7
623,2330,37812.0,60.69
624,2330,37873.0,60.69
625,2330,37933.0,60.69
626,2330,37994.0,60.69
627,2330,38054.0,60.69
628,2330,38116.0,60.69
629,2330,38176.0,60.69
630,2330,38239.0,60.7
631,2330,38298.0,60.69
632,2330,38360.0,60.7
633,2330,38419.0,60.69
634,2330,38482.0,60.7
635,2330,38541.0,60.7
636,2330,38603.0,60.7
637,2330,38663.0,60.7
638,2330,38726.0,60.7
639,2330,38785.0,60.7
640,2330,38847.0,60.7
641,2330,38907.0,60.7
642,2330,38969.0,60.7
643,2330,39028.0,60.7
644,2330,39090.0,60.7
645,2330,39150.0,60.7
646,2330,39211.0,60.7
647,2330,39270.0,60.7
648,2330,39331.0,60.7
649,2330,39391.0,60.69
650,2330,39452.0,60.7
651,2330,39512.0,60.69
652,2330,39573.0,60.69
653,2330,39633.0,60.69
654,2330,39694.0,60.69
655,2330,39754.0,60.69
656,2330,39815.0,60.69
657,2330,39875.0,60.69
658,2330,39938.0,60.7
659,2330,39998.0,60.69
660,2330,40059.0,60.7
661,2330,40119.0,60.69
662,2330,40181.0,60.7
663,2330,40241.0,60.7
664,2330,40303.0,60.7
665,2330,40364.0,60.7
666,2330,40425.0,60.7
667,2330,40485.0,60.7
668,2330,40548.0,60.7
669,2330,40607.0,60.7
670,2330,40668.0,60.7
671,2330,40728.0,60.7
672,2330,40790.0,60.7
673,2330,40850.0,60.7
674,2330,40911.0,60.7
675,2330,40971.0,60.7
676,2330,41032.0,60.7
677,2330,41091.0,60.7
678,2330,41152.0,60.7
679,2330,41212.0,60.69
680,2330,41274.0,60.7
681,2330,41333.0,60.69
682,2330,41395.0,60.7
683,2330,41455.0,60.7
684,2330,41517.0,60.7
685,2330,41577.0,60.7
686,2330,41638.0,60.7
687,2330,41699.0,60.7
688,2330,41761.0,60.7
689,2330,41820.0,60.7
690,2330,41882.0,60.7
691,2330,41942.0,60.7
692,2330,42004.0,60.7
693,2330,42064.0,60.7
694,2330,42126.0,60.7
695,2330,42186.0,60.7
696,2330,42247.0,60.7
697,2330,42307.0,60.7
698,2330,42369.0,60.7
699,2330,42428.0,60.7
700,2330,42490.0,60.7
701,2330,42549.0,60.7
702,2330,42611.0,60.7
703,2330,42670.0,60.7
704,2330,42731.0,60.7
705,2330,42791.0,60.7
706,2330,42851.0,60.7
707,2330,42911.0,60.7
708,2330,42972.0,60.7
709,2330,43031.0,60.69
710,2330,43093.0,60.69
711,2330,43153.0,60.69
712,2330,43214.0,60.69
713,2330,43274.0,60.69
714,2330,43336.0,60.69
715,2330,43396.0,60.69
716,2330,43457.0,60.69
717,2330,43516.0,60.69
718,2330,43579.0,60.69
719,2330,43638.0,60.69
720,2330,43700.0,60.69
721,2330,43760.0,60.69
722,2330,43822.0,60.69
723,2330,43883.0,60.7
724,2330,43945.0,60.7
725,2330,44005.0,60.7
726,2330,44066.0,60.7
727,2330,44127.0,60.7
728,2330,44189.0,60.7
729,2330,44248.0,60.7
730,2330,44311.0,60.7
731,2330,44370.0,60.7
732,2330,44431.0,60.7
733,2330,44490.0,60.7
734,2330,44551.0,60.7
735,2330,44610.0,60.69
736,2330,44671.0,60.69
737,2330,44731.0,60.69
738,2330,44792.0,60.69
739,2330,44852.0,60.69
740,2330,44913.0,60.69
741,2330,44974.0,60.69
742,2330,45035.0,60.69
743,2330,45095.0,60.69
744,2330,45157.0,60.69
745,2330,45216.0,60.69
746,2330,45278.0,60.69
747,2330,45338.0,60.69
748,2330,45400.0,60.69
749,2330,45460.0,60.69
750,2330,45521.0,60.69
751,2330,45602.0,60.72
752,2330,45645.0,60.7
753,2330,45707.0,60.7
754,2330,45771.0,60.7
755,2330,45832.0,60.7
756,2330,45892.0,60.7
757,2330,45951.0,60.7
758,2330,46012.0,60.7
759,2330,46072.0,60.7
760,2330,46133.0,60.7
761,2330,46193.0,60.7
762,2330,46253.0,60.7
763,2330,46312.0,60.7
