step,lr,lambda_max,ritz_residual,hvp_count,hessian_seconds,gd_ratio,activation_pr,activation_seconds,gradient_proxy,gradient_seconds
127,0.003,18.522966384887695,7.039861381990064e-06,31,0.5543361001182348,,5.040791988372803,0.0021545998752117157,1.8965344429016113,0.0118798001203686
255,0.003,73.32144165039062,2.7799822831319024e-05,31,0.5259116999804974,,6.4151082038879395,0.002370300004258752,2.740617036819458,0.011734999949112535
383,0.003,102.45004272460938,2.8134141022253593e-05,31,0.5337241000961512,,6.926810264587402,0.0023163999430835247,3.5092456340789795,0.01230640010908246
511,0.003,96.41653442382812,3.0205529898174693e-05,31,0.5320546000730246,,7.65130090713501,0.002281900029629469,2.0352213382720947,0.011971599888056517
639,0.003,122.5146255493164,2.595145906588508e-05,31,0.5215160001534969,,8.227497100830078,0.002351100090891123,1.5540030002593994,0.01164550008252263
767,0.003,77.25363159179688,1.5779604467862617e-05,31,0.5277797998860478,,8.675418853759766,0.00227269995957613,3.260774612426758,0.012072100071236491
895,0.003,117.68109130859375,1.622594924870197e-05,31,0.5336249999236315,,9.287203788757324,0.002606899943202734,2.004035711288452,0.012086100177839398
1023,0.003,80.78514099121094,1.508575369965757e-05,31,0.5370046000462025,,9.776742935180664,0.0021671000868082047,1.3479068279266357,0.011888900073245168
1151,0.003,73.1375732421875,1.6684271463912016e-05,31,0.5410302998498082,,10.06946086883545,0.0024241998326033354,2.3213143348693848,0.011986499885097146
1279,0.003,81.81878662109375,1.743555025039436e-05,31,0.5416881998535246,,10.02799129486084,0.0022736999671906233,3.164426565170288,0.012518899980932474
1407,0.003,81.40941619873047,1.8624307078680365e-05,31,0.5320880999788642,,9.810263633728027,0.0022096000611782074,2.4363155364990234,0.012425899971276522
1535,0.003,90.59262084960938,1.5764219208144404e-05,31,0.5476392998825759,,10.21287727355957,0.0022903000935912132,2.4397945404052734,0.01258899993263185
1663,0.003,66.33338165283203,2.842320424577168e-05,31,0.5377235000487417,,10.58894157409668,0.002267699921503663,2.7040812969207764,0.011913799913600087
1791,0.003,63.43393325805664,1.3071728003451368e-05,31,0.5432557000312954,,10.623868942260742,0.00284950016066432,2.8359105587005615,0.011388200102373958
1919,0.003,52.019554138183594,1.7883483609924515e-05,31,0.6100160998757929,,11.26063346862793,0.0022998000495135784,3.02628755569458,0.012400599895045161
2047,0.003,53.372947692871094,1.6882508803076272e-05,31,0.5323010999709368,,10.817464828491211,0.0028486999217420816,2.9700944423675537,0.012213800102472305
2175,0.003,47.41230392456055,1.8828850779123583e-05,31,0.5465778999496251,,10.62415885925293,0.0022775998804718256,2.6907644271850586,0.012922300025820732
2303,0.003,57.58991241455078,1.4000738575987602e-05,31,0.5309617000166327,,10.82357120513916,0.0022559999488294125,3.0658395290374756,0.011584100080654025
2431,0.003,50.99939727783203,1.2656964894578754e-05,31,0.5367416001390666,,11.185791015625,0.0022545999381691217,2.953962564468384,0.011980799958109856
2559,0.003,51.26357650756836,1.1671359198253048e-05,31,0.5342920001130551,,11.334205627441406,0.0023738001473248005,2.354440927505493,0.012189899804070592
2687,0.003,66.4326171875,1.265701963803842e-05,31,0.5280170999467373,,11.030686378479004,0.00274979998357594,2.8026270866394043,0.0119503999594599
2815,0.003,47.69329833984375,1.3212339965348063e-05,31,0.5312680001370609,,11.266934394836426,0.0022652000188827515,3.0532867908477783,0.012006400153040886
2943,0.003,43.916908264160156,8.259872809325218e-06,31,0.618587699951604,,11.567052841186523,0.002310900017619133,2.1727378368377686,0.012525699799880385
3071,0.003,47.270721435546875,1.1289818606541993e-05,31,0.6981552999932319,,11.190946578979492,0.0032001000363379717,3.3086392879486084,0.015166900120675564
