step,train_loss,val_loss,train_acc,val_acc,weight_norm,grad_norm,embed_grad_norm,grad_cosine
0,4.816437441932651,4.83382415433457,0.0078125,0.009765625,42.27459354485754,0.36709219778077246,0.12945313680085963,0.0
5,4.848915182776497,4.848670966875046,0.01171875,0.001953125,42.20220685843993,0.3724277336942098,0.1532330935724089,0.08818483146179135
10,4.830836257134288,4.825331914567197,0.00390625,0.005859375,42.11556590402034,0.30209425706346776,0.13175511382784638,-0.005286988985504008
15,4.819423343642365,4.823532584185478,0.0,0.00390625,42.04139312668797,0.2604513548071327,0.11100791125085611,-0.032083686807811596
20,4.807827197705022,4.810780227317312,0.01171875,0.0078125,41.97313775409298,0.2613538660454074,0.11831227662247937,0.1101402870446017
25,4.805849855281692,4.815022994965911,0.0078125,0.0078125,41.913924800055035,0.22549998333205892,0.10193111531520684,0.09450624130803612
30,4.802627640320356,4.824335751496934,0.0078125,0.01171875,41.89784813712279,0.2976925638351495,0.13443587644145122,0.25159782067519487
35,4.8051933598928365,4.827087919195407,0.00390625,0.009765625,41.792092361109745,0.27884675997321434,0.12632933163483298,0.13096976032848068
40,4.7964912917686755,4.8243817951395815,0.00390625,0.00390625,41.67280113784653,0.24271145988193912,0.11619699795507195,0.28960181153888154
45,4.786920943856499,4.822420115929347,0.0,0.0,41.58517928394783,0.2272052083795474,0.10773168635703466,-0.07032819128426987
50,4.775069848825717,4.822515836219445,0.0078125,0.0078125,41.523356116199395,0.23414318640113274,0.10916585110030866,0.002007872022156038
55,4.76124029974873,4.835282560935708,0.015625,0.0078125,41.46352201549134,0.227423745712418,0.10814569763414783,-0.1009361785879225
60,4.776997012503706,4.853147199157043,0.01171875,0.001953125,41.41840353697173,0.22429258384470008,0.0983560368203364,0.18021226440925087
65,4.779317765623066,4.8494374862428185,0.01171875,0.00390625,41.4079460342905,0.26748877840451907,0.12452630023275958,-0.041762037964068605
70,4.780496019926125,4.847686154724517,0.00390625,0.0,41.42108352162303,0.22652224084998165,0.10929634761064712,0.07197018187887684
75,4.756572571808144,4.853078796693363,0.0234375,0.0078125,41.446614699601376,0.2261209021901014,0.10646774340185591,-0.10025894507648075
80,4.771430502925013,4.862435940299502,0.00390625,0.0,41.47653833636897,0.27315005156826366,0.13222874255261616,0.035742387933530045
85,4.791057410175126,4.86860083071822,0.0,0.00390625,41.47497295383589,0.28618449827512205,0.1315006224580038,0.23935011905745485
90,4.7295633760230675,4.87392644024948,0.01953125,0.001953125,41.53224479773763,0.25569317936524566,0.12317807756366748,-0.099443915023088
