step,train_loss,val_loss,train_acc,val_acc,weight_norm
0,4.750993096441325,4.765928892979148,0.0078125,0.0078125,42.28171386814788
10,4.747082575605609,4.760353424287127,0.00390625,0.015625,42.272305397095955
20,4.708945849949689,4.75563710468172,0.0078125,0.00390625,42.26619625919719
30,4.693438613067042,4.7571724638679544,0.03125,0.00390625,42.301131921697205
40,4.716174943332615,4.764847145777612,0.01171875,0.009765625,42.38452665787924
50,4.680975261815599,4.777846073149371,0.015625,0.005859375,42.53222481260261
60,4.635048037926555,4.799029759071769,0.04296875,0.0078125,42.76937850326569
70,4.6426863820382085,4.823523717975553,0.0234375,0.00390625,43.100636837156515
80,4.616603136430409,4.85123351950493,0.02734375,0.0078125,43.48179562604287
90,4.506221135026911,4.910396886278431,0.05859375,0.00390625,43.89243416399987
100,4.485579821049725,4.959311311371462,0.0390625,0.005859375,44.312315959958
110,4.424784765894315,5.009726775800072,0.0703125,0.001953125,44.68385343982439
120,4.407806620699799,5.082018204712857,0.0546875,0.001953125,45.05349518765955
130,4.341667366310967,5.1241323302326,0.05859375,0.0,45.39950877474314
140,4.232242588274245,5.197577605192539,0.1015625,0.001953125,45.73945199669382
150,4.3035014799205715,5.222798130095553,0.06640625,0.001953125,46.08779232630855
160,4.231321574763538,5.310973918214758,0.0703125,0.001953125,46.453518797951034
170,4.1339366903961885,5.36216053319442,0.125,0.001953125,46.79905440800894
180,3.9652328565128596,5.4276079848546255,0.13671875,0.00390625,47.161052851426895
190,4.150573888876382,5.475863045421647,0.1171875,0.0,47.50084806413616
200,4.045039083959488,5.5362088423000175,0.12109375,0.00390625,47.83339152552502
210,3.8333029459158467,5.605754998689601,0.1484375,0.00390625,48.16567491378971
220,4.0120954305124625,5.691040622016178,0.14453125,0.005859375,48.54813728605715
230,3.750111042793673,5.742648023774533,0.16796875,0.001953125,48.900918006131064
240,3.6638901640784045,5.790622127948107,0.1875,0.005859375,49.24776177688367
250,3.6196868442372474,5.8494268792315385,0.16015625,0.005859375,49.61599810430786
260,3.5780473220415225,5.908407943623203,0.16796875,0.00390625,49.975427403055704
270,3.3541626926168253,5.996217750880679,0.2421875,0.005859375,50.351016736376565
280,3.35075945116622,6.091756573921416,0.21484375,0.0078125,50.753849428850565
290,3.4539414906591617,6.126990728643038,0.2109375,0.001953125,51.11201807058203
300,3.1577833443536085,6.1950948447897405,0.2578125,0.01171875,51.48178092461063
310,3.3175114382960467,6.28470761014012,0.2578125,0.005859375,51.858889896456624
320,3.0775064907714738,6.367177668214443,0.2890625,0.009765625,52.23101402594565
330,2.9919652396855576,6.433494876216007,0.30859375,0.009765625,52.604751201317754
340,2.947258547557514,6.5698373350910675,0.34375,0.0078125,53.01005625057309
350,2.704883220113385,6.6036565587602585,0.3671875,0.01171875,53.333032669315145
360,2.687932677556077,6.729970481828296,0.4140625,0.009765625,53.6734087631593
370,2.746603347637812,6.840939664996073,0.31640625,0.017578125,54.02010256248183
380,2.494921937159513,6.935191004062655,0.46875,0.009765625,54.35312267212738
390,2.1050137905075155,7.010321456572549,0.546875,0.01953125,54.68007727921886
400,2.411258296541381,7.123479582878815,0.44921875,0.009765625,54.99426414371489
410,2.2727540380943285,7.264249503355354,0.43359375,0.009765625,55.31116854466822
420,2.227125333750985,7.364632757536194,0.48828125,0.015625,55.611724510759686
430,2.0987476152414635,7.507951642463084,0.52734375,0.015625,55.91498169311704
440,1.9660801537833676,7.64313367598506,0.5703125,0.009765625,56.204415263214855
450,1.7998341785194676,7.7654955872412526,0.6015625,0.013671875,56.491125479099374
460,1.909993421194781,7.933023806879245,0.5625,0.013671875,56.7780445390312
470,1.5873156928311662,8.05449311535866,0.66015625,0.01953125,57.05399355836837
480,1.4411978370488463,8.19751606572599,0.6953125,0.01953125,57.32386137399481
490,1.4861149327241345,8.435671424899102,0.6640625,0.01953125,57.5892315018069
500,1.4234861084381978,8.546076881096559,0.68359375,0.01953125,57.85819127125853
510,1.24815037988243,8.663154950763337,0.73828125,0.015625,58.11546444138825
520,1.276510283435852,8.887602072896263,0.7421875,0.01953125,58.35863443845497
530,1.041847847453562,9.058377384042894,0.80859375,0.0234375,58.59995497163902
540,0.9934545570113331,9.254362486296916,0.828125,0.015625,58.83746284459366
550,1.0524817102368567,9.433416598014997,0.77734375,0.021484375,59.0732928382918
560,0.8676718525132164,9.61244406803582,0.84375,0.015625,59.30059916365354
570,0.6708049411829969,9.832526623959955,0.90625,0.017578125,59.534767075228835
580,0.9146830244323667,10.04078524011866,0.8359375,0.017578125,59.76294245624441
590,0.6788496166670985,10.282268801499857,0.90625,0.021484375,59.976139756777584
600,0.5657555825658666,10.472934408400436,0.94140625,0.029296875,60.19239381568164
610,0.5723085232371291,10.737208991287279,0.93359375,0.017578125,60.408147705175224
620,0.4912617942977423,10.935735463370785,0.92578125,0.021484375,60.6090231395338
630,0.351308364123622,11.15822263698932,0.98828125,0.015625,60.81024768922517
640,0.48409086234595,11.457904615497073,0.9375,0.021484375,61.01271723576099
650,0.3480014400249747,11.667112700528888,0.9609375,0.021484375,61.19649476354293
660,0.2469761159108376,11.8859523918847,0.99609375,0.02734375,61.38592061296869
670,0.2868251610843522,12.179989734531176,0.97265625,0.03125,61.574111809602364
680,0.1995034034366761,12.443395414950414,0.9921875,0.0234375,61.7496382193284
690,0.15579440921978793,12.682308762987631,1.0,0.03125,61.921958625549394
700,0.18695773213189834,13.001238051172784,0.99609375,0.025390625,62.09344963629939
710,0.13453134105580122,13.262545797988087,1.0,0.017578125,62.25368546402606
720,0.09379331219765179,13.44121664915352,1.0,0.025390625,62.406515402130054
730,0.12820149844558093,13.703439769338557,0.99609375,0.021484375,62.550847022503206
740,0.08096841802199582,13.977881541821993,1.0,0.0234375,62.69579539691849
750,0.05990962777613636,14.25423660188243,1.0,0.0234375,62.83294148302382
760,0.07553413358912951,14.482984820406484,1.0,0.0234375,62.96554482726648
770,0.06442872710352408,14.694922473553707,1.0,0.02734375,63.0966968960198
780,0.0444518310253608,14.943310595520979,1.0,0.03125,63.227180909121586
790,0.055126836955093926,15.182783866040467,1.0,0.025390625,63.34778909625215
800,0.042579779462696685,15.44048192420862,1.0,0.02734375,63.465268968812936
810,0.031171243236338613,15.679301433878448,1.0,0.02734375,63.58103660655857
820,0.03503648404509412,15.872425095137876,1.0,0.03125,63.69571281757911
830,0.02687804397682349,16.13711615826994,1.0,0.025390625,63.808735444000355
