step,train_steps,train_time_ms,step_avg_ms
229,2330,13711.0,59.87
230,2330,13772.0,59.88
231,2330,13831.0,59.88
232,2330,13892.0,59.88
233,2330,13951.0,59.88
234,2330,14012.0,59.88
235,2330,14071.0,59.88
236,2330,14133.0,59.88
237,2330,14191.0,59.88
238,2330,14252.0,59.88
239,2330,14311.0,59.88
240,2330,14372.0,59.89
241,2330,14432.0,59.88
242,2330,14492.0,59.89
243,2330,14552.0,59.88
244,2330,14612.0,59.89
245,2330,14671.0,59.88
246,2330,14733.0,59.89
247,2330,14791.0,59.88
248,2330,14852.0,59.89
249,2330,14911.0,59.88
250,2330,14972.0,59.89
251,2330,15070.0,60.04
252,2330,15092.0,59.89
253,2330,15152.0,59.89
254,2330,15216.0,59.91
255,2330,15279.0,59.92
256,2330,15341.0,59.92
257,2330,15400.0,59.92
258,2330,15461.0,59.92
259,2330,15519.0,59.92
260,2330,15580.0,59.92
261,2330,15638.0,59.92
262,2330,15699.0,59.92
263,2330,15757.0,59.91
264,2330,15818.0,59.92
265,2330,15876.0,59.91
266,2330,15938.0,59.92
267,2330,15996.0,59.91
268,2330,16057.0,59.91
269,2330,16116.0,59.91
270,2330,16178.0,59.92
271,2330,16237.0,59.91
272,2330,16298.0,59.92
273,2330,16357.0,59.91
274,2330,16417.0,59.92
275,2330,16475.0,59.91
276,2330,16536.0,59.91
277,2330,16594.0,59.91
278,2330,16654.0,59.91
279,2330,16713.0,59.9
280,2330,16773.0,59.91
281,2330,16832.0,59.9
282,2330,16893.0,59.9
283,2330,16952.0,59.9
284,2330,17013.0,59.91
285,2330,17073.0,59.9
286,2330,17134.0,59.91
287,2330,17193.0,59.91
288,2330,17255.0,59.91
289,2330,17313.0,59.91
290,2330,17374.0,59.91
291,2330,17433.0,59.91
292,2330,17494.0,59.91
293,2330,17553.0,59.91
294,2330,17614.0,59.91
295,2330,17673.0,59.91
296,2330,17733.0,59.91
297,2330,17792.0,59.9
298,2330,17853.0,59.91
299,2330,17911.0,59.9
300,2330,17972.0,59.91
301,2330,18030.0,59.9
302,2330,18092.0,59.91
303,2330,18152.0,59.91
304,2330,18213.0,59.91
305,2330,18272.0,59.91
306,2330,18333.0,59.91
307,2330,18391.0,59.91
308,2330,18452.0,59.91
309,2330,18510.0,59.9
310,2330,18572.0,59.91
311,2330,18630.0,59.9
312,2330,18691.0,59.91
313,2330,18750.0,59.9
314,2330,18812.0,59.91
315,2330,18871.0,59.91
316,2330,18931.0,59.91
317,2330,18991.0,59.91
318,2330,19053.0,59.91
319,2330,19111.0,59.91
320,2330,19173.0,59.91
321,2330,19232.0,59.91
322,2330,19293.0,59.92
323,2330,19351.0,59.91
324,2330,19413.0,59.92
325,2330,19472.0,59.91
326,2330,19532.0,59.92
327,2330,19591.0,59.91
328,2330,19652.0,59.91
329,2330,19711.0,59.91
330,2330,19771.0,59.91
331,2330,19830.0,59.91
332,2330,19891.0,59.91
333,2330,19950.0,59.91
334,2330,20012.0,59.92
335,2330,20071.0,59.91
336,2330,20132.0,59.92
337,2330,20191.0,59.91
338,2330,20253.0,59.92
339,2330,20312.0,59.92
340,2330,20373.0,59.92
341,2330,20432.0,59.92
342,2330,20493.0,59.92
343,2330,20552.0,59.92
344,2330,20614.0,59.92
345,2330,20672.0,59.92
346,2330,20733.0,59.92
347,2330,20792.0,59.92
348,2330,20853.0,59.92
349,2330,20911.0,59.92
350,2330,20972.0,59.92
351,2330,21031.0,59.92
352,2330,21093.0,59.92
353,2330,21152.0,59.92
354,2330,21213.0,59.92
355,2330,21272.0,59.92
356,2330,21333.0,59.92
357,2330,21391.0,59.92
358,2330,21453.0,59.92
359,2330,21513.0,59.92
360,2330,21573.0,59.93
361,2330,21632.0,59.92
362,2330,21693.0,59.92
363,2330,21752.0,59.92
364,2330,21813.0,59.93
365,2330,21872.0,59.92
366,2330,21932.0,59.92
367,2330,21991.0,59.92
368,2330,22052.0,59.92
369,2330,22110.0,59.92
370,2330,22172.0,59.92
371,2330,22230.0,59.92
372,2330,22291.0,59.92
373,2330,22351.0,59.92
374,2330,22413.0,59.93
375,2330,22472.0,59.93
376,2330,22533.0,59.93
377,2330,22591.0,59.92
378,2330,22653.0,59.93
379,2330,22711.0,59.92
380,2330,22773.0,59.93
381,2330,22831.0,59.92
382,2330,22892.0,59.93
383,2330,22951.0,59.93
384,2330,23013.0,59.93
385,2330,23071.0,59.93
386,2330,23132.0,59.93
387,2330,23191.0,59.93
388,2330,23252.0,59.93
389,2330,23311.0,59.93
390,2330,23372.0,59.93
391,2330,23431.0,59.93
392,2330,23492.0,59.93
393,2330,23552.0,59.93
394,2330,23613.0,59.93
395,2330,23671.0,59.93
396,2330,23733.0,59.93
397,2330,23792.0,59.93
398,2330,23853.0,59.93
399,2330,23912.0,59.93
400,2330,23973.0,59.93
401,2330,24031.0,59.93
402,2330,24092.0,59.93
403,2330,24151.0,59.93
404,2330,24212.0,59.93
405,2330,24271.0,59.93
406,2330,24332.0,59.93
407,2330,24391.0,59.93
408,2330,24452.0,59.93
409,2330,24511.0,59.93
410,2330,24571.0,59.93
411,2330,24630.0,59.93
412,2330,24691.0,59.93
413,2330,24751.0,59.93
414,2330,24812.0,59.93
415,2330,24870.0,59.93
416,2330,24932.0,59.93
417,2330,24990.0,59.93
418,2330,25051.0,59.93
419,2330,25110.0,59.93
420,2330,25171.0,59.93
421,2330,25230.0,59.93
422,2330,25290.0,59.93
423,2330,25348.0,59.93
424,2330,25409.0,59.93
425,2330,25468.0,59.93
426,2330,25529.0,59.93
427,2330,25589.0,59.93
428,2330,25649.0,59.93
429,2330,25709.0,59.93
430,2330,25770.0,59.93
431,2330,25829.0,59.93
432,2330,25890.0,59.93
433,2330,25949.0,59.93
434,2330,26011.0,59.93
435,2330,26070.0,59.93
436,2330,26131.0,59.93
437,2330,26190.0,59.93
438,2330,26250.0,59.93
439,2330,26309.0,59.93
440,2330,26370.0,59.93
441,2330,26429.0,59.93
442,2330,26489.0,59.93
443,2330,26548.0,59.93
444,2330,26609.0,59.93
445,2330,26668.0,59.93
446,2330,26729.0,59.93
447,2330,26788.0,59.93
448,2330,26849.0,59.93
449,2330,26909.0,59.93
450,2330,26970.0,59.93
451,2330,27029.0,59.93
452,2330,27089.0,59.93
453,2330,27149.0,59.93
