arm,r,cap,theiler_used,MG,LB,degenerate
fast,2,150,76,2.223985992579945,2.266738295195243,False
fast,2,1000000000,76,2.223985992579945,2.266738295195243,False
fast,4,150,76,2.977895530536167,3.009978424930491,False
fast,4,1000000000,76,2.977895530536167,3.009978424930491,False
slow,2,150,76,2.5090559643698462,2.7360128494152915,False
slow,2,1000000000,76,2.5090559643698462,2.7360128494152915,False
slow,4,150,76,3.3603586406013117,4.3727602170254505,False
slow,4,1000000000,76,3.3603586406013117,4.3727602170254505,False
transient,2,150,150,36.145280577020436,57.98573213285285,False
transient,2,1000000000,1624,39.04947139214518,78.40074312871333,False
transient,4,150,150,27.80166130373603,28.279501259879858,False
transient,4,1000000000,1600,171.9859677912155,182.0860314302828,False
