arm,theiler_label,r,MG,LB,theiler_used,truth,S_med,spread,r1,r1_W0,near_ref,kept,dt_W0,deg,PRdelay,n
fast,0,2,2.3364862084998212,2.362000290219572,0.0,1.999888015330764,8.1669052278254,4.513280379326624,0.1064831438024117,0.1064831438024117,0.8800006309944473,1.0,2577.5,0.0,2.4702736813275106,12
fast,0,4,4.689201673527569,4.806389592395517,0.0,3.999151764617517,4.063569632479675,1.9750241597371905,0.7170990853921729,0.7170990853921729,0.8788553760726906,1.0,2163.5,0.0,4.255855215811234,12
fast,0,6,6.697980616629247,6.905137705189272,0.0,5.996427609964024,2.821250086469269,1.606611695403204,1.3260058657463012,1.3260058657463012,0.8680369762746087,1.0,2604.0,0.0,5.569312320137931,12
fast,0,8,7.828087279681807,8.14022978206888,0.0,7.993740801865177,2.39817383583011,1.5658077866928077,1.4713501040726262,1.4713501040726262,0.8326255678950025,1.0,2515.5,0.0,5.752922056183389,12
fast,1,2,2.3364862084998212,2.362000290219572,1.0,1.999888015330764,8.1669052278254,4.513280379326624,0.1064831438024117,0.1064831438024117,0.8800006309944473,1.0,2577.5,0.0,2.4702736813275106,12
fast,1,4,4.689201673527569,4.806389592395517,1.0,3.999151764617517,4.063569632479675,1.9750241597371905,0.7170990853921729,0.7170990853921729,0.8788553760726906,1.0,2163.5,0.0,4.255855215811234,12
fast,1,6,6.667039637391966,6.871327296425948,1.0,5.996427609964024,2.840445925164439,1.6078642749595033,1.32645418654519,1.3260058657463012,0.85968576476527,0.9943652195860676,2604.0,0.0,5.569312320137931,12
fast,1,8,7.9816304726415455,8.32058869343004,1.0,7.993740801865177,2.351380521180758,1.563005319405693,1.4826390700572527,1.4713501040726262,0.8163963907117617,0.9655445482079756,2515.5,0.0,5.752922056183389,12
fast,10,2,2.3364862084998212,2.362000290219572,10.0,1.999888015330764,8.1669052278254,4.513280379326624,0.1064831438024117,0.1064831438024117,0.8800006309944473,1.0,2577.5,0.0,2.4702736813275106,12
fast,10,4,4.689201673527569,4.806389592395517,10.0,3.999151764617517,4.063569632479675,1.9750241597371905,0.7170990853921729,0.7170990853921729,0.8788553760726906,1.0,2163.5,0.0,4.255855215811234,12
fast,10,6,6.667014170643747,6.871306974233928,10.0,5.996427609964024,2.840445925164439,1.6078642749595033,1.32645418654519,1.3260058657463012,0.8596826097930338,0.993415572942958,2604.0,0.0,5.569312320137931,12
fast,10,8,7.979024539552976,8.317578386766078,10.0,7.993740801865177,2.3518055918056078,1.5630136098513487,1.4826390700572527,1.4713501040726262,0.8163963907117617,0.9652006562342252,2515.5,0.0,5.752922056183389,12
fast,100,2,2.336237972463061,2.361640632142858,100.0,1.999888015330764,8.1669052278254,4.589296341007628,0.1064831438024117,0.1064831438024117,0.8800006309944473,1.0,2577.5,0.0,2.4702736813275106,12
fast,100,4,4.688764917403604,4.806233241595388,100.0,3.999151764617517,4.0643124974069025,1.975989713781657,0.7170990853921729,0.7170990853921729,0.8788553760726906,0.9998864209994951,2163.5,0.0,4.255855215811234,12
fast,100,6,6.663925065784864,6.867724254817013,100.0,5.996427609964024,2.8407139415894394,1.6082180518498905,1.32645418654519,1.3260058657463012,0.8596573700151439,0.9879353861686015,2604.0,0.0,5.569312320137931,12
fast,100,8,7.975476309607805,8.315706924135826,100.0,7.993740801865177,2.3530397555407827,1.563561513191127,1.4827040671129437,1.4713501040726262,0.8141721352852095,0.9595437910146389,2515.5,0.0,5.752922056183389,12
fast,150,2,2.336237972463061,2.361640632142858,150.0,1.999888015330764,8.1669052278254,4.589296341007628,0.1064831438024117,0.1064831438024117,0.8800006309944473,1.0,2577.5,0.0,2.4702736813275106,12
fast,150,4,4.688764917403604,4.806233241595388,150.0,3.999151764617517,4.0643124974069025,1.975989713781657,0.7170990853921729,0.7170990853921729,0.878189676930843,0.999678192831903,2163.5,0.0,4.255855215811234,12
fast,150,6,6.659752159439724,6.863391969783615,150.0,5.996427609964024,2.8421737094188355,1.6084067701291942,1.32645418654519,1.3260058657463012,0.858792907622413,0.9852883644623929,2604.0,0.0,5.569312320137931,12
fast,150,8,7.970196969402762,8.310692825635504,150.0,7.993740801865177,2.3547016502417555,1.564142402198164,1.4828275854738462,1.4713501040726262,0.8131625441696113,0.9580388692579505,2515.5,0.0,5.752922056183389,12
fast,2,2,2.3364862084998212,2.362000290219572,2.0,1.999888015330764,8.1669052278254,4.513280379326624,0.1064831438024117,0.1064831438024117,0.8800006309944473,1.0,2577.5,0.0,2.4702736813275106,12
fast,2,4,4.689201673527569,4.806389592395517,2.0,3.999151764617517,4.063569632479675,1.9750241597371905,0.7170990853921729,0.7170990853921729,0.8788553760726906,1.0,2163.5,0.0,4.255855215811234,12
fast,2,6,6.667014170643747,6.871306974233928,2.0,5.996427609964024,2.840445925164439,1.6078642749595033,1.32645418654519,1.3260058657463012,0.8596826097930338,0.9943652195860676,2604.0,0.0,5.569312320137931,12
fast,2,8,7.980405061673471,8.319599431067696,2.0,7.993740801865177,2.3517520544292796,1.563005319405693,1.4826390700572527,1.4713501040726262,0.8163963907117617,0.9655224634023221,2515.5,0.0,5.752922056183389,12
fast,20,2,2.336237972463061,2.361640632142858,20.0,1.999888015330764,8.1669052278254,4.513280379326624,0.1064831438024117,0.1064831438024117,0.8800006309944473,1.0,2577.5,0.0,2.4702736813275106,12
fast,20,4,4.689201673527569,4.806389592395517,20.0,3.999151764617517,4.063569632479675,1.9750241597371905,0.7170990853921729,0.7170990853921729,0.8788553760726906,1.0,2163.5,0.0,4.255855215811234,12
fast,20,6,6.666772822793273,6.871037907343968,20.0,5.996427609964024,2.8405557612500942,1.6078642749595033,1.32645418654519,1.3260058657463012,0.8596794548207976,0.9933619384149419,2604.0,0.0,5.569312320137931,12
fast,20,8,7.97737373944716,8.316310089076861,20.0,7.993740801865177,2.3521860207532415,1.563034468387854,1.4826390700572527,1.4713501040726262,0.8163837708228168,0.9644403079252902,2515.5,0.0,5.752922056183389,12
fast,5,2,2.3364862084998212,2.362000290219572,5.0,1.999888015330764,8.1669052278254,4.513280379326624,0.1064831438024117,0.1064831438024117,0.8800006309944473,1.0,2577.5,0.0,2.4702736813275106,12
fast,5,4,4.689201673527569,4.806389592395517,5.0,3.999151764617517,4.063569632479675,1.9750241597371905,0.7170990853921729,0.7170990853921729,0.8788553760726906,1.0,2163.5,0.0,4.255855215811234,12
