step,train_loss_sum,train_loss_per_token,lr_multiplier,phase
0,354304.0,10.8125,1.0,constant_lr
1,354304.0,10.8125,1.0,constant_lr
2,330496.0,10.0859375,1.0,constant_lr
3,320256.0,9.7734375,1.0,constant_lr
4,262272.0,8.00390625,1.0,constant_lr
5,248704.0,7.58984375,1.0,constant_lr
6,244864.0,7.47265625,1.0,constant_lr
7,235136.0,7.17578125,1.0,constant_lr
8,227072.0,6.9296875,1.0,constant_lr
9,224768.0,6.859375,1.0,constant_lr
10,221952.0,6.7734375,1.0,constant_lr
11,217472.0,6.63671875,1.0,constant_lr
12,213504.0,6.515625,1.0,constant_lr
13,213760.0,6.5234375,1.0,constant_lr
14,212992.0,6.5,1.0,constant_lr
15,208128.0,6.3515625,1.0,constant_lr
16,207104.0,6.3203125,1.0,constant_lr
17,205952.0,6.28515625,1.0,constant_lr
18,206592.0,6.3046875,1.0,constant_lr
19,205440.0,6.26953125,1.0,constant_lr
20,205696.0,6.27734375,1.0,constant_lr
21,202368.0,6.17578125,1.0,constant_lr
22,198528.0,6.05859375,1.0,constant_lr
23,200064.0,6.10546875,1.0,constant_lr
24,199552.0,6.08984375,1.0,constant_lr
25,196352.0,5.9921875,1.0,constant_lr
26,195456.0,5.96484375,1.0,constant_lr
27,194560.0,5.9375,1.0,constant_lr
28,194176.0,5.92578125,1.0,constant_lr
29,194432.0,5.93359375,1.0,constant_lr
30,192000.0,5.859375,1.0,constant_lr
31,189952.0,5.796875,1.0,constant_lr
32,189696.0,5.7890625,1.0,constant_lr
33,189056.0,5.76953125,1.0,constant_lr
34,191104.0,5.83203125,1.0,constant_lr
35,187520.0,5.72265625,1.0,constant_lr
36,187904.0,5.734375,1.0,constant_lr
37,184832.0,5.640625,1.0,constant_lr
38,186240.0,5.68359375,1.0,constant_lr
39,183808.0,5.609375,1.0,constant_lr
40,182912.0,5.58203125,1.0,constant_lr
41,184320.0,5.625,1.0,constant_lr
42,181888.0,5.55078125,1.0,constant_lr
43,181632.0,5.54296875,1.0,constant_lr
44,180352.0,5.50390625,1.0,constant_lr
45,178688.0,5.453125,1.0,constant_lr
46,180352.0,5.50390625,1.0,constant_lr
47,179712.0,5.484375,1.0,constant_lr
48,177536.0,5.41796875,1.0,constant_lr
49,177536.0,5.41796875,1.0,constant_lr
50,179840.0,5.48828125,1.0,constant_lr
51,173696.0,5.30078125,1.0,constant_lr
52,177280.0,5.41015625,1.0,constant_lr
53,174976.0,5.33984375,1.0,constant_lr
54,176128.0,5.375,1.0,constant_lr
55,174208.0,5.31640625,1.0,constant_lr
56,176768.0,5.39453125,1.0,constant_lr
57,174464.0,5.32421875,1.0,constant_lr
58,171904.0,5.24609375,1.0,constant_lr
59,174080.0,5.3125,1.0,constant_lr
60,174464.0,5.32421875,1.0,constant_lr
61,169344.0,5.16796875,1.0,constant_lr
62,173184.0,5.28515625,1.0,constant_lr
63,171648.0,5.23828125,1.0,constant_lr
64,173056.0,5.28125,1.0,constant_lr
65,167936.0,5.125,1.0,constant_lr
66,169984.0,5.1875,1.0,constant_lr
67,171008.0,5.21875,1.0,constant_lr
68,168448.0,5.140625,1.0,constant_lr
69,169856.0,5.18359375,1.0,constant_lr
70,171264.0,5.2265625,1.0,constant_lr
71,167168.0,5.1015625,1.0,constant_lr
72,167680.0,5.1171875,1.0,constant_lr
73,166528.0,5.08203125,1.0,constant_lr
74,165760.0,5.05859375,1.0,constant_lr
75,165504.0,5.05078125,1.0,constant_lr
76,166016.0,5.06640625,1.0,constant_lr
77,165888.0,5.0625,1.0,constant_lr
78,166272.0,5.07421875,1.0,constant_lr
79,166528.0,5.08203125,1.0,constant_lr
80,164736.0,5.02734375,1.0,constant_lr
81,163456.0,4.98828125,1.0,constant_lr
82,164480.0,5.01953125,1.0,constant_lr
83,162944.0,4.97265625,1.0,constant_lr
