r,observer,tau,seed,state_PR,MG,specPR0,specPR256,PRdelay,roughness,degenerate
1,equal,1,0,1.0,1.144824667934014,1.0414924638977983,1.0208478317071465,2.0306842980168796,0.44672327903804904,False
1,equal,1,1,1.0,1.1448248476578113,1.0414678656570702,1.0208249105969032,2.0306813867738263,0.44672224868291094,False
1,equal,1,2,1.0,1.144824544500657,1.04148919691199,1.0208487688684436,2.0307049095655945,0.44671985632614875,False
1,equal,2,0,1.0,1.146600485499321,1.0414924638977983,1.0208478317071465,2.0331935504845062,0.44672327903804904,False
1,equal,2,1,1.0,1.1466006838396472,1.0414678656570702,1.0208249105969032,2.0331913551014558,0.44672224868291094,False
1,equal,2,2,1.0,1.1466003605173365,1.04148919691199,1.0208487688684436,2.033208866070638,0.44671985632614875,False
1,equal,4,0,1.0,1.1501768165065513,1.0414924638977983,1.0208478317071465,2.0361677469744253,0.44672327903804904,False
1,equal,4,1,1.0,1.1501770383177052,1.0414678656570702,1.0208249105969032,2.0361696774593114,0.44672224868291094,False
1,equal,4,2,1.0,1.150176698889584,1.04148919691199,1.0208487688684436,2.036153207315505,0.44671985632614875,False
1,generic,1,0,1.0,1.1448245928298555,1.0228814727200992,1.0026123590007876,1.9962691235949455,0.44119482386228853,False
1,generic,1,1,1.0,1.1448250734328123,1.0536784286451295,1.0327841761327814,2.05323244519802,0.45026123920218636,False
1,generic,1,2,1.0,1.1448242080510092,1.027373320631196,1.0070227606146156,2.0046269252636963,0.4425417284339694,False
1,generic,2,0,1.0,1.1466004257016023,1.0228814727200992,1.0026123590007876,1.9971136777982563,0.44119482386228853,False
1,generic,2,1,1.0,1.146600747259551,1.0536784286451295,1.0327841761327814,2.0568650315698704,0.45026123920218636,False
1,generic,2,2,1.0,1.1466000697584247,1.027373320631196,1.0070227606146156,2.005863492628735,0.4425417284339694,False
1,generic,4,0,1.0,1.1501769122071754,1.0228814727200992,1.0026123590007876,1.9999330618817013,0.44119482386228853,False
1,generic,4,1,1.0,1.1501770310800818,1.0536784286451295,1.0327841761327814,2.059944865009535,0.45026123920218636,False
1,generic,4,2,1.0,1.1501765263865458,1.027373320631196,1.0070227606146156,2.0086918294841274,0.4425417284339694,False
2,equal,1,0,1.999999996251443,3.1401984332544868,3.6601842407498406,2.146648772276829,4.080856859219864,0.49173290303162165,False
2,equal,1,1,1.9999999945830156,3.1419649927861757,3.6579077922716996,2.1467761817157704,4.080760576812343,0.49164538525162155,False
2,equal,1,2,1.9999999571766516,3.134249322868534,3.654203611073073,2.146075912081625,4.080801817549511,0.49164139083043285,False
2,equal,2,0,1.999999996251443,3.136970190620393,3.6601842407498406,2.146648772276829,4.08703645789184,0.49173290303162165,False
2,equal,2,1,1.9999999945830156,3.137090142268458,3.6579077922716996,2.1467761817157704,4.086927237186256,0.49164538525162155,False
2,equal,2,2,1.9999999571766516,3.1283803732689983,3.654203611073073,2.146075912081625,4.086951424044462,0.49164139083043285,False
2,equal,4,0,1.999999996251443,3.2082289425814023,3.6601842407498406,2.146648772276829,4.02092879918627,0.49173290303162165,False
2,equal,4,1,1.9999999945830156,3.214736747552452,3.6579077922716996,2.1467761817157704,4.020865442654771,0.49164538525162155,False
2,equal,4,2,1.9999999571766516,3.2115136711363705,3.654203611073073,2.146075912081625,4.020897045515539,0.49164139083043285,False
2,generic,1,0,1.999999996251443,2.5614023148672014,4.33796877704309,1.9444734896622051,3.647842750948281,0.5899401059310215,False
2,generic,1,1,1.9999999945830156,2.0395437458426353,3.1004306796407137,1.3173743847459998,2.5503387406658464,0.5929500154932186,False
2,generic,1,2,1.9999999571766516,2.215057842106312,2.812398596717429,1.187279840023498,2.3021941300362565,0.5940554033373593,False
2,generic,2,0,1.999999996251443,2.565045095008453,4.33796877704309,1.9444734896622051,3.6546298288973103,0.5899401059310215,False
2,generic,2,1,1.9999999945830156,2.031706116243169,3.1004306796407137,1.3173743847459998,2.550099220720772,0.5929500154932186,False
2,generic,2,2,1.9999999571766516,2.2109426265614673,2.812398596717429,1.187279840023498,2.3017514482910966,0.5940554033373593,False
2,generic,4,0,1.999999996251443,2.5914795492165448,4.33796877704309,1.9444734896622051,3.358622142315803,0.5899401059310215,False
2,generic,4,1,1.9999999945830156,2.0701916216594074,3.1004306796407137,1.3173743847459998,2.511938590011603,0.5929500154932186,False
2,generic,4,2,1.9999999571766516,2.22195431767761,2.812398596717429,1.187279840023498,2.2879515616729758,0.5940554033373593,False
3,equal,1,0,2.9999995272531472,4.481055077672505,5.406573525816629,3.3019428138239526,3.7624309945293466,0.46592389220492797,False
3,equal,1,1,2.99999969989221,4.482987105811463,5.40960830368755,3.300610401195193,3.7609711549465175,0.46601548651393415,False
3,equal,1,2,2.9999996421086754,4.4782385290845745,5.401573993300443,3.299603192335943,3.76230221403038,0.46592087172066277,False
3,equal,2,0,2.9999995272531472,4.919701725374993,5.406573525816629,3.3019428138239526,4.9564898326857305,0.46592389220492797,False
3,equal,2,1,2.99999969989221,4.928043969186867,5.40960830368755,3.300610401195193,4.953048427238072,0.46601548651393415,False
3,equal,2,2,2.9999996421086754,4.921378254274349,5.401573993300443,3.299603192335943,4.956441866831214,0.46592087172066277,False
3,equal,4,0,2.9999995272531472,5.326713928362546,5.406573525816629,3.3019428138239526,6.14392310452062,0.46592389220492797,False
3,equal,4,1,2.99999969989221,5.329132820041177,5.40960830368755,3.300610401195193,6.143723522114294,0.46601548651393415,False
3,equal,4,2,2.9999996421086754,5.3241237762304365,5.401573993300443,3.299603192335943,6.143618764066288,0.46592087172066277,False
3,generic,1,0,2.9999995272531472,4.475327932829643,2.396628527639338,1.5923936383456476,2.198747300700016,0.3953292779935176,False
3,generic,1,1,2.99999969989221,3.508601624389617,3.7159856374128766,2.082336296466421,3.9766593709062215,0.4954659246628561,False
3,generic,1,2,2.9999996421086754,2.985250129404348,1.621594516647864,1.2157107862426393,2.129245787335644,0.3329094472151852,False
3,generic,2,0,2.9999995272531472,4.356405234406137,2.396628527639338,1.5923936383456476,2.593156739314536,0.3953292779935176,False
3,generic,2,1,2.99999969989221,2.8187074611339527,3.7159856374128766,2.082336296466421,4.013233851920182,0.4954659246628561,False
3,generic,2,2,2.9999996421086754,3.0067575163324065,1.621594516647864,1.2157107862426393,2.270656973779587,0.3329094472151852,False
3,generic,4,0,2.9999995272531472,4.344230333160365,2.396628527639338,1.5923936383456476,2.973021273552853,0.3953292779935176,False
3,generic,4,1,2.99999969989221,2.5131316083906077,3.7159856374128766,2.082336296466421,4.01840061878816,0.4954659246628561,False
3,generic,4,2,2.9999996421086754,3.015578263927842,1.621594516647864,1.2157107862426393,2.392379543015298,0.3329094472151852,False
4,equal,1,0,3.9999993114166896,5.078526055066448,7.489788249607207,4.398824555328907,3.7755997644264574,0.4887044434262639,False
4,equal,1,1,3.9999993185010747,5.093403505167646,7.48008711681993,4.399887829444056,3.776199718806634,0.4886443592223806,False
4,equal,1,2,3.9999996269396507,5.070961655807952,7.4894696719530875,4.400654418590035,3.7752558963433467,0.48871776047328586,False
4,equal,2,0,3.9999993114166896,6.515722572347656,7.489788249607207,4.398824555328907,5.625982333662378,0.4887044434262639,False
4,equal,2,1,3.9999993185010747,6.479300032796245,7.48008711681993,4.399887829444056,5.627286510490124,0.4886443592223806,False
4,equal,2,2,3.9999996269396507,6.466522330571895,7.4894696719530875,4.400654418590035,5.625248753228397,0.48871776047328586,False
4,equal,4,0,3.9999993114166896,10.682540455318923,7.489788249607207,4.398824555328907,8.03127299925977,0.4887044434262639,False
4,equal,4,1,3.9999993185010747,10.678106102551853,7.48008711681993,4.399887829444056,8.031300930724077,0.4886443592223806,False
4,equal,4,2,3.9999996269396507,10.674789143924842,7.4894696719530875,4.400654418590035,8.030994370779375,0.48871776047328586,False
4,generic,1,0,3.9999993114166896,2.375417958016952,4.332781984925696,2.140867142212063,2.2837530882561774,0.5672756939036878,False
4,generic,1,1,3.9999993185010747,4.401788885801368,3.160386821483553,2.3104457080337037,2.955662705427877,0.399520173033202,False
4,generic,1,2,3.9999996269396507,4.110559570124025,4.520534469835301,1.983775756914933,2.271578924108654,0.5828200699911871,False
4,generic,2,0,3.9999993114166896,2.6606088365819764,4.332781984925696,2.140867142212063,2.815160240224555,0.5672756939036878,False
4,generic,2,1,3.9999993185010747,4.734122807222452,3.160386821483553,2.3104457080337037,3.6777883251860763,0.399520173033202,False
4,generic,2,2,3.9999996269396507,4.0498686559186075,4.520534469835301,1.983775756914933,2.718404581830187,0.5828200699911871,False
4,generic,4,0,3.9999993114166896,2.923222781942212,4.332781984925696,2.140867142212063,4.042444604019531,0.5672756939036878,False
4,generic,4,1,3.9999993185010747,3.7099460522909746,3.160386821483553,2.3104457080337037,4.447967259143872,0.399520173033202,False
4,generic,4,2,3.9999996269396507,4.819277534691027,4.520534469835301,1.983775756914933,3.7367861899285355,0.5828200699911871,False
6,equal,1,0,5.999994511291019,5.303700899147708,9.944665928757711,6.576800360084064,3.5914927833955614,0.4762154647412934,False
6,equal,1,1,5.999995825953865,5.172121545451333,9.948560524945812,6.573823383431712,3.591442139546898,0.47613309605032417,False
6,equal,1,2,5.999997746092789,5.294174914874762,9.939529931279244,6.5714103197326175,3.593017993559751,0.47610162950925483,False
6,equal,2,0,5.999994511291019,6.617427430834867,9.944665928757711,6.576800360084064,5.515971060922239,0.4762154647412934,False
6,equal,2,1,5.999995825953865,6.434216590748785,9.948560524945812,6.573823383431712,5.5147879229236905,0.47613309605032417,False
6,equal,2,2,5.999997746092789,6.57891512214443,9.939529931279244,6.5714103197326175,5.518071230899703,0.47610162950925483,False
6,equal,4,0,5.999994511291019,8.930175950638109,9.944665928757711,6.576800360084064,8.322820954404417,0.4762154647412934,False
6,equal,4,1,5.999995825953865,8.919653504347336,9.948560524945812,6.573823383431712,8.322023813145702,0.47613309605032417,False
6,equal,4,2,5.999997746092789,8.951551593565851,9.939529931279244,6.5714103197326175,8.322926077245821,0.47610162950925483,False
6,generic,1,0,5.999994511291019,5.209624489841205,4.6283432924917385,3.391587278191138,3.0817810641758174,0.4826076848438213,False
6,generic,1,1,5.999995825953865,4.849939860753407,7.02735941934389,4.032360075798886,3.834692457545881,0.4968276351002882,False
6,generic,1,2,5.999997746092789,4.976998189702459,7.544425132958348,3.723475280501589,3.0221157919319834,0.5462351293654747,False
6,generic,2,0,5.999994511291019,5.978009197532104,4.6283432924917385,3.391587278191138,4.079432325428685,0.4826076848438213,False
6,generic,2,1,5.999995825953865,5.664931293058921,7.02735941934389,4.032360075798886,4.877599416557366,0.4968276351002882,False
6,generic,2,2,5.999997746092789,5.694144057699603,7.544425132958348,3.723475280501589,4.226907854792251,0.5462351293654747,False
6,generic,4,0,5.999994511291019,4.899587303707605,4.6283432924917385,3.391587278191138,4.766849301151228,0.4826076848438213,False
6,generic,4,1,5.999995825953865,5.2341017790129944,7.02735941934389,4.032360075798886,6.927857687409993,0.4968276351002882,False
6,generic,4,2,5.999997746092789,8.208056397505155,7.544425132958348,3.723475280501589,6.162742047592774,0.5462351293654747,False
8,equal,1,0,7.999965098934886,5.4821969510544335,11.594435455988975,8.66621057206144,3.348880173202217,0.46828684272718,False
8,equal,1,1,7.999970984113716,5.364621239598789,11.586241564720185,8.669004192753901,3.348440675262406,0.46835557242684517,False
8,equal,1,2,7.999980918356921,5.424225692117525,11.593465948647747,8.666344755699491,3.3475626285633915,0.4683262736432483,False
8,equal,2,0,7.999965098934886,6.846968492603859,11.594435455988975,8.66621057206144,5.276131648905768,0.46828684272718,False
8,equal,2,1,7.999970984113716,6.5482471054647045,11.586241564720185,8.669004192753901,5.273825799253576,0.46835557242684517,False
8,equal,2,2,7.999980918356921,6.686416432883964,11.593465948647747,8.666344755699491,5.2738206027836485,0.4683262736432483,False
8,equal,4,0,7.999965098934886,8.712703639589392,11.594435455988975,8.66621057206144,8.265743169921567,0.46828684272718,False
8,equal,4,1,7.999970984113716,8.716491525293783,11.586241564720185,8.669004192753901,8.262349213788308,0.46835557242684517,False
8,equal,4,2,7.999980918356921,8.605638513931627,11.593465948647747,8.666344755699491,8.26484572475986,0.4683262736432483,False
8,generic,1,0,7.999965098934886,4.901996603052673,5.862345737971488,5.05854650571329,2.9251728482520534,0.43319178401762504,False
8,generic,1,1,7.999970984113716,5.202985348009236,6.161259320064069,4.547479375735828,3.0313743222721126,0.5239106566251378,False
8,generic,1,2,7.999980918356921,4.924911214308823,2.1792826730821946,2.1255227948533437,2.488726801486287,0.4665308873540677,False
8,generic,2,0,7.999965098934886,5.675877394109641,5.862345737971488,5.05854650571329,4.741627114776953,0.43319178401762504,False
8,generic,2,1,7.999970984113716,6.25002291839246,6.161259320064069,4.547479375735828,4.0144586929308455,0.5239106566251378,False
8,generic,2,2,7.999980918356921,6.7755188795041805,2.1792826730821946,2.1255227948533437,3.2269797062526044,0.4665308873540677,False
8,generic,4,0,7.999965098934886,7.382418248672023,5.862345737971488,5.05854650571329,6.359588320689961,0.43319178401762504,False
8,generic,4,1,7.999970984113716,6.592571695861445,6.161259320064069,4.547479375735828,5.113093368374744,0.5239106566251378,False
8,generic,4,2,7.999980918356921,7.797146809749813,2.1792826730821946,2.1255227948533437,3.682928294540108,0.4665308873540677,False
