step,train_loss,val_loss,train_acc,val_acc,weight_norm,grad_norm,embed_grad_norm,grad_cosine
0,6.570234245150294,6.580165360626034,0.0078125,0.001953125,48.83057393904646,0.21999186777489055,0.05432093799848115,0.0
10,6.591357197912155,6.583203708207418,0.0,0.001953125,48.96685719860773,0.229456614113867,0.04682995556338303,0.041644848068633375
20,6.592075651853683,6.58325984361365,0.0,0.001953125,49.06817425344944,0.18356432541229142,0.05360772268259444,0.045176629971585794
30,6.580283333487168,6.597433385774629,0.0078125,0.0,49.15734431775309,0.20139486711543084,0.049357698582447075,0.0365948057092539
40,6.588817453653089,6.585496782516239,0.0,0.00390625,49.200452905283825,0.15384141932298187,0.05063928872209615,0.00019625501587713402
50,6.572964044843621,6.578846826588626,0.00390625,0.0,49.26472350991973,0.15593877146789578,0.048721614789059974,0.049377329094498726
60,6.579644034330936,6.58152774327845,0.00390625,0.001953125,49.328313079071386,0.13417545569015607,0.047626904660084284,0.05493535894206679
70,6.578247532463045,6.585997963413105,0.00390625,0.00390625,49.382910068098205,0.14797077193350391,0.058676486357068215,-0.05027368703473542
80,6.581335066950969,6.583587387571196,0.0,0.0,49.41970252490789,0.11562169748949164,0.03829726337183837,0.016590014088595475
90,6.584109011868865,6.587862102601905,0.0,0.0,49.46103071920971,0.12746546572284068,0.04801072080048289,0.08404226990256798
100,6.582633081482397,6.585362915565284,0.0,0.00390625,49.54087100393029,0.12858384427851133,0.04711149280211519,0.066693601165103
110,6.585133669171165,6.581848983626262,0.0,0.00390625,49.62101399645873,0.1376379934385553,0.04935071765729457,0.08572964682283721
120,6.586250642045748,6.584924740421973,0.0,0.001953125,49.70858112815906,0.11339851211352583,0.042252863244353484,-0.028003205997456006
130,6.583168361675714,6.5822661572546,0.0,0.0,49.7432098792054,0.11013243872465958,0.04565952413715084,0.016101159028211808
140,6.581284468468056,6.58542099058516,0.0,0.0,49.78645112512991,0.10596359924476678,0.04638615581428048,0.04525451497493362
150,6.577263841127319,6.589067780336965,0.00390625,0.0,49.85388286875799,0.11777992235826171,0.04490478453306561,0.019597996399609654
160,6.584425583861913,6.589280830116998,0.0,0.0,49.95022591986969,0.11642057130654294,0.04800950255756615,0.12869383227025474
170,6.5892868628119245,6.5855914369771025,0.0,0.001953125,50.02546375620181,0.1271288279669565,0.05807730853871509,0.04142462552219141
180,6.578255312090965,6.579752388716296,0.0,0.001953125,50.164354093281204,0.1054433422394741,0.04142376480653843,0.041827195921052863
190,6.5807966544127465,6.578093122891854,0.00390625,0.00390625,50.328758885184705,0.1356593505048773,0.05993304993618739,0.06163202268389991
200,6.584814025792746,6.586078428025097,0.0,0.00390625,50.34347950900447,0.12172382554819196,0.05035425087259192,0.050133182405891444
210,6.582825477806403,6.585799194011175,0.0,0.00390625,50.33143457843273,0.113784027727477,0.05258874661215749,0.007707182730491657
220,6.588749189404616,6.586789140376986,0.0,0.0,50.377478496266065,0.10803552655154393,0.047067951799942456,-0.01724370828473365
230,6.578904410278952,6.591355844887135,0.0078125,0.0,50.4403430211772,0.11750349601285913,0.047622836443873176,-0.014973101975525952
240,6.580840167541008,6.584634110589004,0.00390625,0.0,50.53515883746831,0.11306245439232906,0.0554869726165509,0.040032919282756374
250,6.585175921517477,6.583142173447324,0.0,0.001953125,50.62607984090856,0.11310342814692032,0.054999594992746495,-0.0359321063906681
