step,train_loss,train_acc,val_loss,val_acc,train_loss_full,train_acc_full,val_loss_full,val_acc_full
0,4.70369815826416,0.01953125,4.7032976150512695,0.009765625,4.6935505867004395,0.012967687100172043,4.694953918457031,0.010626992210745811
1,4.719775199890137,0.01171875,4.664693832397461,0.01171875,4.651961803436279,0.012329931370913982,4.660347938537598,0.010201912373304367
2,4.658026695251465,0.0078125,4.638389587402344,0.005859375,4.628283500671387,0.013180271722376347,4.64225959777832,0.0095642926171422
3,4.670561790466309,0.01171875,4.6241865158081055,0.001953125,4.615582466125488,0.01403061207383871,4.633696556091309,0.008714133873581886
4,4.575400352478027,0.01953125,4.62541389465332,0.01171875,4.613240718841553,0.011479591950774193,4.637347221374512,0.009776832535862923
5,4.632754325866699,0.01171875,4.628173828125,0.01171875,4.612238883972168,0.010841836221516132,4.640970230102539,0.010626992210745811
6,4.637142181396484,0.0078125,4.632090091705322,0.01171875,4.6112799644470215,0.01041666604578495,4.64390230178833,0.010626992210745811
7,4.641087532043457,0.00390625,4.6332926750183105,0.013671875,4.6084723472595215,0.01105442177504301,4.643553256988525,0.00913921371102333
8,4.661937236785889,0.0078125,4.632046222686768,0.013671875,4.604030609130859,0.009141156449913979,4.640633583068848,0.008289054036140442
9,4.662139892578125,0.00390625,4.62971305847168,0.009765625,4.5990447998046875,0.011692176572978497,4.636948108673096,0.008501593954861164
10,4.644709587097168,0.00390625,4.626392841339111,0.009765625,4.595081806182861,0.01105442177504301,4.633729934692383,0.008926673792302608
11,4.650338172912598,0.0,4.625572681427002,0.009765625,4.591061115264893,0.012755101546645164,4.631024360656738,0.008501593954861164
12,4.644806385040283,0.01171875,4.6252031326293945,0.009765625,4.588028430938721,0.01105442177504301,4.62914514541626,0.009351753629744053
13,4.62709903717041,0.00390625,4.624542236328125,0.009765625,4.58536434173584,0.011267006397247314,4.627640247344971,0.008714133873581886
14,4.62927770614624,0.0078125,4.622652053833008,0.009765625,4.582390785217285,0.013605441898107529,4.625997066497803,0.008926673792302608
15,4.625983238220215,0.0078125,4.621166229248047,0.01171875,4.579676628112793,0.011692176572978497,4.624716281890869,0.008501593954861164
16,4.63340950012207,0.00390625,4.620238780975342,0.01171875,4.577239036560059,0.011692176572978497,4.623874664306641,0.009351753629744053
17,4.6109466552734375,0.00390625,4.620434284210205,0.013671875,4.5753302574157715,0.014668366871774197,4.624001502990723,0.00913921371102333
18,4.643467426300049,0.03125,4.620484352111816,0.0078125,4.5735764503479,0.01615646295249462,4.623800277709961,0.00807651411741972
19,4.599842071533203,0.01171875,4.621954917907715,0.009765625,4.571946620941162,0.01636904664337635,4.623786926269531,0.006588735152035952
20,4.548304557800293,0.02734375,4.624202728271484,0.013671875,4.571871280670166,0.015731291845440865,4.625611782073975,0.00913921371102333
21,4.559499263763428,0.0234375,4.628147125244141,0.0078125,4.572679042816162,0.01658163219690323,4.628634929656982,0.009776832535862923
22,4.576432228088379,0.03515625,4.633564472198486,0.005859375,4.57365083694458,0.017219386994838715,4.632415771484375,0.008926673792302608
23,4.582100868225098,0.01171875,4.638347625732422,0.001953125,4.574572563171387,0.017431972548365593,4.636075973510742,0.00743889482691884
24,4.584928512573242,0.0234375,4.6429595947265625,0.001953125,4.574393272399902,0.017219386994838715,4.6391472816467285,0.006376195233315229
25,4.611033916473389,0.01171875,4.645865440368652,0.001953125,4.572927951812744,0.017006803303956985,4.640194892883301,0.00573857594281435
26,4.577486038208008,0.02734375,4.64744758605957,0.001953125,4.5711469650268555,0.016794217750430107,4.64050817489624,0.005951115861535072
27,4.6319074630737305,0.00390625,4.6473388671875,0.001953125,4.567828178405762,0.017219386994838715,4.638888359069824,0.005951115861535072
28,4.599264144897461,0.01171875,4.647243022918701,0.005859375,4.564051151275635,0.015306122601032257,4.636959075927734,0.007013814989477396
29,4.59506368637085,0.01171875,4.6467132568359375,0.005859375,4.5601677894592285,0.01615646295249462,4.634757041931152,0.007863974198698997
30,4.5699992179870605,0.01171875,4.646391868591309,0.0078125,4.55656099319458,0.017219386994838715,4.633047580718994,0.00743889482691884
31,4.569624900817871,0.0,4.64552116394043,0.0078125,4.55318021774292,0.018282312899827957,4.63148832321167,0.00743889482691884
32,4.590925216674805,0.015625,4.644730567932129,0.01171875,4.550043106079102,0.01658163219690323,4.63009786605835,0.007651434279978275
33,4.576231002807617,0.015625,4.643158912658691,0.009765625,4.5471625328063965,0.014880952425301075,4.629153728485107,0.006588735152035952
34,4.585299491882324,0.015625,4.642644882202148,0.01171875,4.544429302215576,0.01636904664337635,4.62857723236084,0.00743889482691884
35,4.583115577697754,0.00390625,4.64216423034668,0.009765625,4.541844367980957,0.018920067697763443,4.628130912780762,0.005951115861535072
36,4.600351333618164,0.00390625,4.640132904052734,0.01171875,4.539294242858887,0.018707482144236565,4.627447128295898,0.007013814989477396
37,4.562045574188232,0.0,4.639682769775391,0.01171875,4.537320137023926,0.02104591764509678,4.627703666687012,0.00573857594281435
38,4.540390491485596,0.02734375,4.640194416046143,0.013671875,4.536190986633301,0.02062074840068817,4.629125118255615,0.005951115861535072
39,4.543365478515625,0.015625,4.640727996826172,0.01171875,4.535508155822754,0.023171767592430115,4.630940914154053,0.005526036024093628
40,4.545273303985596,0.0234375,4.642029762268066,0.0078125,4.535096645355225,0.02508503384888172,4.633021354675293,0.0051009561866521835
41,4.540489196777344,0.02734375,4.644292831420898,0.00390625,4.534543991088867,0.02657312899827957,4.635365962982178,0.0051009561866521835
42,4.551851272583008,0.015625,4.646367073059082,0.00390625,4.534057140350342,0.024659862741827965,4.637518882751465,0.004888416267931461
43,4.527405261993408,0.03125,4.6485915184021,0.00390625,4.533019542694092,0.025935374200344086,4.639570713043213,0.005526036024093628
44,4.544125556945801,0.03125,4.650439262390137,0.00390625,4.531526565551758,0.024872448295354843,4.641322612762451,0.005951115861535072
45,4.562201023101807,0.015625,4.651671409606934,0.00390625,4.529489040374756,0.02657312899827957,4.642934322357178,0.005951115861535072
46,4.550783634185791,0.03125,4.652215957641602,0.00390625,4.527059078216553,0.027636053040623665,4.644284248352051,0.006163655314594507
47,4.535998344421387,0.03125,4.652899265289307,0.00390625,4.5243964195251465,0.02699829824268818,4.645786762237549,0.00573857594281435
48,4.541466236114502,0.01171875,4.653550148010254,0.00390625,4.521420478820801,0.028911564499139786,4.647366523742676,0.005526036024093628
49,4.550129413604736,0.01953125,4.654808044433594,0.00390625,4.518305778503418,0.032100338488817215,4.649040222167969,0.0051009561866521835
50,4.537841796875,0.03515625,4.656355381011963,0.00390625,4.514865875244141,0.03295068070292473,4.650632858276367,0.004888416267931461
51,4.539003372192383,0.05078125,4.657993316650391,0.00390625,4.511157989501953,0.032100338488817215,4.652184009552002,0.004888416267931461
52,4.554332256317139,0.03125,4.659991264343262,0.005859375,4.507591724395752,0.03316326439380646,4.653618335723877,0.0051009561866521835
53,4.54747200012207,0.01953125,4.662773132324219,0.005859375,4.504197120666504,0.03125,4.655433654785156,0.005526036024093628
54,4.57433557510376,0.0078125,4.6649088859558105,0.00390625,4.5009636878967285,0.031887754797935486,4.656704902648926,0.0046758768148720264
55,4.56584358215332,0.01953125,4.667069911956787,0.005859375,4.4978814125061035,0.033588435500860214,4.658423900604248,0.005951115861535072
56,4.558408260345459,0.02083333395421505,4.668914794921875,0.005859375,4.495058536529541,0.03550169989466667,4.660462379455566,0.006588735152035952
57,4.488170623779297,0.0546875,4.670199394226074,0.00390625,4.4926438331604,0.0342261902987957,4.662770748138428,0.00573857594281435
58,4.484434604644775,0.03515625,4.672485828399658,0.00390625,4.490764141082764,0.03465136140584946,4.665899753570557,0.005526036024093628
59,4.493171691894531,0.03125,4.675511360168457,0.001953125,4.4892377853393555,0.0327380932867527,4.6693902015686035,0.004463336896151304
60,4.487740516662598,0.04296875,4.679088592529297,0.001953125,4.487392902374268,0.032100338488817215,4.672912120819092,0.0025504780933260918
61,4.483235836029053,0.04296875,4.682889938354492,0.001953125,4.485512733459473,0.03146258369088173,4.676546096801758,0.002975557930767536
62,4.534110069274902,0.0234375,4.686147689819336,0.001953125,4.4832916259765625,0.031887754797935486,4.679559230804443,0.0025504780933260918
63,4.479545593261719,0.02734375,4.690125465393066,0.001953125,4.480775833129883,0.03231292590498924,4.682476043701172,0.002763018012046814
64,4.473106861114502,0.046875,4.693444728851318,0.001953125,4.478096008300781,0.03252550959587097,4.685503959655762,0.0031880976166576147
65,4.472186088562012,0.02734375,4.696725368499756,0.001953125,4.47537899017334,0.03380101919174194,4.688560962677002,0.004250796977430582
66,4.530853271484375,0.01953125,4.699371337890625,0.00390625,4.471806049346924,0.034863945096731186,4.690690040588379,0.004463336896151304
67,4.482882499694824,0.01953125,4.702169418334961,0.001953125,4.467665672302246,0.03528911620378494,4.692923545837402,0.0046758768148720264
68,4.502128601074219,0.01953125,4.704929828643799,0.001953125,4.462917327880859,0.03528911620378494,4.694764137268066,0.00403825705870986
69,4.53322696685791,0.01953125,4.706876277923584,0.001953125,4.457881450653076,0.03741496428847313,4.695998668670654,0.004463336896151304
70,4.520211696624756,0.01171875,4.707083702087402,0.001953125,4.4525957107543945,0.04124149680137634,4.696753978729248,0.0038257171399891376
71,4.526699066162109,0.0234375,4.707405090332031,0.0,4.447528839111328,0.042304422706365585,4.697453022003174,0.00403825705870986
72,4.509344100952148,0.03515625,4.707981109619141,0.0,4.442693710327148,0.048469386994838715,4.698517322540283,0.0046758768148720264
73,4.512648582458496,0.0390625,4.709465503692627,0.0,4.438113689422607,0.048469386994838715,4.699808597564697,0.004250796977430582
74,4.515071868896484,0.03515625,4.711612224578857,0.0,4.433759689331055,0.049957480281591415,4.701467514038086,0.00403825705870986
75,4.493014812469482,0.0416666679084301,4.7147698402404785,0.001953125,4.429610729217529,0.04931972548365593,4.703212261199951,0.0038257171399891376
76,4.443417549133301,0.046875,4.71806001663208,0.001953125,4.426011085510254,0.04634353518486023,4.705852508544922,0.0038257171399891376
77,4.44207239151001,0.04296875,4.722679138183594,0.001953125,4.422846794128418,0.04485544189810753,4.709024906158447,0.004463336896151304
78,4.427900314331055,0.04296875,4.728337287902832,0.001953125,4.41991662979126,0.0476190447807312,4.712762355804443,0.004463336896151304
79,4.401723861694336,0.046875,4.734679222106934,0.001953125,4.4168524742126465,0.04485544189810753,4.717141151428223,0.004888416267931461
80,4.425215244293213,0.04296875,4.741607666015625,0.001953125,4.413726806640625,0.045705780386924744,4.721789360046387,0.0046758768148720264
81,4.408840656280518,0.0703125,4.748912334442139,0.001953125,4.410919189453125,0.04443027079105377,4.727009296417236,0.0051009561866521835
82,4.413328170776367,0.0390625,4.756128311157227,0.001953125,4.407996654510498,0.04740646108984947,4.7323503494262695,0.004888416267931461
83,4.437283515930176,0.04296875,4.763515472412109,0.001953125,4.404684066772461,0.04953231289982796,4.737665176391602,0.0051009561866521835
84,4.445768356323242,0.05078125,4.76950740814209,0.001953125,4.400619983673096,0.0520833320915699,4.7421088218688965,0.005526036024093628
85,4.443247318267822,0.03515625,4.774280548095703,0.00390625,4.396439075469971,0.05187074840068817,4.746283054351807,0.00573857594281435
