step,train_loss,train_acc,val_loss,val_acc,train_loss_full,train_acc_full,val_loss_full,val_acc_full
0,4.730830669403076,0.0078125,4.755669593811035,0.001953125,4.691341400146484,0.011479591950774193,4.708353042602539,0.008926673792302608
1,4.630330562591553,0.01171875,4.733192443847656,0.0078125,4.663378715515137,0.01105442177504301,4.6883015632629395,0.01041445229202509
2,4.679703235626221,0.0078125,4.716204643249512,0.009765625,4.646310806274414,0.009991496801376343,4.678012847900391,0.009351753629744053
3,4.691146373748779,0.00390625,4.6955671310424805,0.009765625,4.631363391876221,0.008290816098451614,4.666683197021484,0.011052072048187256
4,4.646365642547607,0.01171875,4.678486347198486,0.0078125,4.62089729309082,0.01105442177504301,4.659512042999268,0.009989372454583645
5,4.6519060134887695,0.0078125,4.66316556930542,0.005859375,4.614263534545898,0.012755101546645164,4.653908729553223,0.008714133873581886
6,4.647616386413574,0.0078125,4.652353763580322,0.009765625,4.609166622161865,0.013180271722376347,4.6493120193481445,0.008714133873581886
7,4.653484344482422,0.0078125,4.645910739898682,0.017578125,4.6045098304748535,0.011692176572978497,4.645092487335205,0.00807651411741972
8,4.638679027557373,0.0078125,4.641946792602539,0.009765625,4.601278305053711,0.012967687100172043,4.641935348510742,0.007226354908198118
9,4.650913715362549,0.0,4.638826847076416,0.01953125,4.5985798835754395,0.01403061207383871,4.639203071594238,0.00913921371102333
10,4.615014553070068,0.00390625,4.636012077331543,0.017578125,4.596160411834717,0.012117346748709679,4.637100696563721,0.00807651411741972
11,4.667509078979492,0.01171875,4.632741451263428,0.015625,4.592398643493652,0.01254251692444086,4.634706020355225,0.007226354908198118
12,4.646913528442383,0.00390625,4.629241943359375,0.015625,4.588675022125244,0.013818026520311832,4.6322922706604,0.007651434279978275
13,4.611429214477539,0.015625,4.626437187194824,0.0078125,4.585842609405518,0.014668366871774197,4.630622386932373,0.00743889482691884
14,4.65958833694458,0.00390625,4.624416351318359,0.005859375,4.581972122192383,0.011267006397247314,4.62808084487915,0.005313496105372906
15,4.633003234863281,0.00390625,4.62371301651001,0.00390625,4.5785441398620605,0.01403061207383871,4.626351833343506,0.007013814989477396
16,4.628781318664551,0.0,4.624650001525879,0.00390625,4.57655143737793,0.013605441898107529,4.625805377960205,0.006163655314594507
17,4.637453079223633,0.00390625,4.626007556915283,0.0078125,4.5751166343688965,0.013180271722376347,4.625466823577881,0.007226354908198118
18,4.635958194732666,0.010416666977107525,4.626873970031738,0.0078125,4.57498836517334,0.01254251692444086,4.625169277191162,0.00807651411741972
19,4.551054000854492,0.0234375,4.62882661819458,0.0078125,4.576034069061279,0.01254251692444086,4.626456260681152,0.007013814989477396
20,4.560609817504883,0.01953125,4.632126808166504,0.0078125,4.577919006347656,0.0119047611951828,4.629004955291748,0.007226354908198118
21,4.57859992980957,0.0078125,4.634870529174805,0.00390625,4.579504489898682,0.012117346748709679,4.631484031677246,0.008501593954861164
22,4.6025919914245605,0.015625,4.6362810134887695,0.005859375,4.579997539520264,0.011692176572978497,4.632504940032959,0.010201912373304367
23,4.583022117614746,0.015625,4.637721061706543,0.00390625,4.579554080963135,0.012117346748709679,4.633459091186523,0.009776832535862923
24,4.603244781494141,0.00390625,4.637578010559082,0.00390625,4.578582286834717,0.0119047611951828,4.633517265319824,0.008501593954861164
25,4.597736835479736,0.0078125,4.6373066902160645,0.00390625,4.5764288902282715,0.0119047611951828,4.633021831512451,0.008289054036140442
26,4.615752696990967,0.01171875,4.636795520782471,0.00390625,4.573648452758789,0.014880952425301075,4.6315598487854,0.008926673792302608
27,4.5688018798828125,0.0078125,4.636114597320557,0.0,4.571152210235596,0.013180271722376347,4.6306281089782715,0.007651434279978275
28,4.600651741027832,0.01171875,4.63645601272583,0.001953125,4.567965030670166,0.014455782249569893,4.629685401916504,0.007013814989477396
29,4.572630882263184,0.0078125,4.636783123016357,0.00390625,4.565089225769043,0.015731291845440865,4.628880500793457,0.00743889482691884
30,4.5677947998046875,0.0078125,4.637336730957031,0.00390625,4.562458515167236,0.015731291845440865,4.628622531890869,0.007226354908198118
31,4.599462509155273,0.01953125,4.6372761726379395,0.00390625,4.559553623199463,0.01403061207383871,4.628097057342529,0.00573857594281435
32,4.601419448852539,0.01953125,4.636661529541016,0.001953125,4.556732177734375,0.013392857275903225,4.627596855163574,0.004888416267931461
33,4.592364311218262,0.0,4.635920524597168,0.001953125,4.5537800788879395,0.014668366871774197,4.62712287902832,0.005951115861535072
34,4.586796760559082,0.00390625,4.635796070098877,0.001953125,4.551083564758301,0.015731291845440865,4.627297878265381,0.0051009561866521835
35,4.581113338470459,0.01171875,4.635217666625977,0.001953125,4.548745632171631,0.01806972734630108,4.627599716186523,0.006163655314594507
36,4.5978102684021,0.0078125,4.635037422180176,0.001953125,4.546651840209961,0.01764455810189247,4.627984046936035,0.005951115861535072
