step,train_loss,train_acc,val_loss,val_acc,weight_norm
0,4.747925758361816,0.012755101546645164,4.724208831787109,0.00807651411741972,115.12870247290431
1,4.710503101348877,0.010629251599311829,4.697473526000977,0.008501593954861164,115.12035324164108
2,4.682541847229004,0.009991496801376343,4.677157878875732,0.00743889482691884,115.1120616280551
3,4.661107540130615,0.008290816098451614,4.661473274230957,0.00743889482691884,115.10382615739198
4,4.644407749176025,0.007865645922720432,4.649231433868408,0.007863974198698997,115.09561963208697
5,4.63124942779541,0.0089285708963871,4.639601230621338,0.008501593954861164,115.0874489603203
6,4.6207966804504395,0.0089285708963871,4.631980895996094,0.008926673792302608,115.07929278483451
7,4.612438678741455,0.009353741072118282,4.625922203063965,0.008926673792302608,115.07116047765031
8,4.605720520019531,0.010629251599311829,4.621088027954102,0.008926673792302608,115.06304163480017
9,4.6002960205078125,0.01041666604578495,4.617217540740967,0.008289054036140442,115.05492539856529
10,4.595898151397705,0.01105442177504301,4.614110469818115,0.00743889482691884,115.0468321123777
11,4.592317581176758,0.011479591950774193,4.611608982086182,0.00743889482691884,115.03873023080543
12,4.589390754699707,0.01254251692444086,4.609591007232666,0.007226354908198118,115.03064103203306
13,4.586987018585205,0.011479591950774193,4.607958793640137,0.007226354908198118,115.0225626142412
14,4.585003852844238,0.011479591950774193,4.606635570526123,0.00743889482691884,115.01448018271589
15,4.5833587646484375,0.011479591950774193,4.605560779571533,0.007013814989477396,115.00640734268482
16,4.581985950469971,0.011692176572978497,4.604685306549072,0.00743889482691884,114.99832937753347
17,4.580833435058594,0.011479591950774193,4.603971004486084,0.007226354908198118,114.9902602501335
18,4.579858303070068,0.011267006397247314,4.603386402130127,0.007226354908198118,114.98218500327083
19,4.57902717590332,0.01105442177504301,4.602907657623291,0.007863974198698997,114.97411818611681
20,4.57831335067749,0.01105442177504301,4.602513790130615,0.008289054036140442,114.96604496004579
21,4.577694416046143,0.011479591950774193,4.602190017700195,0.008289054036140442,114.95797979398348
22,4.577153205871582,0.011692176572978497,4.60192346572876,0.008289054036140442,114.94991535858772
23,4.576675891876221,0.01105442177504301,4.6017045974731445,0.008501593954861164,114.94185142000549
24,4.5762505531311035,0.011692176572978497,4.601524829864502,0.008714133873581886,114.93378805240128
25,4.575868129730225,0.011692176572978497,4.601377487182617,0.008714133873581886,114.92572533013094
26,4.575520992279053,0.0119047611951828,4.601256370544434,0.00807651411741972,114.9176630137599
27,4.575202465057373,0.01105442177504301,4.601158142089844,0.008289054036140442,114.90960845077863
28,4.5749077796936035,0.01105442177504301,4.601078987121582,0.008289054036140442,114.90154695376829
29,4.574634075164795,0.01105442177504301,4.601016044616699,0.008289054036140442,114.89348602233825
30,4.574377059936523,0.01105442177504301,4.600966453552246,0.008289054036140442,114.88542541407465
31,4.57413387298584,0.01105442177504301,4.600929260253906,0.00807651411741972,114.87737265542734
32,4.5739030838012695,0.010841836221516132,4.600902557373047,0.007863974198698997,114.86932018378182
33,4.573683261871338,0.01041666604578495,4.600884437561035,0.00807651411741972,114.86126072797066
34,4.573471546173096,0.010841836221516132,4.600874423980713,0.00807651411741972,114.85320921669174
35,4.573267936706543,0.01105442177504301,4.600871562957764,0.00807651411741972,114.84515789143977
36,4.573070526123047,0.010841836221516132,4.600874423980713,0.007863974198698997,114.8371145850934
37,4.572879314422607,0.01105442177504301,4.6008830070495605,0.00807651411741972,114.82906419487054
38,4.572693347930908,0.011267006397247314,4.600895881652832,0.00807651411741972,114.82101421831881
39,4.572511196136475,0.011479591950774193,4.6009135246276855,0.00807651411741972,114.81295726612036
40,4.5723347663879395,0.011267006397247314,4.600935459136963,0.007863974198698997,114.80491519481672
41,4.572160243988037,0.011267006397247314,4.600960731506348,0.007863974198698997,114.7968663755263
42,4.571990013122559,0.011267006397247314,4.60098934173584,0.007863974198698997,114.78882549680196
43,4.571822643280029,0.011267006397247314,4.6010212898254395,0.007863974198698997,114.78078487088096
44,4.571658134460449,0.01105442177504301,4.601056098937988,0.007863974198698997,114.77273749433267
45,4.57149600982666,0.01105442177504301,4.60109281539917,0.007863974198698997,114.76469763804616
46,4.571336269378662,0.01105442177504301,4.601132869720459,0.007863974198698997,114.7566505876871
47,4.571179389953613,0.01105442177504301,4.601174831390381,0.007863974198698997,114.74861165456576
48,4.571023941040039,0.01105442177504301,4.6012187004089355,0.007651434279978275,114.740573013768
49,4.570870399475098,0.01105442177504301,4.601264953613281,0.007863974198698997,114.73253475569402
50,4.570718765258789,0.01105442177504301,4.60131311416626,0.007651434279978275,114.72449683244683
51,4.570568561553955,0.01105442177504301,4.601362228393555,0.00743889482691884,114.71645943022241
52,4.570420265197754,0.010841836221516132,4.601413249969482,0.00743889482691884,114.70842950535707
53,4.570272922515869,0.01105442177504301,4.601466655731201,0.00743889482691884,114.70039269950394
54,4.570127964019775,0.01105442177504301,4.601520538330078,0.00743889482691884,114.69235623808059
55,4.569983959197998,0.01105442177504301,4.601576805114746,0.00743889482691884,114.6843202890824
56,4.569840908050537,0.01105442177504301,4.601633071899414,0.00743889482691884,114.67629195985768
57,4.569699764251709,0.01105442177504301,4.601691722869873,0.007651434279978275,114.66826400578071
58,4.569559097290039,0.01105442177504301,4.601751327514648,0.007651434279978275,114.66022889993829
59,4.569419860839844,0.01105442177504301,4.601811408996582,0.007651434279978275,114.65220185244485
60,4.569281578063965,0.01105442177504301,4.601873397827148,0.007651434279978275,114.6441674909708
61,4.5691447257995605,0.011479591950774193,4.601936340332031,0.007651434279978275,114.63614094900568
62,4.5690083503723145,0.011479591950774193,4.6020002365112305,0.007651434279978275,114.62811461356694
63,4.568872928619385,0.011479591950774193,4.602064609527588,0.007651434279978275,114.62009647812823
64,4.56873893737793,0.011479591950774193,4.60213041305542,0.007651434279978275,114.61207083067055
65,4.568604946136475,0.011479591950774193,4.602197170257568,0.007651434279978275,114.60404589830453
66,4.568471908569336,0.0119047611951828,4.602264881134033,0.007651434279978275,114.59602847307345
67,4.568340301513672,0.0119047611951828,4.6023335456848145,0.007651434279978275,114.58800416354266
68,4.568209171295166,0.012117346748709679,4.602402687072754,0.007651434279978275,114.57998003801424
69,4.568078517913818,0.012117346748709679,4.602473258972168,0.007651434279978275,114.57196380493896
70,4.567948341369629,0.012329931370913982,4.60254430770874,0.007651434279978275,114.56394033415884
71,4.567818641662598,0.012329931370913982,4.602615833282471,0.007651434279978275,114.55592467039908
72,4.567689418792725,0.012329931370913982,4.602688312530518,0.007651434279978275,114.54790931243451
73,4.567561149597168,0.01254251692444086,4.602762222290039,0.007651434279978275,114.53989426620835
74,4.5674333572387695,0.01254251692444086,4.602837085723877,0.007651434279978275,114.53187228821878
75,4.567306995391846,0.01254251692444086,4.602911949157715,0.007651434279978275,114.52385774316045
76,4.567180633544922,0.01254251692444086,4.6029887199401855,0.007651434279978275,114.51584383385338
