cfg_id,seed,k,observer,MG,error,functional_rank,jacobian_ratio,window,cycles,max_E,kn,tau,eta
0,0,1,parameter_fro,1.1565083358841926,0.15650833588419255,1,1.0,2000,300.0,31,20,1,0.2
0,0,1,parameter_projection,1.1565044975208676,0.1565044975208676,1,1.0,2000,300.0,31,20,1,0.2
0,0,1,latent_fro,1.156505788692274,0.15650578869227405,1,1.0,2000,300.0,31,20,1,0.2
0,0,1,latent_projection,1.1565093897618146,0.1565093897618146,1,1.0,2000,300.0,31,20,1,0.2
0,0,1,gradient_fro,1.1375295242259094,0.13752952422590936,1,1.0,2000,300.0,31,20,1,0.2
0,0,1,output_fro,1.156505116983544,0.15650511698354408,1,1.0,2000,300.0,31,20,1,0.2
0,0,1,loss,1.1331566543868863,0.1331566543868863,1,1.0,2000,300.0,31,20,1,0.2
0,0,2,parameter_fro,2.27762573420217,0.2776257342021702,2,0.6779647297812529,2000,300.0,31,20,1,0.2
0,0,2,parameter_projection,2.152608445719127,0.1526084457191268,2,0.6779647297812529,2000,300.0,31,20,1,0.2
0,0,2,latent_fro,2.282138479110727,0.28213847911072687,2,0.6779647297812529,2000,300.0,31,20,1,0.2
0,0,2,latent_projection,2.3632672134533483,0.36326721345334834,2,0.6779647297812529,2000,300.0,31,20,1,0.2
0,0,2,gradient_fro,2.427186181748489,0.427186181748489,2,0.6779647297812529,2000,300.0,31,20,1,0.2
0,0,2,output_fro,2.3742074665973076,0.37420746659730764,2,0.6779647297812529,2000,300.0,31,20,1,0.2
0,0,2,loss,2.4389105266835642,0.43891052668356423,2,0.6779647297812529,2000,300.0,31,20,1,0.2
0,0,3,parameter_fro,4.382988375295756,1.3829883752957564,3,0.3914742132501316,2000,300.0,31,20,1,0.2
0,0,3,parameter_projection,3.458323315766143,0.45832331576614305,3,0.3914742132501316,2000,300.0,31,20,1,0.2
0,0,3,latent_fro,3.963790326533386,0.963790326533386,3,0.3914742132501316,2000,300.0,31,20,1,0.2
0,0,3,latent_projection,4.234763629632114,1.2347636296321136,3,0.3914742132501316,2000,300.0,31,20,1,0.2
