system,k,seed,observer,truth,verified,effective_rank,resonance_margin,n_windows,frac_degenerate,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd,tau_used,theiler_used
subspace,1,0,parameter_fro,1.0,True,1.0,0.23355668890903414,7,0.0,1.0563713066472917,0.001362288166456277,1.0600898563428898,0.0012514218949166776,0.7195233211141061,0.000984807874432818,2.0000857898280673,4.2984505449295995e-07,1.003303804879761,2.186313994259188e-05,1.0195108092914806,3.92990395301068e-05,1.04751836446281,2.194554021115952e-05,1.1620301636569583,2.977380108223162e-05,1.4383713586581865,9.573965008186707e-05,1.0,0.0,16.0,150.0
subspace,1,0,parameter_projection,1.0,True,1.0,0.23355668890903414,7,0.0,1.0563718503899586,0.001359664415391866,1.0600904056422562,0.0012488803729793416,0.7195437415627158,0.001027716273251781,2.000036241772005,4.2922389853942746e-07,1.0032777859928816,2.173812555027772e-05,1.0194843608401778,3.912074153801393e-05,1.047491201399006,2.205765608777573e-05,1.1620000578724428,2.9901722793850363e-05,1.4383636117106962,9.566402827915794e-05,1.0,0.0,16.0,150.0
subspace,1,0,latent_fro,1.0,True,1.0,0.23355668890903414,7,0.0,1.0563695039622694,0.001361599004168552,1.06008811649945,0.0012505971844119616,0.7195307083262414,0.00101336577952385,2.000036242001487,4.2957484041230306e-07,1.0032777848413896,2.1737195786349005e-05,1.019484360462387,3.912339083611554e-05,1.047491203106229,2.2059563734692526e-05,1.1620000447451437,2.990526141915825e-05,1.4383636122252055,9.566397983491666e-05,1.0,0.0,16.0,150.0
subspace,1,0,latent_projection,1.0,True,1.0,0.23355668890903414,7,0.0,1.0563699486028275,0.001363777592259571,1.0600882652798584,0.001252777632070967,0.7195191174821433,0.0009787670489136604,2.0000362415296373,4.291494858234276e-07,1.0032777849710643,2.1737600080856468e-05,1.0194843573466368,3.91204491105633e-05,1.047491204533914,2.2059154230412767e-05,1.1620000455838622,2.9903165192883862e-05,1.4383636119793117,9.566375189064048e-05,1.0,0.0,16.0,150.0
subspace,1,0,gradient_fro,1.0,True,1.0,0.23355668890903414,7,0.0,1.0576576353094342,0.00015318564825701964,1.0613983823443636,0.00015231556158269678,0.7198174677346723,0.00021401714587561136,2.2091722503368563,1.637462617634769e-05,1.1141613585673222,0.000261653704091205,1.146523998374611,0.0008423279738191255,1.266193695854283,0.0004141188466064694,1.9785132072958873,0.0032088151152324944,1.95788625246442,4.027302034739582e-05,1.0,0.0,16.0,150.0
subspace,1,0,output_fro,1.0,True,1.0,0.23355668890903414,7,0.0,1.056373243754052,0.0013616104995500316,1.0600913360907216,0.0012508981217885364,0.7194964783434118,0.0009937241998817306,2.0000419420326323,4.2908993844588045e-07,1.003281000643094,2.177925635974664e-05,1.0194876335209562,3.9184153354898485e-05,1.0474945567209015,2.201418409955471e-05,1.1620037594091515,2.9852237669758736e-05,1.4383643619831712,9.568997152427219e-05,1.0,0.0,16.0,150.0
subspace,1,0,loss,1.0,True,1.0,0.23355668890903414,7,0.0,1.0563777715044491,1.1492407458848892e-06,1.0600964064100953,1.1947225051177469e-06,0.7194435363838032,1.2467885186715933e-05,2.0007372796677747,1.1074714869908467e-05,1.009176146064078,5.321783323148116e-05,1.0386205521185523,0.0005106639418498925,1.1462200619302843,5.682380120445601e-05,1.7914293430309662,0.003145864659066006,1.9987291374205163,2.923451040043178e-05,1.0,0.0,16.0,150.0
subspace,1,1,parameter_fro,1.0,True,1.0,0.23603511426579027,7,0.0,0.9476596280143552,2.0925130880982606e-05,0.9560061897800901,2.325612585585651e-05,1.8758083713606566,0.0022171552945695477,2.0009709004440293,2.2496360698209836e-06,1.006883039091717,1.75804873626789e-05,1.0277484113991298,2.3691719406777182e-05,1.101507204460409,6.966346021400969e-06,1.4537047437804393,0.00010702449034581064,1.4348914320356365,5.413478975200963e-05,1.0,0.0,16.0,150.0
subspace,1,1,parameter_projection,1.0,True,1.0,0.23603511426579027,7,0.0,0.9476524779037282,2.1470340782356354e-05,0.9559995421255609,2.3655759695660983e-05,1.875569234326648,0.002167671485283223,2.000945062582661,2.2533244706713724e-06,1.0068699766354978,1.7670355001423245e-05,1.0277349834460232,2.3389911027300524e-05,1.1014928596518274,6.785702381339311e-06,1.4536860873831992,0.00010660418778796967,1.434887393190954,5.375675343238422e-05,1.0,0.0,16.0,150.0
subspace,1,1,latent_fro,1.0,True,1.0,0.23603511426579027,7,0.0,0.9476490645534076,2.5581544326619844e-05,0.955995829492558,2.7843761661901397e-05,1.8758438679838505,0.002165049636369565,2.000945063872795,2.2526252221581924e-06,1.0068699773850411,1.7671332070205427e-05,1.0277349818003967,2.3389891351396243e-05,1.1014928538028048,6.7745029175130635e-06,1.4536861201595745,0.00010664273747749475,1.4348873930335246,5.375687981744884e-05,1.0,0.0,16.0,150.0
