run,lr,seed,column,segment,subsample,tau,t_grok,eta_lam_over_2,start_sample,n_samples,MG,MG_2E,ident_ratio,PRdelay,roughness,acorr,crossings,rises,degenerate
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,4,802.0,0.9735302057833906,0,8000,6.093188743549718,21.40950223438798,3.5136778352799576,1.4161435613393343,0.31002149711342186,569.0,16.0,0.42117764720590073,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,4,802.0,0.9735302057833906,2000,8000,5.753641848546619,21.39385344779017,3.718315114312216,1.0338876458050472,0.011406878571507365,944.0,10.0,0.49406175771971494,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,4,802.0,0.9735302057833906,4000,8000,5.933344745196673,17.793382989498568,2.998879005623795,1.0179167595669973,0.009440137840085402,1394.0,38.0,0.4983122890361295,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,4,802.0,0.9735302057833906,6000,8000,6.912142605720529,16.89112726441468,2.443689059660819,1.0052701160921018,0.008350309941422308,1552.0,76.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,4,802.0,0.9735302057833906,8000,8000,7.708793994030149,16.39337379334116,2.1265808641450956,1.0009382592179115,0.007986402402378948,1621.0,102.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,4,802.0,0.9735302057833906,10000,8000,7.747513042552701,14.623341630839317,1.8874884818549622,1.0000737840185956,0.00796076549966095,1657.0,52.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,4,802.0,0.9735302057833906,12000,8000,7.928352878673514,15.32440229928161,1.9328607762279022,1.0000029966253199,0.00794789946830908,1676.0,74.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,4,802.0,0.9735302057833906,14000,8000,7.952410086786336,15.36971639935664,1.9327117479636575,1.000000127961779,0.007957174094184413,1688.0,96.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,4,802.0,0.9735302057833906,16000,8000,7.877286741102041,15.146084806769196,1.9227540274419719,1.0000000552697659,0.00799347127963702,1698.0,106.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,4,802.0,0.9735302057833906,18000,8000,7.788669285361051,14.934450591091629,1.9174585598545322,1.0000000366173047,0.008044915943939487,1705.0,120.0,0.5000625078134767,False
