run,lr,column,segment,subsample,tau,MG,ident,PRdelay,crossings,rises,degen,eta_lam,n,admissible
eos_lr1.5e+06_s1,1500000.0,train_loss,all,1,1,30.768616576868315,1.0000154901315659,1.0000353017078254,81.0,0.49993749218652334,0.0,0.9655041139922105,12,True
eos_lr1.5e+06_s1,1500000.0,train_loss,all,1,4,15.223990656966798,0.9999337802915824,1.000000165971323,81.0,0.49993749218652334,0.0,0.9655041139922105,12,True
eos_lr1.5e+06_s1,1500000.0,train_loss,all,10,1,17.018057005602177,0.9971869047878521,1.0000010058724307,2.0,0.0,0.0,0.9655041139922105,12,False
eos_lr1.5e+06_s1,1500000.0,train_loss,all,10,4,16.893024446417073,0.9877024710664,1.000013538665124,2.0,0.0,0.0,0.9655041139922105,12,False
eos_lr1.5e+06_s1,1500000.0,train_loss,all,50,1,4.9319505066013924,0.9846967031898245,1.0000200119160136,2.0,0.0,0.0,0.9655041139922105,12,False
eos_lr1.5e+06_s1,1500000.0,train_loss,all,50,4,,,1.0001031181305637,2.0,0.0,1.0,0.9655041139922105,12,False
eos_lr1.5e+06_s1,1500000.0,train_loss,post,1,1,30.756222342879322,1.0000213511654357,1.0000353928141819,80.0,0.5000625078134767,0.0,0.9655041139922105,11,True
eos_lr1.5e+06_s1,1500000.0,train_loss,post,1,4,15.29719473714526,0.9999269454603296,1.0000001665861507,80.0,0.5000625078134767,0.0,0.9655041139922105,11,True
eos_lr1.5e+06_s1,1500000.0,train_loss,post,10,1,17.021464751020346,0.9971613538303478,1.0000010068224379,2.0,0.0,0.0,0.9655041139922105,11,False
eos_lr1.5e+06_s1,1500000.0,train_loss,post,10,4,16.895938020011698,0.9875166599789474,1.0000135371591523,2.0,0.0,0.0,0.9655041139922105,11,False
eos_lr1.5e+06_s1,1500000.0,train_loss,post,50,1,4.9084723894844675,0.9878495138789264,1.0000200175788196,2.0,0.0,0.0,0.9655041139922105,11,False
eos_lr1.5e+06_s1,1500000.0,train_loss,post,50,4,,,1.0001034470696897,2.0,0.0,1.0,0.9655041139922105,11,False
eos_lr1.5e+06_s1,1500000.0,weight_norm,all,1,1,29.473274992889984,0.9999211780063535,1.0000142414868263,75.0,0.5000625078134767,0.0,0.9655041139922105,12,True
eos_lr1.5e+06_s1,1500000.0,weight_norm,all,1,4,19.41340451520508,1.0001911638031635,1.0000000597150973,75.0,0.5000625078134767,0.0,0.9655041139922105,12,True
eos_lr1.5e+06_s1,1500000.0,weight_norm,all,10,1,16.966644516775993,0.9980857235928227,1.0000003549363035,2.0,1.0,0.0,0.9655041139922105,12,False
eos_lr1.5e+06_s1,1500000.0,weight_norm,all,10,4,16.871084734489045,0.9911157195143365,1.0000047883353176,2.0,1.0,0.0,0.9655041139922105,12,False
eos_lr1.5e+06_s1,1500000.0,weight_norm,all,50,1,5.384691071320836,0.986893833822946,1.0000070919971862,2.0,1.0,0.0,0.9655041139922105,12,False
eos_lr1.5e+06_s1,1500000.0,weight_norm,all,50,4,,,1.0000382426284107,2.0,1.0,1.0,0.9655041139922105,12,False
eos_lr1.5e+06_s1,1500000.0,weight_norm,post,1,1,29.442364581718603,0.9999098594327213,1.0000138725195726,74.0,0.49993749218652334,0.0,0.9655041139922105,11,True
eos_lr1.5e+06_s1,1500000.0,weight_norm,post,1,4,19.53424826049228,1.0000789176815683,1.0000000599214325,74.0,0.49993749218652334,0.0,0.9655041139922105,11,True
eos_lr1.5e+06_s1,1500000.0,weight_norm,post,10,1,16.93354744021159,0.9982873158963379,1.0000003574268999,2.0,1.0,0.0,0.9655041139922105,11,False
eos_lr1.5e+06_s1,1500000.0,weight_norm,post,10,4,16.84686143931378,0.9913612512311872,1.0000048171431823,2.0,1.0,0.0,0.9655041139922105,11,False
eos_lr1.5e+06_s1,1500000.0,weight_norm,post,50,1,5.374175613352857,0.9888645628456153,1.0000071322017443,2.0,1.0,0.0,0.9655041139922105,11,False
eos_lr1.5e+06_s1,1500000.0,weight_norm,post,50,4,,,1.0000384363315402,2.0,1.0,1.0,0.9655041139922105,11,False
eos_lr1.5e+06_s2,1500000.0,train_loss,all,1,1,30.656029761883282,1.000001314953448,1.000033747762739,78.0,0.5000625078134767,0.0,0.9650175059050525,12,True
eos_lr1.5e+06_s2,1500000.0,train_loss,all,1,4,15.357190400782372,0.9999105572510212,1.000000175649288,78.0,0.5000625078134767,0.0,0.9650175059050525,12,True
eos_lr1.5e+06_s2,1500000.0,train_loss,all,10,1,17.023651115159705,0.9971750627584328,1.0000010612489407,2.0,0.0,0.0,0.9650175059050525,12,False
eos_lr1.5e+06_s2,1500000.0,train_loss,all,10,4,16.89844778325104,0.98767449026491,1.000014281108609,2.0,0.0,0.0,0.9650175059050525,12,False
eos_lr1.5e+06_s2,1500000.0,train_loss,all,50,1,4.927378325360653,0.9845631805727597,1.000021130765268,2.0,0.0,0.0,0.9650175059050525,12,False
eos_lr1.5e+06_s2,1500000.0,train_loss,all,50,4,,,1.0001091102808521,2.0,0.0,1.0,0.9650175059050525,12,False
eos_lr1.5e+06_s2,1500000.0,train_loss,post,1,1,30.58093715701084,0.999984580326602,1.0000337984251038,78.0,0.49993749218652334,0.0,0.9650175059050525,11,True
eos_lr1.5e+06_s2,1500000.0,train_loss,post,1,4,15.371999274537364,0.9999585857625686,1.0000001768591467,78.0,0.49993749218652334,0.0,0.9650175059050525,11,True
eos_lr1.5e+06_s2,1500000.0,train_loss,post,10,1,17.026450833240716,0.9971449564886542,1.0000010711453593,2.0,0.0,0.0,0.9650175059050525,11,False
eos_lr1.5e+06_s2,1500000.0,train_loss,post,10,4,16.899922156757853,0.9875935077587377,1.0000143974104554,2.0,0.0,0.0,0.9650175059050525,11,False
eos_lr1.5e+06_s2,1500000.0,train_loss,post,50,1,4.901110328693641,0.9873534791440215,1.000021311435159,2.0,0.0,0.0,0.9650175059050525,11,False
eos_lr1.5e+06_s2,1500000.0,train_loss,post,50,4,,,1.0001102905632742,2.0,0.0,1.0,0.9650175059050525,11,False
eos_lr1.5e+06_s2,1500000.0,weight_norm,all,1,1,29.350415761271535,0.9999577306103066,1.0000118588555291,69.0,0.49993749218652334,0.0,0.9650175059050525,12,True
eos_lr1.5e+06_s2,1500000.0,weight_norm,all,1,4,20.25869653304819,0.9999071129921902,1.000000068546445,69.0,0.49993749218652334,0.0,0.9650175059050525,12,True
eos_lr1.5e+06_s2,1500000.0,weight_norm,all,10,1,16.979958583926674,0.9982220425748448,1.0000004085747216,2.0,1.0,0.0,0.9650175059050525,12,False
eos_lr1.5e+06_s2,1500000.0,weight_norm,all,10,4,16.880735671411585,0.9908934161423271,1.0000055112864676,2.0,1.0,0.0,0.9650175059050525,12,False
eos_lr1.5e+06_s2,1500000.0,weight_norm,all,50,1,5.387005679331612,0.9876583246215749,1.0000081593823342,2.0,1.0,0.0,0.9650175059050525,12,False
eos_lr1.5e+06_s2,1500000.0,weight_norm,all,50,4,,,1.000044006497709,2.0,1.0,1.0,0.9650175059050525,12,False
eos_lr1.5e+06_s2,1500000.0,weight_norm,post,1,1,29.30188566373971,0.9999208954713,1.0000115579192899,68.0,0.5000625078134767,0.0,0.9650175059050525,11,True
eos_lr1.5e+06_s2,1500000.0,weight_norm,post,1,4,20.30625349905851,0.9998757594733856,1.0000000689867312,68.0,0.5000625078134767,0.0,0.9650175059050525,11,True
eos_lr1.5e+06_s2,1500000.0,weight_norm,post,10,1,16.936599552976485,0.9982190539680263,1.0000004115478305,2.0,1.0,0.0,0.9650175059050525,11,False
eos_lr1.5e+06_s2,1500000.0,weight_norm,post,10,4,16.850593770718433,0.9914316688296031,1.0000055528120197,2.0,1.0,0.0,0.9650175059050525,11,False
eos_lr1.5e+06_s2,1500000.0,weight_norm,post,50,1,5.379421068946445,0.9887651994568809,1.000008226700406,2.0,1.0,0.0,0.9650175059050525,11,False
eos_lr1.5e+06_s2,1500000.0,weight_norm,post,50,4,,,1.0000444293402322,2.0,1.0,1.0,0.9650175059050525,11,False
eos_lr100000_s1,100000.0,train_loss,all,1,1,23.345229854132203,0.9999443375573929,1.0000006809653348,2.0,0.0,0.0,0.23794357275619404,12,False
eos_lr100000_s1,100000.0,train_loss,all,1,4,23.353232078840392,0.9997037178588524,1.0000107393170938,2.0,0.0,0.0,0.23794357275619404,12,False
eos_lr100000_s1,100000.0,train_loss,all,10,1,16.56037556515354,0.9947125690109413,1.0000651243349286,2.0,0.0,0.0,0.23794357275619404,12,False
eos_lr100000_s1,100000.0,train_loss,all,10,4,15.930574288491052,0.9919525300879564,1.000857772975301,2.0,0.0,0.0,0.23794357275619404,12,False
eos_lr100000_s1,100000.0,train_loss,all,50,1,4.343772507755354,0.9648548516621049,1.001240050574772,2.0,0.0,0.0,0.23794357275619404,12,False
eos_lr100000_s1,100000.0,train_loss,all,50,4,,,1.0042868709573527,2.0,0.0,1.0,0.23794357275619404,12,False
eos_lr100000_s1,100000.0,train_loss,post,1,1,25.871436234621235,0.9999033722881785,1.0000001574738349,2.0,0.0,0.0,0.23794357275619404,6,False
eos_lr100000_s1,100000.0,train_loss,post,1,4,25.885325521880155,0.9995739302608413,1.0000024595468893,2.0,0.0,0.0,0.23794357275619404,6,False
eos_lr100000_s1,100000.0,train_loss,post,10,1,17.05898952892497,0.9952414876822625,1.0000147485596145,2.0,0.0,0.0,0.23794357275619404,6,False
