step,train_loss_sum,train_loss_per_token,lr_multiplier,phase
0,354304.0,10.8125,1.0,constant_lr
1,354304.0,10.8125,1.0,constant_lr
2,330496.0,10.0859375,1.0,constant_lr
3,314624.0,9.6015625,1.0,constant_lr
4,262656.0,8.015625,1.0,constant_lr
5,244608.0,7.46484375,1.0,constant_lr
6,237824.0,7.2578125,1.0,constant_lr
7,230656.0,7.0390625,1.0,constant_lr
8,224640.0,6.85546875,1.0,constant_lr
9,222336.0,6.78515625,1.0,constant_lr
10,219776.0,6.70703125,1.0,constant_lr
11,215040.0,6.5625,1.0,constant_lr
12,211328.0,6.44921875,1.0,constant_lr
13,211328.0,6.44921875,1.0,constant_lr
14,211712.0,6.4609375,1.0,constant_lr
15,205440.0,6.26953125,1.0,constant_lr
16,204416.0,6.23828125,1.0,constant_lr
17,202624.0,6.18359375,1.0,constant_lr
18,202624.0,6.18359375,1.0,constant_lr
19,201216.0,6.140625,1.0,constant_lr
20,201088.0,6.13671875,1.0,constant_lr
21,198144.0,6.046875,1.0,constant_lr
22,194816.0,5.9453125,1.0,constant_lr
23,195712.0,5.97265625,1.0,constant_lr
24,195968.0,5.98046875,1.0,constant_lr
25,191616.0,5.84765625,1.0,constant_lr
26,191488.0,5.84375,1.0,constant_lr
27,190336.0,5.80859375,1.0,constant_lr
28,190592.0,5.81640625,1.0,constant_lr
29,190208.0,5.8046875,1.0,constant_lr
30,188672.0,5.7578125,1.0,constant_lr
31,186624.0,5.6953125,1.0,constant_lr
32,186496.0,5.69140625,1.0,constant_lr
33,185216.0,5.65234375,1.0,constant_lr
34,187136.0,5.7109375,1.0,constant_lr
35,184192.0,5.62109375,1.0,constant_lr
36,184064.0,5.6171875,1.0,constant_lr
37,181248.0,5.53125,1.0,constant_lr
38,182528.0,5.5703125,1.0,constant_lr
39,180480.0,5.5078125,1.0,constant_lr
40,179968.0,5.4921875,1.0,constant_lr
41,180992.0,5.5234375,1.0,constant_lr
42,179584.0,5.48046875,1.0,constant_lr
43,179072.0,5.46484375,1.0,constant_lr
44,177792.0,5.42578125,1.0,constant_lr
45,175872.0,5.3671875,1.0,constant_lr
46,177664.0,5.421875,1.0,constant_lr
47,177408.0,5.4140625,1.0,constant_lr
48,174976.0,5.33984375,1.0,constant_lr
49,174976.0,5.33984375,1.0,constant_lr
50,176512.0,5.38671875,1.0,constant_lr
51,170880.0,5.21484375,1.0,constant_lr
52,174336.0,5.3203125,1.0,constant_lr
53,172416.0,5.26171875,1.0,constant_lr
54,173056.0,5.28125,1.0,constant_lr
55,171648.0,5.23828125,1.0,constant_lr
56,172800.0,5.2734375,1.0,constant_lr
57,171520.0,5.234375,1.0,constant_lr
58,168320.0,5.13671875,1.0,constant_lr
59,170880.0,5.21484375,1.0,constant_lr
60,170880.0,5.21484375,1.0,constant_lr
61,166144.0,5.0703125,1.0,constant_lr
62,169856.0,5.18359375,1.0,constant_lr
63,168448.0,5.140625,1.0,constant_lr
64,169984.0,5.1875,1.0,constant_lr
65,164736.0,5.02734375,1.0,constant_lr
66,166656.0,5.0859375,1.0,constant_lr
67,167808.0,5.12109375,1.0,constant_lr
68,165504.0,5.05078125,1.0,constant_lr
69,166784.0,5.08984375,1.0,constant_lr
70,167808.0,5.12109375,1.0,constant_lr
71,163840.0,5.0,1.0,constant_lr
72,164480.0,5.01953125,1.0,constant_lr
73,163456.0,4.98828125,1.0,constant_lr
74,161920.0,4.94140625,1.0,constant_lr
75,162048.0,4.9453125,1.0,constant_lr
76,162944.0,4.97265625,1.0,constant_lr
77,162688.0,4.96484375,1.0,constant_lr
78,163328.0,4.984375,1.0,constant_lr
79,163328.0,4.984375,1.0,constant_lr
80,162304.0,4.953125,1.0,constant_lr
81,160512.0,4.8984375,1.0,constant_lr
82,161024.0,4.9140625,1.0,constant_lr
83,160000.0,4.8828125,1.0,constant_lr
