run,stat,plateau,dip,depth
mod_wd0,fn_PR_pos_det,5.790178464418405,3.602664839541215,1.6071932090013017
mod_wd0,fn_PR_step5,4.344429880614372,2.8416273934453,1.528852759033624
mod_wd0,PR_pos_det,30.098165009088312,27.70157257401455,1.0865146709151772
mod_wd0,PR_step5,7.317539399257187,6.879379847064962,1.0636917225001266
mod_wd0,move,0.0344631656464171,0.0209103282052378,1.6481408282144736
s5_wd0,fn_PR_pos_det,11.745702814043792,8.856847103382485,1.3261720200135367
s5_wd0,fn_PR_step5,8.533831971530288,7.680128003416643,1.1111575181733768
s5_wd0,PR_pos_det,5.591383760134346,4.526824192859802,1.2351669784202537
s5_wd0,PR_step5,9.721219544002853,9.479603656984416,1.0254879735230722
s5_wd0,move,72.71486207445355,70.03407224681412,1.0382783656816612
