right,MG,true_k
3999,2.1618805958877547,2.0
5999,2.167542118697091,2.0
7999,2.160645100705579,2.0
9999,2.167374043467201,2.0
11999,2.1663804175449513,2.0
13999,3.372410898692805,7.0
15999,8.118749448505064,7.0
17999,7.836759001646012,7.0
19999,8.29602194784915,7.0
21999,8.441302253004752,7.0
23999,8.47024375649536,7.0
25999,6.349090357538226,4.0
27999,4.969333317964671,4.0
29999,4.972043406688344,4.0
31999,4.972588681455113,4.0
33999,4.980027405601089,4.0
35999,4.992429290853921,4.0
37999,6.533832022233598,9.0
39999,8.870300087423376,9.0
41999,8.997487921079856,9.0
43999,8.952503089798052,9.0
45999,8.715226213564941,9.0
47999,8.722482760254987,9.0
49999,5.247153646965284,3.0
51999,3.1340581314196405,3.0
53999,3.1346966305582664,3.0
55999,3.1327213019818525,3.0
57999,3.133381097466123,3.0
59999,3.1312939039497434,3.0
61999,5.295231306256916,10.0
63999,8.874053849377855,10.0
65999,8.72734955302749,10.0
67999,8.713643961933597,10.0
69999,8.75200732594828,10.0
71999,8.902519355830677,10.0
73999,7.942433897865755,6.0
75999,6.244938715538891,6.0
77999,6.210742791581616,6.0
79999,6.515364491513816,6.0
81999,6.536794811265059,6.0
83999,6.522662976283285,6.0
85999,1.8771003305513374,1.0
87999,1.1036741527485356,1.0
89999,1.103672251115859,1.0
91999,1.1036710560498488,1.0
93999,1.1036609519846288,1.0
95999,1.1036633843238746,1.0
97999,1.9229621145730997,8.0
99999,7.945931502349232,8.0
101999,7.995952157960267,8.0
103999,7.993426094012291,8.0
105999,7.856636985601396,8.0
107999,7.7781155101882495,8.0
109999,7.502685981741894,5.0
111999,5.4953072065425825,5.0
113999,5.506712977533201,5.0
115999,5.513092840634513,5.0
117999,5.5035020115227535,5.0
119999,5.497102428586079,5.0
121999,3.1510438227691915,2.0
123999,2.1675121476704224,2.0
125999,2.1610516451344215,2.0
127999,2.167400962449899,2.0
129999,2.1648298696423054,2.0
131999,2.1629897207699607,2.0
