run,column,smooth,kind,i,depth
mod_wd0,weight_norm,401,surrogate,9,2.510710533877982
mod_wd0,weight_norm,401,surrogate,10,3.4592668584273656
mod_wd0,weight_norm,401,surrogate,11,4.971163125334327
mod_wd0,weight_norm,401,surrogate,12,4.734445819618905
mod_wd0,weight_norm,401,surrogate,13,2.608266944729358
mod_wd0,weight_norm,401,surrogate,14,2.922454924829414
mod_wd0,weight_norm,401,surrogate,15,4.076263177565915
mod_wd0,weight_norm,401,surrogate,16,2.074417074808779
mod_wd0,weight_norm,401,surrogate,17,0.9739885539124116
mod_wd0,weight_norm,401,surrogate,18,4.218060944739596
mod_wd0,weight_norm,401,surrogate,19,3.4717158020216576
mod_wd0,weight_norm,401,surrogate,20,5.338190370184885
mod_wd0,weight_norm,401,surrogate,21,2.1763630754496055
mod_wd0,weight_norm,401,surrogate,22,2.6860843443060705
mod_wd0,weight_norm,401,surrogate,23,2.6997314936336356
mod_wd0,weight_norm,401,surrogate,24,3.739859639450334
mod_wd0,weight_norm,401,surrogate,25,2.4607370724038615
mod_wd0,weight_norm,401,surrogate,26,2.6360435605652883
mod_wd0,weight_norm,401,surrogate,27,1.0345989750188798
mod_wd0,weight_norm,401,surrogate,28,4.658129173007886
mod_wd0,weight_norm,401,surrogate,29,3.728283676803907
mod_wd0,weight_norm,401,surrogate,30,2.0620279480116324
mod_wd0,weight_norm,401,surrogate,31,4.184852813105012
mod_wd0,weight_norm,401,surrogate,32,4.415843568463029
mod_wd0,weight_norm,401,surrogate,33,3.5951092258533506
mod_wd0,weight_norm,401,surrogate,34,3.511250351165257
mod_wd0,weight_norm,401,surrogate,35,1.2784321036166286
mod_wd0,weight_norm,401,surrogate,36,4.2190599570727745
mod_wd0,weight_norm,401,surrogate,37,3.3706171768508457
mod_wd0,weight_norm,401,surrogate,38,4.505968075010004
mod_wd0,train_loss,101,observed,-1,1.0323918758366144
mod_wd0,train_loss,101,surrogate,0,9.285307724365142
mod_wd0,train_loss,101,surrogate,1,11.970897000916182
mod_wd0,train_loss,101,surrogate,2,0.6408830093603131
mod_wd0,train_loss,101,surrogate,3,18.066787967986212
mod_wd0,train_loss,101,surrogate,4,2.560084493403401
mod_wd0,train_loss,101,surrogate,5,1.3647631491687218
mod_wd0,train_loss,101,surrogate,6,5.159278030313248
mod_wd0,train_loss,101,surrogate,7,3.8510180880547416
mod_wd0,train_loss,101,surrogate,8,22.20753951988014
mod_wd0,train_loss,101,surrogate,9,15.7488598344387
mod_wd0,train_loss,101,surrogate,10,15.977078088350513
mod_wd0,train_loss,101,surrogate,11,8.959941268072301
mod_wd0,train_loss,101,surrogate,12,1.3745726043261843
mod_wd0,train_loss,101,surrogate,13,10.667914009644097
mod_wd0,train_loss,101,surrogate,14,1.4891116444137997
mod_wd0,train_loss,101,surrogate,15,3.0846432981636696
mod_wd0,train_loss,101,surrogate,16,15.94230566240406
mod_wd0,train_loss,101,surrogate,17,3.9506795776949204
mod_wd0,train_loss,101,surrogate,18,5.425160538294967
mod_wd0,train_loss,101,surrogate,19,10.358364391380297
mod_wd0,train_loss,101,surrogate,20,1.0636591207917194
mod_wd0,train_loss,101,surrogate,21,4.307402545071248
mod_wd0,train_loss,101,surrogate,22,1.1153292193501172
mod_wd0,train_loss,101,surrogate,23,1.0885270854058666
mod_wd0,train_loss,101,surrogate,24,2.590217650868445
mod_wd0,train_loss,101,surrogate,25,2.45261528808779
mod_wd0,train_loss,101,surrogate,26,0.9298898752956802
mod_wd0,train_loss,101,surrogate,27,5.638605000262537
mod_wd0,train_loss,101,surrogate,28,1.576818443132583
mod_wd0,train_loss,101,surrogate,29,1.3287964451172147
mod_wd0,train_loss,101,surrogate,30,1.1689576430969615
mod_wd0,train_loss,101,surrogate,31,5.17685816539431
mod_wd0,train_loss,101,surrogate,32,4.857534258701636
mod_wd0,train_loss,101,surrogate,33,12.070516263940405
mod_wd0,train_loss,101,surrogate,34,8.0010475308157
mod_wd0,train_loss,101,surrogate,35,11.966604787789807
mod_wd0,train_loss,101,surrogate,36,13.878522181623634
mod_wd0,train_loss,101,surrogate,37,11.886722340920098
mod_wd0,train_loss,101,surrogate,38,3.9696623921487544
mod_wd0,train_loss,201,observed,-1,1.0323918758366144
mod_wd0,train_loss,201,surrogate,0,3.5020104732551722
mod_wd0,train_loss,201,surrogate,1,0.9247533050980514
mod_wd0,train_loss,201,surrogate,2,10.615658605037975
mod_wd0,train_loss,201,surrogate,3,1.6137308765554261
mod_wd0,train_loss,201,surrogate,4,0.8687454274035553
mod_wd0,train_loss,201,surrogate,5,2.918352928769096
mod_wd0,train_loss,201,surrogate,6,14.50450732395992
mod_wd0,train_loss,201,surrogate,7,15.564962967525936
mod_wd0,train_loss,201,surrogate,8,0.7184166229290367
mod_wd0,train_loss,201,surrogate,9,0.977725227107025
mod_wd0,train_loss,201,surrogate,10,16.333433798851043
mod_wd0,train_loss,201,surrogate,11,2.016901108896086
mod_wd0,train_loss,201,surrogate,12,12.88348489420193
mod_wd0,train_loss,201,surrogate,13,2.279747604794616
mod_wd0,train_loss,201,surrogate,14,0.6670177321445215
mod_wd0,train_loss,201,surrogate,15,1.6094913091293155
mod_wd0,train_loss,201,surrogate,16,18.85645421896819
mod_wd0,train_loss,201,surrogate,17,12.059047922543845
mod_wd0,train_loss,201,surrogate,18,2.438695720118381
mod_wd0,train_loss,201,surrogate,19,2.512970925757349
mod_wd0,train_loss,201,surrogate,20,1.1441342340504825
mod_wd0,train_loss,201,surrogate,21,3.9139018523413336
mod_wd0,train_loss,201,surrogate,22,2.1115383609104628
mod_wd0,train_loss,201,surrogate,23,1.626409954949625
mod_wd0,train_loss,201,surrogate,24,15.188029632926739
mod_wd0,train_loss,201,surrogate,25,13.985928945330892
mod_wd0,train_loss,201,surrogate,26,0.9990493012662933
mod_wd0,train_loss,201,surrogate,27,2.4463754617428792
mod_wd0,train_loss,201,surrogate,28,13.777228497662827
mod_wd0,train_loss,201,surrogate,29,1.237693504069031
mod_wd0,train_loss,201,surrogate,30,6.456247818699644
mod_wd0,train_loss,201,surrogate,31,0.7392210311539502
mod_wd0,train_loss,201,surrogate,32,2.4332440914350753
mod_wd0,train_loss,201,surrogate,33,16.77419130396395
mod_wd0,train_loss,201,surrogate,34,13.195591356296443
mod_wd0,train_loss,201,surrogate,35,13.421948197070638
mod_wd0,train_loss,201,surrogate,36,2.492482536853852
mod_wd0,train_loss,201,surrogate,37,0.5745215118065201
mod_wd0,train_loss,201,surrogate,38,22.551001680019855
mod_wd0,train_loss,401,observed,-1,1.0323918758366144
mod_wd0,train_loss,401,surrogate,0,0.8534508816778242
mod_wd0,train_loss,401,surrogate,1,12.515451415175
mod_wd0,train_loss,401,surrogate,2,9.918233505943757
mod_wd0,train_loss,401,surrogate,3,4.094177204711552
mod_wd0,train_loss,401,surrogate,4,1.145899218325534
mod_wd0,train_loss,401,surrogate,5,4.128608429538466
mod_wd0,train_loss,401,surrogate,6,1.77123630243101
mod_wd0,train_loss,401,surrogate,7,2.910047408140592
mod_wd0,train_loss,401,surrogate,8,8.238214091140375
mod_wd0,train_loss,401,surrogate,9,13.511454615644784
mod_wd0,train_loss,401,surrogate,10,14.426286349508677
mod_wd0,train_loss,401,surrogate,11,1.1269262133992701
mod_wd0,train_loss,401,surrogate,12,7.194824860014626
mod_wd0,train_loss,401,surrogate,13,1.5129609610598862
mod_wd0,train_loss,401,surrogate,14,1.2517514592090253
mod_wd0,train_loss,401,surrogate,15,1.383436946470183
mod_wd0,train_loss,401,surrogate,16,17.833073169455922
mod_wd0,train_loss,401,surrogate,17,1.076636557204389
mod_wd0,train_loss,401,surrogate,18,4.498024277278456
mod_wd0,train_loss,401,surrogate,19,16.16486216194714
mod_wd0,train_loss,401,surrogate,20,1.5242892065422093
mod_wd0,train_loss,401,surrogate,21,7.88100924858669
mod_wd0,train_loss,401,surrogate,22,7.020073421924947
mod_wd0,train_loss,401,surrogate,23,16.088058460608305
mod_wd0,train_loss,401,surrogate,24,18.81377651018
mod_wd0,train_loss,401,surrogate,25,1.1743051275906524
mod_wd0,train_loss,401,surrogate,26,1.4956636183116356
mod_wd0,train_loss,401,surrogate,27,4.098398271048434
mod_wd0,train_loss,401,surrogate,28,1.0062478857322814
mod_wd0,train_loss,401,surrogate,29,1.4833864652122102
mod_wd0,train_loss,401,surrogate,30,10.026874463922944
mod_wd0,train_loss,401,surrogate,31,0.20052516520718583
mod_wd0,train_loss,401,surrogate,32,14.600407646536027
mod_wd0,train_loss,401,surrogate,33,15.227114901225267
mod_wd0,train_loss,401,surrogate,34,18.04875035676938
mod_wd0,train_loss,401,surrogate,35,7.874849563949083
mod_wd0,train_loss,401,surrogate,36,2.158032543469488
mod_wd0,train_loss,401,surrogate,37,4.115837434263965
mod_wd0,train_loss,401,surrogate,38,13.382198181483224
mod_wd1,weight_norm,101,observed,-1,2.3592533361077885
mod_wd1,weight_norm,101,surrogate,0,1.6882737860061012
mod_wd1,weight_norm,101,surrogate,1,1.2375100524353781
mod_wd1,weight_norm,101,surrogate,2,1.6259887342836963
mod_wd1,weight_norm,101,surrogate,3,1.187740700413734
mod_wd1,weight_norm,101,surrogate,4,1.3939748218127643
mod_wd1,weight_norm,101,surrogate,5,1.2517281646813145
mod_wd1,weight_norm,101,surrogate,6,1.3795108252778547
mod_wd1,weight_norm,101,surrogate,7,1.092301010144828
mod_wd1,weight_norm,101,surrogate,8,1.3561657382106076
