max_E,tau,k,theiler,det,dep_mod_wd0,pct_mod_wd0,loc_mod_wd0,dep_mod_wd1,pct_mod_wd1,loc_mod_wd1,dep_mod_wd1_s43,pct_mod_wd1_s43,loc_mod_wd1_s43,dep_mod_wd1_s44,pct_mod_wd1_s44,loc_mod_wd1_s44,dep_s5_wd0,pct_s5_wd0,loc_s5_wd0,dep_s5_wd1,pct_s5_wd1,loc_s5_wd1,gen_min,ctrl_max,separates
4,1,5,autocorr,False,1.2402044014889309,0.3701657458563536,-905.0,1.0070756530879073,0.08092485549132948,-505.0,1.1736013986013987,0.3023255813953488,-65.0,2.6639431714969044,0.930635838150289,-185.0,1.2964398815165095,0.7237354085603113,12.5,2.1134223487164663,0.8650793650793651,-87.5,1.0070756530879073,1.2964398815165095,False
4,1,5,autocorr,True,1.2090750107370065,0.6574585635359116,95.0,1.1342307633854618,0.1791907514450867,-705.0,1.0659658048909282,0.0755813953488372,-865.0,1.4342051290141913,0.930635838150289,315.0,1.2787255393878576,0.5486381322957199,-37.5,2.0365835547705804,0.8373015873015873,-87.5,1.0659658048909282,1.2787255393878576,False
4,1,5,embedding,False,1.2402044014889309,0.56353591160221,-905.0,1.0121205351420441,0.08092485549132948,-505.0,1.1791624677658528,0.37790697674418605,-65.0,1.6036285912003034,0.9595375722543352,215.0,1.2964398815165095,0.8287937743190662,12.5,2.1134223487164663,0.8452380952380952,-87.5,1.0121205351420441,1.2964398815165095,False
4,1,5,embedding,True,1.2090750107370065,0.6243093922651933,95.0,1.1425040654113285,0.18497109826589594,-705.0,1.0727536375931361,0.0872093023255814,-865.0,1.4342051290141913,0.9132947976878613,315.0,1.2787255393878576,0.5486381322957199,-37.5,2.0365835547705804,0.8373015873015873,-87.5,1.0727536375931361,1.2787255393878576,False
4,1,20,autocorr,False,1.106467757267822,0.569060773480663,95.0,1.754262278926262,0.8786127167630058,95.0,2.0527357223250915,0.9186046511627907,235.0,2.0410003639658334,0.9248554913294798,515.0,1.1670232036877792,0.5291828793774319,-937.5,3.06533425488615,0.8531746031746031,-137.5,1.754262278926262,1.1670232036877792,True
4,1,20,autocorr,True,1.1376301641152202,0.856353591160221,1595.0,1.4396135265700485,0.8728323699421965,1195.0,1.942079679108029,0.9534883720930233,-265.0,2.2766108326201246,0.9248554913294798,315.0,1.1526105119034313,0.6653696498054474,-937.5,1.9029854279863156,0.9285714285714286,812.5,1.4396135265700485,1.1526105119034313,True
4,1,20,embedding,False,1.106467757267822,0.7237569060773481,95.0,1.721603417834645,0.8901734104046243,95.0,1.9358444746532222,0.9418604651162791,135.0,1.5113914046015184,0.9364161849710982,515.0,1.1670232036877792,0.5330739299610895,-937.5,3.06533425488615,0.8531746031746031,-137.5,1.5113914046015184,1.1670232036877792,True
4,1,20,embedding,True,1.1376301641152202,0.8342541436464088,1595.0,1.4172532142078886,0.815028901734104,1195.0,1.8046592869286806,0.9534883720930233,-265.0,2.2766108326201246,0.930635838150289,315.0,1.1526105119034313,0.6653696498054474,-937.5,1.9427478609754916,0.9325396825396826,862.5,1.4172532142078886,1.1526105119034313,True
4,2,5,autocorr,False,1.1110571760357615,0.1712707182320442,1595.0,1.0072169424063064,0.10404624277456648,-905.0,1.3664202327789303,0.5058139534883721,-865.0,2.568441248113277,0.930635838150289,-285.0,1.3843579193023399,0.6070038910505836,612.5,2.1281632784113103,0.9404761904761905,-137.5,1.0072169424063064,1.3843579193023399,False
4,2,5,autocorr,True,1.111126082269898,0.08287292817679558,1395.0,1.1210056552530252,0.12138728323699421,-605.0,1.1550251854202196,0.11046511627906977,-865.0,1.232060225371674,0.3872832369942196,-585.0,1.3628580800744008,0.5719844357976653,612.5,1.3838600792339533,0.6626984126984127,-437.5,1.1210056552530252,1.3628580800744008,False
