cfg_id,observer,cal_mae,cal_rho,cal_degenerate,score
3,c_norm,2.301077606761679,0.9999999999999999,0.0,2.301077606761679
3,w_fro,2.301093248639218,0.9999999999999999,0.0,2.301093248639218
1,g_fro,2.3555633859668053,0.9999999999999999,0.0,2.3555633859668053
0,g_fro,2.3849525869521644,0.9999999999999999,0.0,2.3849525869521644
2,c_norm,2.4438258086399505,0.9999999999999999,0.0,2.4438258086399505
2,w_fro,2.4438272914307637,0.9999999999999999,0.0,2.4438272914307637
3,c_proj1,2.642703855521972,0.9999999999999999,0.0,2.642703855521972
1,c_norm,2.7776774842067,0.9999999999999999,0.0,2.7776774842067
1,w_fro,2.777681892204101,0.9999999999999999,0.0,2.777681892204101
1,c_proj1,3.0724339577216897,0.9999999999999999,0.0,3.0724339577216897
2,c_proj1,3.2637864826946745,0.9999999999999999,0.0,3.2637864826946745
0,c_norm,3.353006013302571,0.9999999999999999,0.0,3.353006013302571
0,w_fro,3.3530075659844867,0.9999999999999999,0.0,3.3530075659844867
0,c_proj1,3.7792155082510646,0.8999999999999998,0.0,3.8042155082510645
2,g_fro,4.4513986085328945,0.9999999999999999,0.0,4.4513986085328945
3,g_fro,4.977758807318571,0.9999999999999999,0.0,4.977758807318571
