run,stat,plateau,dip,at,recovered,depth
mod_wd1,fn_PR_pos_det,24.24392132536508,3.798088576662537,135.0,20.64092481246896,6.3831900799608885
mod_wd1,fn_PR_step5,4.598715534294926,2.1720289939769484,35.0,6.103885310945325,2.1172440823981615
mod_wd1,PR_pos_det,3.0064379428303747,1.0895772358750722,1035.0,25.507162672895962,2.759270149780446
mod_wd1,PR_step5,2.8596114245695743,1.3240476962716523,1035.0,7.546189608395846,2.159749556320268
mod_wd1,move,33.4502055182013,3.3997030458908073,3935.0,3.3878542613872984,9.83915508698099
mod_wd1_s43,fn_PR_pos_det,33.022563502052485,3.8619563299807873,455.0,22.835841018860833,8.550734570894738
mod_wd1_s43,fn_PR_step5,5.8613294712264405,2.0002500034043176,355.0,6.3290648830357945,2.930298443319972
mod_wd1_s43,PR_pos_det,2.5675645327754655,1.1456243162254611,1155.0,18.785869887340887,2.2411924191998067
mod_wd1_s43,PR_step5,2.4318359576850606,1.7470611117185273,1155.0,8.065947893401535,1.391958152679011
mod_wd1_s43,move,35.96955508689274,4.163864222736408,3955.0,4.086551777986481,8.638503361969441
mod_wd1_s44,fn_PR_pos_det,27.164830584020606,3.400285978190282,515.0,23.049323448573865,7.988984090825918
mod_wd1_s44,fn_PR_step5,7.1916908587883785,1.9573256612067937,415.0,6.724220705334705,3.674243382858591
mod_wd1_s44,PR_pos_det,2.7072880977907987,1.1324626102325308,1315.0,28.580718252267836,2.3906202936226792
mod_wd1_s44,PR_step5,5.386989852585579,1.6708654579025133,1315.0,7.956899007273787,3.2240715894312797
mod_wd1_s44,move,33.74301513041,4.44991983935323,3915.0,4.384611211202696,7.58283662370744
s5_wd1,fn_PR_pos_det,21.04463597996164,2.6221994328065854,1412.5,22.508828631987793,8.025566521245565
s5_wd1,fn_PR_step5,7.681280026395809,2.0475359795822383,1312.5,6.758412656892489,3.7514749938426144
s5_wd1,PR_pos_det,7.136361377315334,1.3874644710845738,1512.5,11.443965632583513,5.14345522068531
s5_wd1,PR_step5,9.09500524470982,2.1016750815476644,1312.5,7.046620630409125,4.327503011556049
s5_wd1,move,70.04281333107974,2.167587081761835,3912.5,2.0387982436643277,32.31372521105279
