run,stat,early,min,at,end,depth
mod_wd0,fn_PR_pos_det,11.35282040450025,3.602664839541215,12795.0,5.9737690353649615,3.151228579438432
mod_wd0,fn_PR_step5,5.070121465243515,1.617096231392455,1295.0,4.2269278738588385,3.1353245198510646
mod_wd0,PR_pos_det,1.8482421529240416,1.1150195767319384,2495.0,31.93143651968193,1.6575871773849375
mod_wd0,PR_step5,3.853196405106846,1.488482425214396,1295.0,7.27740786892745,2.588674437692366
mod_wd0,move,3.7826003208411896,0.018321106894135,19695.0,0.01873197680119995,206.46134224849075
s5_wd0,fn_PR_pos_det,17.77675055349587,2.516784024490337,347.5,8.176664103708983,7.063280114826604
s5_wd0,fn_PR_step5,7.646786885815315,3.799676685235403,347.5,8.460987837388457,2.0124835661752023
s5_wd0,PR_pos_det,6.779494502838085,2.855790127545553,197.5,4.810283444989977,2.373947033938664
s5_wd0,PR_step5,9.337399141831703,7.971406256124826,597.5,9.654555848047533,1.1713615944059201
s5_wd0,move,72.42766962049984,69.10192007474959,12547.5,70.86399531964014,1.048128178524601
