run,left_step,right_step,centre,PR_pos,PR_pos_sketchsd,PR_pos_det,PR_pos_det_sketchsd,PR_step,PR_step_sketchsd,PR_step5,PR_step5_sketchsd,fn_PR_pos,fn_PR_pos_sketchsd,fn_PR_pos_det,fn_PR_pos_det_sketchsd,fn_PR_step,fn_PR_step_sketchsd,fn_PR_step5,fn_PR_step5_sketchsd,move,pnorm,t_mem,t_gen
mod_wd0,0,590,295.0,1.2261003554823926,0.004384834763093148,1.617229622530721,0.027342025244574186,10.319181369541433,0.6704752917177776,2.811710482227573,0.08256116684348291,3.302764695893905,0.0999334970364496,4.8526665176640815,0.0883819334245417,7.551450162510431,0.04125672568319949,2.372227130437402,0.006923691983977021,57.202728407353476,51.08189875359779,630,
mod_wd0,100,690,395.0,1.1720617077145794,0.0005640971398246375,1.5020254808929159,0.01185949416065113,15.396162490929033,0.3343162521316536,2.6866010189595046,0.014143537339652124,1.9232072917900989,0.07538017803564745,4.015857671954514,0.15231758102743131,17.170654998869097,0.2837994346703656,5.734555324794091,0.13497849803563922,50.35620728252192,54.141537246419176,630,
mod_wd0,200,790,495.0,1.1515267600102395,0.0031191315169136757,1.4255875829101066,0.0015572090597647525,17.881747384738354,0.15296958765993907,2.4242815148099712,0.008899052237475447,1.68356850805925,0.04799641039660074,4.443096869631254,0.032100952940179894,20.032305752626005,0.2643907503429652,7.275588305255348,0.05242841793499409,43.06160960504137,56.94619648520002,630,
mod_wd0,300,890,595.0,1.1100683296088687,0.003186067898103606,1.5252885739254398,0.013878627621459638,22.969511627764206,0.7065785415356203,2.620237991553421,0.03987946993978819,1.6894399258033794,0.0366394647955085,4.977448997548,0.12306923624880284,21.993059361411,0.22674587579042615,7.60541380930242,0.0859074463949554,37.24040583231481,59.363555180880354,630,
mod_wd0,400,990,695.0,1.1045685075784384,0.0055080090111737645,1.7656048173504222,0.04282258090375113,24.243120836974004,0.20220113548181118,3.364414605872592,0.08501942223245496,2.3795062390314508,0.057176434357713024,8.871262541890854,0.2769562386678208,22.327580038666177,0.06108681818392547,7.384516121224798,0.07501617619927625,37.11107960535685,61.31224793226976,630,
mod_wd0,500,1090,795.0,1.170061210561944,0.014282284262974954,1.9990489549011703,0.03647704420416764,23.49582614563991,0.049160560577639956,4.535095533970614,0.042000349320178376,4.132195144854159,0.16057775418197706,14.248427790805565,0.05735082993010998,21.66690176692954,0.16510355202741955,4.930829204728283,0.008107022953368404,34.0855797830819,62.79733297189219,630,
mod_wd0,600,1190,895.0,1.226172619495743,0.017425503284047572,2.7534024780836623,0.09166743203895189,18.949439608893513,0.039082164634427485,4.5571126868649054,0.048439613199925624,5.239578678008361,0.12968913427814943,17.805174356643768,0.3504976184425388,17.69680219623626,0.039346665329098585,4.036789347279459,0.023586631044456574,27.955584070127255,63.893942234401976,630,
mod_wd0,700,1290,995.0,1.2820045915481637,0.015025476565099005,3.101006272707286,0.07948427703528194,14.66235104169646,0.07341541164245591,3.8531964051086636,0.09517404986682321,6.171826346683757,0.014038635711676406,13.676559114677554,0.0766627716891719,13.664304466678582,0.021549819398387626,3.16680234343226,0.030156855261362248,22.916094802259074,64.68715290828267,630,
mod_wd0,800,1390,1095.0,1.4982144100144037,0.02116476571117054,2.2118485608731224,0.002469242782698444,11.925621446169277,0.05611389675681888,3.22598391369463,0.05917900777170537,8.263365313518799,0.14700535986630214,10.019863898523347,0.19144120008509447,10.87234262354829,0.004083243433324668,2.638217759183031,0.007851602259275614,19.46373287861552,65.27887328117646,630,
mod_wd0,900,1490,1195.0,2.099239049482084,0.06791757470333226,2.4140935537917043,0.016726472247319712,9.985180053731366,0.02176727345542595,2.709058951068063,0.039519077288122206,10.1071033412237,0.1962518914326541,9.631987457542419,0.3070463403372585,8.880706077414287,0.023118617960266263,2.24324174895899,0.0020685065933430113,16.778660181423405,65.761090140097,630,
