run,reference,stat,plateau,dip,depth
mod_wd0,mod_wd1,fn_PR_pos_det,5.500010233473654,3.432662431292848,1.602257822771748
mod_wd0,mod_wd1,fn_PR_step5,4.111966003884859,2.5718167346369887,1.5988565392336411
mod_wd0,mod_wd1,PR_pos_det,29.92910412675724,27.701572509432314,1.0804117389569297
mod_wd0,mod_wd1,PR_step5,7.3110649772192255,6.879379882612487,1.062750582461337
mod_wd0,mod_wd1,move,0.03475023174503436,0.02104392727220405,1.6513187531746667
s5_wd0,s5_wd1,fn_PR_pos_det,11.866685959671047,9.085930443096661,1.3060507158831662
s5_wd0,s5_wd1,fn_PR_step5,8.519463898092294,7.947217398506587,1.072005894754212
s5_wd0,s5_wd1,PR_pos_det,5.567730444219526,4.487145713304226,1.240817838322345
s5_wd0,s5_wd1,PR_step5,9.677207084918285,9.452843519317826,1.0237350343462208
s5_wd0,s5_wd1,move,72.51021649712821,70.41318390713792,1.0297818174612854
