system,observer,applicable,claims_state_only,n_cells,moves_when_silent,sd_ratio,series_correlation,rho_trained,rho_silent,mae_trained,mae_silent,MG_trained,MG_silent,survives_silence,fails_requirement_4,system_invalidated
decoder,gradient_fro,True,True,8,1.0,0.9999999983873628,0.9351341908566351,1.0,1.0,2.0301617153477967,2.485515520095041,7.693295897069518,8.448703902422944,True,True,True
decoder,gradient_projection,True,True,8,1.0,1.0000000003078169,0.989525803484417,0.8,0.8,1.1425913938415548,1.152340550482181,4.670742094350924,4.381974050785761,False,False,True
decoder,latent_fro,True,True,8,0.0,1.0040336528785866e-06,-0.00027604398992971124,0.8,,0.970032005578065,,5.626121683273205,,False,False,True
decoder,latent_projection,True,True,8,0.0,9.982853178013281e-07,-0.0023949682772750587,1.0,,0.4610672622613029,,5.626647813657503,,False,False,True
decoder,loss,True,True,8,1.0,0.9999999998337802,0.9383518021409402,0.8,1.0,2.907361958901893,3.067913791954835,9.003123604137835,9.222160110065808,True,True,True
decoder,output_fro,True,True,8,0.0,9.946079866267558e-07,0.0017646132910792136,1.0,,0.3590618731126697,,5.199346378737699,,False,False,True
decoder,output_projection,True,True,8,0.75,0.06705953221948778,-0.0021233028465214143,1.0,0.2,1.0193922948459422,9.723649046969745,4.601746526486823,14.723558075782549,False,False,True
digits_function,gradient_fro,True,True,8,1.0,0.9999999999638306,0.9915338427884532,1.0,1.0,1.8916350496781895,1.8907853801155692,7.89067955262294,7.8767239931952036,True,True,True
digits_function,gradient_projection,True,True,8,1.0,1.000000000630263,0.9972755965091998,0.8,0.8,0.8116560196706,0.8014942673505834,5.536748575359485,5.548559254387442,False,False,True
digits_function,latent_fro,True,True,8,0.0,1.0040336670867848e-06,-0.0021163898381310513,1.0,,0.5346054736367922,,5.506845223686161,,False,False,True
digits_function,latent_projection,True,True,8,0.0,9.982853149683244e-07,0.0061002557446983505,1.0,,0.5890348719183534,,5.4625153971181355,,False,False,True
