cfg_id,seed,r,observer,family,traj_PR,upd_PR,drive_cond,max_E,tau,k_neighbors,theiler,window,stride,dither,frac_degenerate,n_windows,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd
0,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,1,5,embedding,4000,2000,1e-09,0.0,12,2.1898094218508994,0.0007559744520253175,2.5358262627862214,0.0023884884876872966,35.93568710670014,0.07456729576977655,1.9737254137000133,0.00031275332945714004,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
1,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,1,5,embedding,8000,2000,1e-09,0.0,10,3.208002561182197,0.0010148727030875298,3.6631732547423357,0.0033990418957169856,4.869569872289254,0.011978148450722747,1.9738099565277138,6.490507336566107e-05,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
2,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,1,5,autocorr,4000,2000,1e-09,0.0,12,2.1898094218508994,0.0007559744520253175,2.5358262627862214,0.0023884884876872966,35.93568710670014,0.07456729576977655,1.9737254137000133,0.00031275332945714004,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
3,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,1,5,autocorr,8000,2000,1e-09,0.0,10,3.208002561182197,0.0010148727030875298,3.6631732547423357,0.0033990418957169856,4.869569872289254,0.011978148450722747,1.9738099565277138,6.490507336566107e-05,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
4,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,1,20,embedding,4000,2000,1e-09,0.0,12,2.2865565356550226,0.0013282869573611894,2.307463788317362,0.0012262167034709425,35.93568710670014,0.07456729576977655,1.9737254137000133,0.00031275332945714004,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
5,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,1,20,embedding,8000,2000,1e-09,0.0,10,2.3662026442322626,0.0006261989790800925,2.392843846040215,0.0005843447110551778,4.869569872289254,0.011978148450722747,1.9738099565277138,6.490507336566107e-05,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
6,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,1,20,autocorr,4000,2000,1e-09,0.0,12,2.2865565356550226,0.0013282869573611894,2.307463788317362,0.0012262167034709425,35.93568710670014,0.07456729576977655,1.9737254137000133,0.00031275332945714004,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
7,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,1,20,autocorr,8000,2000,1e-09,0.0,10,2.3662026442322626,0.0006261989790800925,2.392843846040215,0.0005843447110551778,4.869569872289254,0.011978148450722747,1.9738099565277138,6.490507336566107e-05,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
8,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,2,5,embedding,4000,2000,1e-09,0.0,12,2.4522220840551845,0.006253054114624047,2.5689623957598258,0.006365025452239133,84.03291318458687,0.22715267369300116,2.0280021674307895,0.00017017425519940999,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
9,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,2,5,embedding,8000,2000,1e-09,0.0,10,3.8312055759149626,0.009755399813651706,4.4542056273024375,0.018157076887825908,6.1019152806901875,0.06442695278386022,2.0280727952776236,9.493288513172955e-05,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
10,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,2,5,autocorr,4000,2000,1e-09,0.0,12,2.4522220840551845,0.006253054114624047,2.5689623957598258,0.006365025452239133,84.03291318458687,0.22715267369300116,2.0280021674307895,0.00017017425519940999,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
11,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,2,5,autocorr,8000,2000,1e-09,0.0,10,3.8312055759149626,0.009755399813651706,4.4542056273024375,0.018157076887825908,6.1019152806901875,0.06442695278386022,2.0280727952776236,9.493288513172955e-05,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
12,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,2,20,embedding,4000,2000,1e-09,0.0,12,2.2362454971054317,0.00068510402495647,2.2564093875479547,0.0006940215386127007,84.03291318458687,0.22715267369300116,2.0280021674307895,0.00017017425519940999,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
13,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,2,20,embedding,8000,2000,1e-09,0.0,10,2.3680837393443452,0.00043503246875346147,2.3908247974398913,0.0004176259293282435,6.1019152806901875,0.06442695278386022,2.0280727952776236,9.493288513172955e-05,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
14,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,2,20,autocorr,4000,2000,1e-09,0.0,12,2.2362454971054317,0.00068510402495647,2.2564093875479547,0.0006940215386127007,84.03291318458687,0.22715267369300116,2.0280021674307895,0.00017017425519940999,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
15,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,2,20,autocorr,8000,2000,1e-09,0.0,10,2.3680837393443452,0.00043503246875346147,2.3908247974398913,0.0004176259293282435,6.1019152806901875,0.06442695278386022,2.0280727952776236,9.493288513172955e-05,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
16,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,4,5,embedding,4000,2000,1e-09,0.0,12,2.5651307414707443,0.0033436846741661643,2.797079989506715,0.0048872588811329455,22.18288329903684,0.3188339825729637,2.0628155844522675,7.044122828096309e-05,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
17,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,4,5,embedding,8000,2000,1e-09,0.0,10,3.7324381731801664,0.0015359346028556303,4.294744650613022,0.007836033094861606,5.453816868608119,0.01855464962339943,2.062805473091322,5.058881355457323e-05,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
18,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,4,5,autocorr,4000,2000,1e-09,0.0,12,2.5651307414707443,0.0033436846741661643,2.797079989506715,0.0048872588811329455,22.18288329903684,0.3188339825729637,2.0628155844522675,7.044122828096309e-05,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
19,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,4,5,autocorr,8000,2000,1e-09,0.0,10,3.7324381731801664,0.0015359346028556303,4.294744650613022,0.007836033094861606,5.453816868608119,0.01855464962339943,2.062805473091322,5.058881355457323e-05,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
20,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,4,20,embedding,4000,2000,1e-09,0.0,12,2.6118443725380107,0.0013986507063640419,2.787820821286665,0.0015380275178449154,22.18288329903684,0.3188339825729637,2.0628155844522675,7.044122828096309e-05,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
21,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,4,20,embedding,8000,2000,1e-09,0.0,10,2.6009804307808935,0.0008121194660449763,2.697787410275854,0.0009740166380242611,5.453816868608119,0.01855464962339943,2.062805473091322,5.058881355457323e-05,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
22,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,4,20,autocorr,4000,2000,1e-09,0.0,12,2.6118443725380107,0.0013986507063640419,2.787820821286665,0.0015380275178449154,22.18288329903684,0.3188339825729637,2.0628155844522675,7.044122828096309e-05,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
23,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,10,4,20,autocorr,8000,2000,1e-09,0.0,10,2.6009804307808935,0.0008121194660449763,2.697787410275854,0.0009740166380242611,5.453816868608119,0.01855464962339943,2.062805473091322,5.058881355457323e-05,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
24,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,20,1,5,embedding,4000,2000,1e-09,0.0,12,2.4567375001586944,0.0061006154155725445,2.5710564585253977,0.006119511003283248,84.97135815537217,0.23904489252841987,2.033920388630873,9.254399442268115e-05,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
25,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,20,1,5,embedding,8000,2000,1e-09,0.0,10,3.837900567813931,0.009908262800378511,4.448248935565472,0.0183415268641017,6.138950812949431,0.06705136675352016,2.0339952495553257,0.00010715093202936978,1.0603847973528213,0.0006946788505639717,1.1005537252815514,0.0006024921795271198,1.352434545884298,0.0008657769502574853,3.1029356016007297,0.0014440079344559685,0.4067721520870934,2.687572530330163e-05,3.0,0.0
26,90,2,w_fro,norm,2.000003477262963,1.5216108208353687,3.066033253339447,20,1,5,autocorr,4000,2000,1e-09,0.0,12,2.4567375001586944,0.0061006154155725445,2.5710564585253977,0.006119511003283248,84.97135815537217,0.23904489252841987,2.033920388630873,9.254399442268115e-05,1.0620308107114613,0.0002934193801722449,1.1075097749367915,0.0006707155741656125,1.4441377204393437,0.0014841346835491,1.567512676441149,0.0012560430483572395,0.4067362308176792,0.00020879596692066426,3.0,0.0
