cfg_id,mae,rho,sd,n,score,max_E,tau,k_neighbors,theiler,window,stride,dither
47,0.3237032984051502,0.9083333333333333,0.5005545853072062,4,0.7573139243920867,20,4,20,autocorr,8000,2000,1e-09
45,0.3237032984051502,0.9083333333333333,0.5005545853072062,4,0.7573139243920867,20,4,20,embedding,8000,2000,1e-09
46,0.4815948679788977,0.9,0.515637288849662,4,0.9394135124037286,20,4,20,autocorr,4000,2000,1e-09
44,0.4815948679788977,0.9,0.515637288849662,4,0.9394135124037286,20,4,20,embedding,4000,2000,1e-09
21,0.500350965677277,0.8666666666666667,0.39185244560034727,4,0.9629438551441172,10,4,20,embedding,8000,2000,1e-09
23,0.500350965677277,0.8666666666666667,0.39185244560034727,4,0.9629438551441172,10,4,20,autocorr,8000,2000,1e-09
20,0.6087265815867511,0.9083333333333333,0.36719057957041656,4,0.9756552047052927,10,4,20,embedding,4000,2000,1e-09
22,0.6087265815867511,0.9083333333333333,0.36719057957041656,4,0.9756552047052927,10,4,20,autocorr,4000,2000,1e-09
30,0.5468613242734642,0.8583333333333333,0.3105448465265807,4,0.985467080870088,20,1,20,autocorr,4000,2000,1e-09
28,0.5468613242734642,0.8583333333333333,0.3105448465265807,4,0.985467080870088,20,1,20,embedding,4000,2000,1e-09
12,0.5485886891819571,0.85,0.3115663510096756,4,1.004371864686795,10,2,20,embedding,4000,2000,1e-09
14,0.5485886891819571,0.85,0.3115663510096756,4,1.004371864686795,10,2,20,autocorr,4000,2000,1e-09
37,0.6528379163726161,0.85,0.42130222093635844,4,1.1634890268407954,20,2,20,embedding,8000,2000,1e-09
39,0.6528379163726161,0.85,0.42130222093635844,4,1.1634890268407954,20,2,20,autocorr,8000,2000,1e-09
7,0.8473610326685176,0.8833333333333333,0.216530171853549,4,1.1889594519286253,10,1,20,autocorr,8000,2000,1e-09
5,0.8473610326685176,0.8833333333333333,0.216530171853549,4,1.1889594519286253,10,1,20,embedding,8000,2000,1e-09
36,0.6267045815538002,0.8083333333333333,0.40203633073976086,4,1.2110560802570138,20,2,20,embedding,4000,2000,1e-09
38,0.6267045815538002,0.8083333333333333,0.40203633073976086,4,1.2110560802570138,20,2,20,autocorr,4000,2000,1e-09
6,0.9593360468055248,0.9166666666666666,0.18972389026581807,4,1.2208646586051006,10,1,20,autocorr,4000,2000,1e-09
4,0.9593360468055248,0.9166666666666666,0.18972389026581807,4,1.2208646586051006,10,1,20,embedding,4000,2000,1e-09
13,0.6529234721060116,0.775,0.2896211545504564,4,1.2477340493812399,10,2,20,embedding,8000,2000,1e-09
15,0.6529234721060116,0.775,0.2896211545504564,4,1.2477340493812399,10,2,20,autocorr,8000,2000,1e-09
31,0.6564993637052554,0.775,0.3322853813186304,4,1.2726420543645705,20,1,20,autocorr,8000,2000,1e-09
29,0.6564993637052554,0.775,0.3322853813186304,4,1.2726420543645705,20,1,20,embedding,8000,2000,1e-09
2,0.8792893191820339,0.8333333333333333,0.26151519775174337,4,1.3433802513912392,10,1,5,autocorr,4000,2000,1e-09
0,0.8792893191820339,0.8333333333333333,0.26151519775174337,4,1.3433802513912392,10,1,5,embedding,4000,2000,1e-09
16,0.5818792968928097,0.7999999999999999,0.7249605613832171,4,1.3443595775844184,10,4,5,embedding,4000,2000,1e-09
18,0.5818792968928097,0.7999999999999999,0.7249605613832171,4,1.3443595775844184,10,4,5,autocorr,4000,2000,1e-09
17,0.7397122435198584,0.775,0.6956665274311316,4,1.537545507235424,10,4,5,embedding,8000,2000,1e-09
19,0.7397122435198584,0.775,0.6956665274311316,4,1.537545507235424,10,4,5,autocorr,8000,2000,1e-09
8,0.8363607654915031,0.7749999999999999,0.5217088874579798,4,1.5472152092204932,10,2,5,embedding,4000,2000,1e-09
10,0.8363607654915031,0.7749999999999999,0.5217088874579798,4,1.5472152092204932,10,2,5,autocorr,4000,2000,1e-09
1,0.8105234593330117,0.7083333333333334,0.3364470034887568,4,1.5620802944107233,10,1,5,embedding,8000,2000,1e-09
3,0.8105234593330117,0.7083333333333334,0.3364470034887568,4,1.5620802944107233,10,1,5,autocorr,8000,2000,1e-09
43,0.7285681274918749,0.8666666666666667,1.1515388090929797,4,1.5710041987050314,20,4,5,autocorr,8000,2000,1e-09
41,0.7285681274918749,0.8666666666666667,1.1515388090929797,4,1.5710041987050314,20,4,5,embedding,8000,2000,1e-09
24,0.8317357168175759,0.7166666666666667,0.5283821046641808,4,1.662593435816333,20,1,5,embedding,4000,2000,1e-09
26,0.8317357168175759,0.7166666666666667,0.5283821046641808,4,1.662593435816333,20,1,5,autocorr,4000,2000,1e-09
