seed,k,r,T,burn,eta,precondition,mode,drive_amp,f0,band,noise_amp,noise_rank,batch,gd_disp,n_groups,drive_space,eta_zero,rotate,lr_scale,amp_scale,noise_scale,r_schedule,obs_scale,traj_rank,traj_PR,upd_rank,upd_PR,func_rank,func_PR,available,traj_spec,margin_res,cycles_slow,samples_per_cycle,hess_cond,excursion,drift,drive_cond,observer,family,obs_sd,frac_degenerate,n_windows,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd,flat,arm,MG_2E,ident_ratio
0,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000015793604684,3,1.0000057429172233,10,8.402892361348608,10,1.000e+00;7.783e-07;1.134e-08;7.465e-13;7.919e-14;9.364e-15;7.762e-19;5.377e-20;1.107e-23;8.213e-26,0.08838834764831845,2298.0970388562796,11.31370849898476,4.25954905345372,0.023149089595489086,0.0004693269207382015,1.0,loss_step,loss*,0.0016655540679056822,0.0,7.0,0.904674544810065,2.8438527774431886e-08,0.9271020807903647,2.4382059044662802e-08,3.034741668902874,3.258754691685065e-07,2.0081047968246177,1.203165880767017e-05,1.0065628291391742,2.1791493226510973e-05,1.0129757849891645,2.8121244346109986e-05,1.0554130987913035,6.846420701869848e-05,1.0831870427530927,3.20313406270065e-05,0.5500712759587607,3.482715090298772e-05,3.0,0.0,False,qp,,
0,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000015793604684,3,1.0000057429172233,10,8.402892361348608,10,1.000e+00;7.783e-07;1.134e-08;7.465e-13;7.919e-14;9.364e-15;7.762e-19;5.377e-20;1.107e-23;8.213e-26,0.08838834764831845,2298.0970388562796,11.31370849898476,4.25954905345372,0.023149089595489086,0.0004693269207382015,1.0,loss_full,loss,7.135611486578027e-06,0.0,7.0,0.9047073146231327,9.401223471975645e-08,0.9271264167959303,8.285575790422083e-08,3.0358661791509975,2.6605078769391144e-07,3.0775762387449883,3.902560560286639e-05,1.5722810054130056,0.00045725671793519167,1.595667041655124,0.00042916620754804893,1.9000205035061837,0.0006462782998486006,2.063189484317448,0.0005674060562180984,0.9608931143447961,6.151658968741028e-05,2.0,0.0,False,qp,,
0,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000015793604684,3,1.0000057429172233,10,8.402892361348608,10,1.000e+00;7.783e-07;1.134e-08;7.465e-13;7.919e-14;9.364e-15;7.762e-19;5.377e-20;1.107e-23;8.213e-26,0.08838834764831845,2298.0970388562796,11.31370849898476,4.25954905345372,0.023149089595489086,0.0004693269207382015,1.0,loss_probe,loss,0.00034134618392167305,0.0,7.0,0.9046699022359195,1.8417482432483095e-08,0.9270988795039062,1.8246191101295156e-08,3.0345789952512927,2.748585503895541e-07,2.0024750139209173,1.1966735679055935e-05,1.0036730818792885,1.9792030657360415e-05,1.0100782920128726,2.750742204975668e-05,1.0523259382715655,5.7420974178363516e-05,1.0800580856722946,2.1161649544826796e-05,0.5489944624401087,3.4068574809867144e-05,3.0,0.0,False,qp,,
0,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000015793604684,3,1.0000057429172233,10,8.402892361348608,10,1.000e+00;7.783e-07;1.134e-08;7.465e-13;7.919e-14;9.364e-15;7.762e-19;5.377e-20;1.107e-23;8.213e-26,0.08838834764831845,2298.0970388562796,11.31370849898476,4.25954905345372,0.023149089595489086,0.0004693269207382015,1.0,w_fro,norm,0.002754045498666731,0.0,7.0,0.9046677698138322,2.4241882862945144e-08,0.9270974025813984,2.397170541954758e-08,3.034489036984714,1.6568870319180217e-07,2.0001603849236456,1.1864683984160755e-05,1.0024720075532805,1.8620867965966368e-05,1.008871085867871,2.687209161905874e-05,1.0510957178205929,5.830632483829117e-05,1.0787785776238994,2.0091328937726546e-05,0.5485538017901843,3.478840729121021e-05,3.0,0.0,False,qp,,
0,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000015793604684,3,1.0000057429172233,10,8.402892361348608,10,1.000e+00;7.783e-07;1.134e-08;7.465e-13;7.919e-14;9.364e-15;7.762e-19;5.377e-20;1.107e-23;8.213e-26,0.08838834764831845,2298.0970388562796,11.31370849898476,4.25954905345372,0.023149089595489086,0.0004693269207382015,1.0,c_norm,norm,0.0034421306754206194,0.0,7.0,0.9046677636309554,2.39321569580893e-08,0.9270973983764147,2.372337811822011e-08,3.0344888397246232,1.652861630037181e-07,2.000155953718835,1.1864893202875048e-05,1.0024696847861836,1.861925944347728e-05,1.0088687498459845,2.6871015890414287e-05,1.0510932578272785,5.8293027464062544e-05,1.0787760651243452,2.007920772044233e-05,0.5485529613463886,3.4785739299805375e-05,3.0,0.0,False,qp,,
0,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000015793604684,3,1.0000057429172233,10,8.402892361348608,10,1.000e+00;7.783e-07;1.134e-08;7.465e-13;7.919e-14;9.364e-15;7.762e-19;5.377e-20;1.107e-23;8.213e-26,0.08838834764831845,2298.0970388562796,11.31370849898476,4.25954905345372,0.023149089595489086,0.0004693269207382015,1.0,fn_fro,norm,0.02394347690311913,0.0,7.0,0.904668606682402,2.7610967675768584e-08,0.927097983159033,2.6856979331023844e-08,3.034525167601346,1.8489177510884658e-07,2.0010126921856854,1.184971133235491e-05,1.002914116187727,1.9052699551135298e-05,1.0093159778875598,2.716525636811932e-05,1.0515604416602164,5.965134337013367e-05,1.079253954200588,2.1555692964485825e-05,0.5487157328975818,3.5028264467278146e-05,3.0,0.0,False,qp,,
0,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000015793604684,3,1.0000057429172233,10,8.402892361348608,10,1.000e+00;7.783e-07;1.134e-08;7.465e-13;7.919e-14;9.364e-15;7.762e-19;5.377e-20;1.107e-23;8.213e-26,0.08838834764831845,2298.0970388562796,11.31370849898476,4.25954905345372,0.023149089595489086,0.0004693269207382015,1.0,g_fro,gradient,0.0003911763843123582,0.0,7.0,0.9060256924123432,0.0009455145080985391,0.9285467867805322,0.0009577618852588519,3.0481162694673887,0.013904998999074089,2.9448504672252684,3.963948043488856e-05,1.4999341658469674,0.0006706506958325737,1.5238225148400086,0.0006645490437870316,1.8302154648713087,0.0010142842697473307,1.9957973465630023,0.0009532933820182155,1.0444038290093782,8.482374040614957e-05,2.0,0.0,False,qp,,
0,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000015793604684,3,1.0000057429172233,10,8.402892361348608,10,1.000e+00;7.783e-07;1.134e-08;7.465e-13;7.919e-14;9.364e-15;7.762e-19;5.377e-20;1.107e-23;8.213e-26,0.08838834764831845,2298.0970388562796,11.31370849898476,4.25954905345372,0.023149089595489086,0.0004693269207382015,1.0,g_proj,gradient,0.0003177898930989416,0.0,7.0,0.9046678790364611,1.807982978295466e-08,0.9270974858538518,1.68607907115715e-08,3.0344897752091566,2.413990187790917e-07,2.0001935231751933,1.1900608074394932e-05,1.002491978440233,1.866928113436268e-05,1.0088890200110678,2.6869008578824303e-05,1.0511050679219964,5.712993584157897e-05,1.0787895970312098,1.9325916376171833e-05,0.5485603015150698,3.444677033652896e-05,3.0,0.0,False,qp,,
0,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000015793604684,3,1.0000057429172233,10,8.402892361348608,10,1.000e+00;7.783e-07;1.134e-08;7.465e-13;7.919e-14;9.364e-15;7.762e-19;5.377e-20;1.107e-23;8.213e-26,0.08838834764831845,2298.0970388562796,11.31370849898476,4.25954905345372,0.023149089595489086,0.0004693269207382015,1.0,c_proj1,projection,0.00909865052929191,0.0,7.0,0.9046678631890663,1.6285629924117957e-08,0.9270974749037489,1.4967197720209967e-08,3.0344880174116087,2.392531654026832e-07,2.0001564641932554,1.1902775653096638e-05,1.0024730461736253,1.8649379942445527e-05,1.0088699737382478,2.6852157551228103e-05,1.0510849406939629,5.705377773562692e-05,1.078768872933193,1.925463784215572e-05,0.5485533502071425,3.442630750430447e-05,3.0,0.0,False,qp,,
0,10,1,30000,4000,0.15,True,qp,0.8,0.0625,2.0,0.0,0,0,0.8,12,data,False,False,,,,,,3,1.0000015793604684,3,1.0000057429172233,10,8.402892361348608,10,1.000e+00;7.783e-07;1.134e-08;7.465e-13;7.919e-14;9.364e-15;7.762e-19;5.377e-20;1.107e-23;8.213e-26,0.08838834764831845,2298.0970388562796,11.31370849898476,4.25954905345372,0.023149089595489086,0.0004693269207382015,1.0,fn_proj1,function,0.007234192292383118,0.0,7.0,0.9046678405624172,1.8031985293429313e-08,0.9270974605180955,1.685407944913244e-08,3.0344882384254923,2.415328871297879e-07,2.0001582212492828,1.1899702752674147e-05,1.00247363143577,1.865056909038818e-05,1.0088705595623961,2.6858266798411176e-05,1.0510863028562063,5.7136951342231687e-05,1.0787702635795349,1.9305149020761143e-05,0.548553602055281,3.445495561524737e-05,3.0,0.0,False,qp,,
