arm,observer,family,rho_MG,rho_rough,rho_PRdelay,rho_specPR,mae_specPR,rho_specPR256,slope,mae_raw,ident,seed_sd,degen
batch,acc_probe,function,0.39285714285714285,-0.14285714285714285,0.32142857142857145,0.4642857142857143,458.9870744617009,0.5357142857142857,0.6089941096370451,8.835784197001889,,0.2769732375940687,0.0
batch,c_norm,norm,-0.35714285714285715,-0.17857142857142858,-0.32142857142857145,-0.21428571428571427,313.9754899862623,-0.03571428571428571,-0.8972986801328972,8.520845835941362,,0.09311739534028957,0.0
batch,c_proj1,projection,-0.21428571428571427,-0.21428571428571427,0.14285714285714285,-0.32142857142857145,314.69037997586787,0.17857142857142858,-0.7604413535296085,8.53639661960749,1.5451805358907258,0.08639896674190936,0.0
batch,fn_fro,norm,0.07142857142857142,0.03571428571428571,0.4642857142857143,0.07142857142857142,313.62079889718405,-0.07142857142857142,0.17585006074841736,8.530770149423715,,0.08671444541041091,0.0
batch,fn_proj1,function,0.14285714285714285,-0.03571428571428571,0.6428571428571429,0.35714285714285715,315.84325839758367,0.7142857142857143,0.24113250741211167,8.567321487071357,,0.12276515964467224,0.0
batch,g_fro,gradient,0.14285714285714285,0.8928571428571429,0.32142857142857145,0.5,629.0119803264018,0.6785714285714286,0.5050708439818599,9.305847185506414,1.5861121647305272,0.06098065134668732,0.0
batch,g_proj,gradient,0.10714285714285714,-0.5714285714285714,-0.7857142857142857,-0.6428571428571429,317.1782939791461,-0.6785714285714286,-0.36905350519012836,8.550174742386064,,0.0825793513286445,0.0
batch,loss_full,loss,-0.07142857142857142,0.6071428571428571,0.21428571428571427,0.42857142857142855,621.335027480873,0.07142857142857142,-0.13104749897661147,8.503698893012595,,0.1292347110347274,0.0
batch,loss_probe,loss,-0.03571428571428571,-0.17857142857142858,-0.2857142857142857,-0.35714285714285715,382.66441864646885,0.0,0.15371021664743012,8.359250709055674,,0.11673403417618111,0.0
batch,loss_step,loss,-0.14285714285714285,0.25,0.17857142857142858,-0.14285714285714285,1994.1886498430333,-0.03571428571428571,0.021324119704987352,9.794164876133944,,0.04879089130328404,0.0
batch,margin,function,0.2857142857142857,0.42857142857142855,0.6785714285714286,0.6428571428571429,333.38037366502977,0.6785714285714286,1.0184545820830395,8.598096228839939,,0.1115599416934143,0.0
batch,w_fro,norm,-0.5,-0.17857142857142858,-0.32142857142857145,-0.21428571428571427,313.93418734091745,-0.03571428571428571,-0.9828903877258334,8.51471333989928,1.5546632106207336,0.09153476524175899,0.0
batch_proj,acc_probe,function,0.7857142857142857,-0.8928571428571429,-0.8928571428571429,-0.8214285714285714,648.9145594049008,-0.8928571428571429,1.8344605967881509,10.41400627510762,,0.799035860525861,0.09693877551020409
batch_proj,c_norm,norm,-0.25,-0.2857142857142857,0.10714285714285714,-0.25,322.8949764821088,0.14285714285714285,-0.018585238298075818,12.004787996795542,,0.14357251047943498,0.0
batch_proj,c_proj1,projection,0.32142857142857145,-0.35714285714285715,0.03571428571428571,-0.17857142857142858,320.7324143709294,-0.17857142857142858,0.011628105267435192,12.061602877274808,1.5322400548306314,0.11819114865454428,0.0
batch_proj,fn_fro,norm,0.21428571428571427,-0.21428571428571427,0.42857142857142855,0.21428571428571427,324.8626215558061,0.0,0.017657813654068648,11.995535530031798,,0.13895119014073595,0.0
batch_proj,fn_proj1,function,-0.75,-0.5357142857142857,-0.42857142857142855,-0.8928571428571429,321.0847991110666,-0.5714285714285714,-0.023380095904340124,11.991139462612344,,0.09264714976885802,0.0
batch_proj,g_fro,gradient,0.8571428571428571,-0.9642857142857143,-0.7857142857142857,-0.8214285714285714,670.8778454087109,-0.8571428571428571,0.14301456409860985,12.321838012105166,1.6016942865073505,0.15231521789191896,0.0
