arm,1,2,3,4,5,6,8
batch,6.577829601341632,6.57500576108083,6.546360545576329,6.560836801260505,6.622186633223619,6.596093293597763,6.564949349655745
batch_proj,1.0000010115216025,1.7449714445932705,2.5460989338623996,3.0819963801191887,3.7616704665218776,4.1876614371668675,5.381714299491484
gd,1.039119431793297,1.0525677019790014,1.043052176064048,1.0427599148894142,1.0531655657927277,1.0392978470698409,1.0597278387543905
mixed,1.0000009222182047,1.9998282222227135,2.9992643174692466,3.9992247108582903,4.998598813133967,5.9964667250255275,7.989454794178503
noise,1.0000013237132497,1.999296254563395,2.9974415007087365,3.9957434254813267,4.9934785264884844,5.988953144260922,7.986632714507017
noise_eta0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
noise_nopre,1.0908812756257595,1.98238656744416,2.819594709283264,3.7115105452630033,4.544323500162082,5.2358780621547005,6.747841136232268
qp,1.0000007237166468,1.9999366730044974,2.999583794383302,3.9990624916791506,4.999279149330295,5.999201005241064,7.99874760346329
qp_eta0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qp_nopre,1.000025241513425,1.9955402676977667,2.9941905028168483,3.73067070247878,4.944295454227502,5.975664583291344,7.773803275687577
qp_slow,1.000027721862573,1.999903733072913,2.999524378565857,3.998923383981328,4.995897671929944,5.988767489225803,7.976847158246553
