step,train_loss,val_loss,train_acc,val_acc,weight_norm
0,4.747730855077284,4.756038443930894,0.01171875,0.005859375,42.034901203620244
10,4.746801791618597,4.7590893352056565,0.0078125,0.0078125,41.6116623303516
20,4.716582575792272,4.747795466306426,0.0078125,0.00390625,41.20326195144977
30,4.7063695854885434,4.751831498549171,0.015625,0.00390625,40.835756856711946
40,4.700481893495537,4.756269469507053,0.015625,0.005859375,40.53283364157153
50,4.6933992014647075,4.761681525829373,0.0078125,0.00390625,40.30853133299115
60,4.649652983910045,4.768752253375813,0.03515625,0.005859375,40.1955692975137
70,4.658134466898137,4.782711628712042,0.03125,0.005859375,40.208956888995594
80,4.599369083716036,4.813391412652134,0.04296875,0.0078125,40.30669978925265
90,4.534065948895279,4.830354458868098,0.04296875,0.00390625,40.43928883776523
100,4.55209969944216,4.874754982194563,0.02734375,0.00390625,40.5702815855413
110,4.510862306126258,4.89539936245202,0.04296875,0.00390625,40.66350202294027
120,4.415361952786413,4.928783845875044,0.05859375,0.00390625,40.767481074839566
130,4.459211154055213,4.974953345007083,0.0390625,0.013671875,40.86566691475629
140,4.452798334893783,5.024783689531905,0.0390625,0.0,40.95866672062084
150,4.325155706947692,5.052726851832176,0.0546875,0.005859375,41.047854211141534
160,4.378356470821098,5.10610898931175,0.05078125,0.01171875,41.15666079509104
170,4.302719956505378,5.150309651407543,0.05078125,0.00390625,41.25961339091196
180,4.2359718890672795,5.170662369200199,0.08203125,0.005859375,41.36481918872163
190,4.356192421426763,5.215742243599093,0.0625,0.005859375,41.471149559612854
200,4.159928761632747,5.237426767065514,0.11328125,0.00390625,41.60814438072263
210,4.241359068304694,5.281072392354391,0.0859375,0.00390625,41.71966632954986
220,4.194144731137622,5.318459037304492,0.08984375,0.00390625,41.868146919299306
230,4.124406353871273,5.362404638225653,0.12109375,0.005859375,42.038348209297894
240,4.074624490871528,5.382546177150173,0.08203125,0.001953125,42.20008968780879
250,4.2157384101519995,5.420032752150059,0.03515625,0.001953125,42.37320254400032
260,4.050054571529456,5.444968778444797,0.10546875,0.0,42.53194235583974
270,3.978283374320057,5.473905811592205,0.08984375,0.005859375,42.718051629955156
280,4.01712469371522,5.520247302281079,0.11328125,0.00390625,42.924089988276236
290,3.947718023356595,5.552812761301292,0.140625,0.005859375,43.13780535524877
300,3.802170441791581,5.5655796097899985,0.1484375,0.0,43.341228020234105
310,3.889107595350389,5.605329124815305,0.1015625,0.00390625,43.55202217386898
320,3.7172488884713033,5.636016307268418,0.16015625,0.00390625,43.74488944821757
330,3.7417927551760464,5.667981656089141,0.1875,0.0,43.97373499586757
340,3.758891213669606,5.714472809343269,0.1640625,0.001953125,44.22300732512586
350,3.735663271455934,5.731727286905459,0.15625,0.001953125,44.463430393512795
360,3.586649889020812,5.760398728205307,0.1953125,0.00390625,44.70150652139436
370,3.671176522517338,5.77626410379935,0.16015625,0.0,44.96038872222287
