metric,bias,MAE,MRE,worst_MAE,bias_range,rho
MG,-0.015707709506423168,0.6311513005805102,0.19510378849102905,1.4297198001842244,2.1359194581933374,0.9245714285714286
LB,0.985913649157396,1.1369148847222479,0.3997633333490455,2.018767504873034,2.715049487219851,0.92
PR,-0.943584946150505,1.5296058376418755,0.4701357017473593,2.257046660178806,2.1979688173273937,0.24800000000000005
TwoNN,0.09891564830638153,0.7215344001275769,0.25452093837566503,1.8834019120519472,1.6918321174578292,0.7440000000000001
roughness,-2.5922792524500062,2.6129813175091634,0.6543723089501033,3.4053356942630004,1.8806632345648422,0.22971428571428576
