mode,true_dim,LB,MG,PR,TwoNN,roughness
quasiperiodic,4.0,5.735919762955399,4.18576976309691,2.630682944806692,4.849615142996865,0.9029667666841109
sync,1.0,1.5522964567395539,1.2211681533805205,1.9929210103211845,0.6581948312032929,0.8647460398506222
sync_phased,1.0,1.5522975429129817,1.2211893077540994,1.9936865480493406,0.6582291750279303,0.8649437027310792
scale_periodic,1.0,1.5523026661946235,1.2211785167750258,1.9918705637964622,0.6582176142872799,0.8644982918671219
scale_monotone,1.0,1.3296897701110297,1.3294476236461548,1.0000000001894849,1556.4255098680069,1.4161899569548797e-05
noise_smooth,4.0,3.1462532275673434,2.417018268983475,1.0504226338121578,5.536399277129476,0.03699953479644745
noise,inf,17.539642807624002,13.248277522589202,14.898176951517732,13.584114117179638,1.4214462482412284
