label,metric,bias,MAE,MRE,sd_seed,rho,factor,level
amp=0.02,LB,1.033850052712797,1.033850052712797,0.3825879819143962,0.20683497058379052,0.942857142857143,amp,0.02
amp=0.02,MG,-0.04101958552151974,0.5379422321136462,0.15957550856052946,0.13757299562222783,0.942857142857143,amp,0.02
amp=0.02,PR,-0.9768503860484005,1.5000774135656842,0.45892292682573427,0.10484317612086518,0.2,amp,0.02
amp=0.02,TwoNN,-0.056150440153771276,0.5701603328899737,0.18799832559411248,0.20201979158363226,0.7714285714285715,amp,0.02
amp=0.02,roughness,-2.5895028531055875,2.5895028531055875,0.6331727313522432,0.03272956036493393,0.2571428571428572,amp,0.02
amp=0.1,LB,1.0680300567442702,1.0680300567442702,0.3894577130364906,0.21032260813622528,0.942857142857143,amp,0.1
amp=0.1,MG,-0.012999929393645285,0.5214288831199411,0.15712596232024958,0.13957071667564724,0.942857142857143,amp,0.1
amp=0.1,PR,-0.975107329053838,1.499473906938338,0.45904247978289664,0.10498680489610195,0.2,amp,0.1
amp=0.1,TwoNN,-0.01739067001325086,0.5532239169645973,0.18563909811975843,0.21169779544985298,0.7714285714285715,amp,0.1
amp=0.1,roughness,-2.5891529442373047,2.5891529442373047,0.6330297324130433,0.03280753027771175,0.2571428571428572,amp,0.1
amp=0.5,LB,1.567360855122365,1.567360855122365,0.4889839014795147,0.25179356768558614,1.0,amp,0.5
amp=0.5,MG,0.3605258691163045,0.46557302335687467,0.15783360541553446,0.21837408281404394,1.0,amp,0.5
amp=0.5,PR,-0.9315323576861397,1.4844023781472568,0.46203533670406677,0.10845350047082669,0.2,amp,0.5
amp=0.5,TwoNN,0.46348472526310425,0.577411085921561,0.20132760375023193,0.3068147698500315,1.0,amp,0.5
amp=0.5,roughness,-2.5804771609393184,2.5804771609393184,0.629497640216544,0.034709444008059684,0.2571428571428572,amp,0.5
cycles=30.0,LB,-0.6962819823468172,1.1415056440638276,0.3284229123107698,0.07451245441710276,0.6571428571428573,cycles,30.0
cycles=30.0,MG,-1.3490426104625255,1.4297198001842244,0.3541180578454332,0.06458317937653418,0.6571428571428573,cycles,30.0
cycles=30.0,PR,-2.154196681790056,2.257046660178806,0.5573215719008532,0.026242264425798915,0.2571428571428572,cycles,30.0
cycles=30.0,TwoNN,-0.6429529109923382,1.4634660172773521,0.4814245031750177,0.14529297021327772,0.028571428571428574,cycles,30.0
cycles=30.0,roughness,-3.4053356942630004,3.4053356942630004,0.9619130336435466,0.00362197433854851,0.2571428571428572,cycles,30.0
cycles=100.0,LB,0.8327490621121442,1.1914136624307003,0.5048090565111268,0.15469895026996514,0.7142857142857143,cycles,100.0
cycles=100.0,MG,-0.21697474886081905,1.1319716527456123,0.3763519394219796,0.0975307675255182,0.7142857142857143,cycles,100.0
cycles=100.0,PR,-1.523311461169367,1.8261840915267886,0.5037566436905573,0.007524763222075807,0.4285714285714286,cycles,100.0
cycles=100.0,TwoNN,0.8951632175466505,1.8834019120519472,0.8087801442656427,1.0214507090057126,0.3142857142857143,cycles,100.0
cycles=100.0,roughness,-3.1856548326367036,3.1856548326367036,0.873501958867735,0.012074965689727829,0.2571428571428572,cycles,100.0
cycles=300.0,LB,1.0680300567442702,1.0680300567442702,0.3894577130364906,0.21032260813622528,0.942857142857143,cycles,300.0
cycles=300.0,MG,-0.012999929393645285,0.5214288831199411,0.15712596232024958,0.13957071667564724,0.942857142857143,cycles,300.0
cycles=300.0,PR,-0.975107329053838,1.499473906938338,0.45904247978289664,0.10498680489610195,0.2,cycles,300.0
cycles=300.0,TwoNN,-0.01739067001325086,0.5532239169645973,0.18563909811975843,0.21169779544985298,0.7714285714285715,cycles,300.0
cycles=300.0,roughness,-2.5891529442373047,2.5891529442373047,0.6330297324130433,0.03280753027771175,0.2571428571428572,cycles,300.0
cycles=1000.0,LB,0.7177854280376765,0.945990445190966,0.2988727058659439,0.15211313698268006,0.7714285714285715,cycles,1000.0
cycles=1000.0,MG,-0.1580079254145836,0.7995920153562545,0.24098199223802763,0.12494960959721675,0.7714285714285715,cycles,1000.0
cycles=1000.0,PR,-0.7161494826510889,1.4548223235943691,0.4560450594605774,0.12357916290840261,-0.028571428571428574,cycles,1000.0
cycles=1000.0,TwoNN,0.15825587518738674,1.1526908094041712,0.5126867545366813,0.1179450326986823,0.3714285714285715,cycles,1000.0
cycles=1000.0,roughness,-1.5246724596981582,1.8557796356283716,0.5223341990636604,0.003427650511395552,-0.4285714285714286,cycles,1000.0
snr=1000.0,LB,1.095434898451409,1.095434898451409,0.4167390943659564,0.21271478283949666,0.942857142857143,snr,1000.0
snr=1000.0,MG,0.033058622197768374,0.5674282759948103,0.20312047936539127,0.14038473785586103,0.942857142857143,snr,1000.0
