run,rho_last_half,p,end_over_prev,peak_step,peak_frac
grok,0.8887102729711521,0.0,1.0,14020,0.7013506753376688
grok_s1,,,1.0,3500,0.17508754377188596
grok_s2,,,1.0,3690,0.18459229614807404
lowdata15,-0.0723220705246179,0.022186496563787482,1.1371712864250179,60,0.0030015007503751876
lowdata20,0.29497580993793815,1.5863812724342581e-21,1.089460106873042,19230,0.9619809904952477
wd0,,,1.0,1020,0.05102551275637819
