H,delta,beta_rel,Q,delta_hold,disp_max,calib_hits,calib_n,calib_median_lead,strictness
900,0.2,0.05,600,0.2,0.12,5,8,300.0,2.916666666666667
900,0.2,0.1,300,0.1,0.06,2,8,120.0,3.166666666666667
900,0.2,0.1,300,0.1,0.08,3,8,285.0,2.8333333333333335
900,0.2,0.1,300,0.1,0.12,6,8,600.0,2.166666666666667
900,0.2,0.1,300,0.15,0.06,2,8,120.0,3.4166666666666665
900,0.2,0.1,300,0.15,0.08,3,8,285.0,3.083333333333333
900,0.2,0.1,300,0.15,0.12,6,8,600.0,2.4166666666666665
900,0.2,0.1,300,0.2,0.06,2,8,120.0,3.666666666666667
900,0.2,0.1,300,0.2,0.08,3,8,285.0,3.3333333333333335
900,0.2,0.1,300,0.2,0.12,6,8,600.0,2.666666666666667
900,0.2,0.1,600,0.1,0.06,1,8,-180.0,3.666666666666667
900,0.2,0.1,600,0.1,0.08,2,8,-15.0,3.3333333333333335
900,0.2,0.1,600,0.1,0.12,5,8,300.0,2.666666666666667
900,0.2,0.1,600,0.15,0.06,1,8,-180.0,3.916666666666667
900,0.2,0.1,600,0.15,0.08,2,8,-15.0,3.5833333333333335
900,0.2,0.1,600,0.15,0.12,5,8,300.0,2.916666666666667
900,0.2,0.1,600,0.2,0.06,1,8,-180.0,4.166666666666667
900,0.2,0.1,600,0.2,0.08,2,8,-15.0,3.8333333333333335
900,0.2,0.1,600,0.2,0.12,5,8,300.0,3.166666666666667
900,0.2,0.2,300,0.1,0.06,2,8,230.0,3.666666666666667
900,0.2,0.2,300,0.1,0.08,3,8,370.0,3.3333333333333335
900,0.2,0.2,300,0.1,0.12,5,8,600.0,2.666666666666667
900,0.2,0.2,300,0.15,0.06,2,8,230.0,3.916666666666667
900,0.2,0.2,300,0.15,0.08,3,8,370.0,3.5833333333333335
900,0.2,0.2,300,0.15,0.12,5,8,600.0,2.916666666666667
900,0.2,0.2,300,0.2,0.06,2,8,230.0,4.166666666666667
900,0.2,0.2,300,0.2,0.08,3,8,370.0,3.8333333333333335
900,0.2,0.2,300,0.2,0.12,5,8,600.0,3.166666666666667
900,0.2,0.2,600,0.1,0.06,1,8,-70.0,4.166666666666667
900,0.2,0.2,600,0.1,0.08,2,8,70.0,3.8333333333333335
900,0.2,0.2,600,0.1,0.12,4,8,300.0,3.166666666666667
900,0.2,0.2,600,0.15,0.06,1,8,-70.0,4.416666666666667
900,0.2,0.2,600,0.15,0.08,2,8,70.0,4.083333333333334
900,0.2,0.2,600,0.15,0.12,4,8,300.0,3.416666666666667
900,0.2,0.2,600,0.2,0.06,1,8,-70.0,4.666666666666667
900,0.2,0.2,600,0.2,0.08,2,8,70.0,4.333333333333334
900,0.2,0.2,600,0.2,0.12,4,8,300.0,3.666666666666667
900,0.25,0.05,300,0.1,0.06,2,8,100.0,3.0833333333333335
900,0.25,0.05,300,0.1,0.08,4,8,190.0,2.75
900,0.25,0.05,300,0.1,0.12,5,8,765.0,2.0833333333333335
900,0.25,0.05,300,0.15,0.06,2,8,100.0,3.3333333333333335
900,0.25,0.05,300,0.15,0.08,4,8,190.0,3.0
900,0.25,0.05,300,0.15,0.12,5,8,765.0,2.3333333333333335
900,0.25,0.05,300,0.2,0.06,2,8,100.0,3.5833333333333335
900,0.25,0.05,300,0.2,0.08,4,8,190.0,3.25
900,0.25,0.05,300,0.2,0.12,5,8,765.0,2.5833333333333335
900,0.25,0.05,600,0.1,0.06,0,8,-200.0,3.5833333333333335
900,0.25,0.05,600,0.1,0.08,2,8,-110.0,3.25
900,0.25,0.05,600,0.1,0.12,3,8,465.0,2.5833333333333335
900,0.25,0.05,600,0.15,0.06,0,8,-200.0,3.8333333333333335
900,0.25,0.05,600,0.15,0.08,2,8,-110.0,3.5
900,0.25,0.05,600,0.15,0.12,3,8,465.0,2.8333333333333335
900,0.25,0.05,600,0.2,0.06,0,8,-200.0,4.083333333333334
900,0.25,0.05,600,0.2,0.08,2,8,-110.0,3.75
900,0.25,0.05,600,0.2,0.12,3,8,465.0,3.0833333333333335
900,0.25,0.1,300,0.1,0.06,2,8,100.0,3.3333333333333335
900,0.25,0.1,300,0.1,0.08,3,8,145.0,3.0
900,0.25,0.1,300,0.1,0.12,5,8,765.0,2.3333333333333335
900,0.25,0.1,300,0.15,0.06,2,8,100.0,3.5833333333333335
900,0.25,0.1,300,0.15,0.08,3,8,145.0,3.25
900,0.25,0.1,300,0.15,0.12,5,8,765.0,2.5833333333333335
900,0.25,0.1,300,0.2,0.06,2,8,100.0,3.8333333333333335
900,0.25,0.1,300,0.2,0.08,3,8,145.0,3.5
900,0.25,0.1,300,0.2,0.12,5,8,765.0,2.8333333333333335
900,0.25,0.1,600,0.1,0.06,0,8,-200.0,3.8333333333333335
900,0.25,0.1,600,0.1,0.08,1,8,-155.0,3.5
900,0.25,0.1,600,0.1,0.12,3,8,465.0,2.8333333333333335
900,0.25,0.1,600,0.15,0.06,0,8,-200.0,4.083333333333334
900,0.25,0.1,600,0.15,0.08,1,8,-155.0,3.75
900,0.25,0.1,600,0.15,0.12,3,8,465.0,3.0833333333333335
900,0.25,0.1,600,0.2,0.06,0,8,-200.0,4.333333333333334
900,0.25,0.1,600,0.2,0.08,1,8,-155.0,4.0
900,0.25,0.1,600,0.2,0.12,3,8,465.0,3.3333333333333335
900,0.25,0.2,300,0.1,0.06,1,8,120.0,3.8333333333333335
900,0.25,0.2,300,0.1,0.08,2,8,760.0,3.5
900,0.25,0.2,300,0.1,0.12,3,8,1340.0,2.8333333333333335
900,0.25,0.2,300,0.15,0.06,1,8,120.0,4.083333333333334
900,0.25,0.2,300,0.15,0.08,2,8,760.0,3.75
900,0.25,0.2,300,0.15,0.12,3,8,1340.0,3.0833333333333335
900,0.25,0.2,300,0.2,0.06,1,8,120.0,4.333333333333334
900,0.25,0.2,300,0.2,0.08,2,8,760.0,4.0
900,0.25,0.2,300,0.2,0.12,3,8,1340.0,3.3333333333333335
900,0.25,0.2,600,0.1,0.06,0,8,-180.0,4.333333333333334
900,0.25,0.2,600,0.1,0.08,1,8,460.0,4.0
900,0.25,0.2,600,0.1,0.12,2,8,1040.0,3.3333333333333335
900,0.25,0.2,600,0.15,0.06,0,8,-180.0,4.583333333333334
900,0.25,0.2,600,0.15,0.08,1,8,460.0,4.25
900,0.25,0.2,600,0.15,0.12,2,8,1040.0,3.5833333333333335
900,0.25,0.2,600,0.2,0.06,0,8,-180.0,4.833333333333334
900,0.25,0.2,600,0.2,0.08,1,8,460.0,4.5
900,0.25,0.2,600,0.2,0.12,2,8,1040.0,3.8333333333333335
900,0.3,0.05,300,0.1,0.06,0,8,-165.0,3.25
900,0.3,0.05,300,0.1,0.08,1,8,-50.0,2.9166666666666665
900,0.3,0.05,300,0.1,0.12,2,8,575.0,2.25
900,0.3,0.05,300,0.15,0.06,0,8,-165.0,3.5
900,0.3,0.05,300,0.15,0.08,1,8,-50.0,3.1666666666666665
900,0.3,0.05,300,0.15,0.12,2,8,575.0,2.5
900,0.3,0.05,300,0.2,0.06,0,8,-165.0,3.75
900,0.3,0.05,300,0.2,0.08,1,8,-50.0,3.4166666666666665
900,0.3,0.05,300,0.2,0.12,2,8,575.0,2.75
900,0.3,0.05,600,0.1,0.06,0,8,-465.0,3.75
900,0.3,0.05,600,0.1,0.08,1,8,-350.0,3.4166666666666665
900,0.3,0.05,600,0.1,0.12,2,8,275.0,2.75
900,0.3,0.05,600,0.15,0.06,0,8,-465.0,4.0
900,0.3,0.05,600,0.15,0.08,1,8,-350.0,3.6666666666666665
900,0.3,0.05,600,0.15,0.12,2,8,275.0,3.0
900,0.3,0.05,600,0.2,0.06,0,8,-465.0,4.25
900,0.3,0.05,600,0.2,0.08,1,8,-350.0,3.9166666666666665
900,0.3,0.05,600,0.2,0.12,2,8,275.0,3.25
900,0.3,0.1,300,0.1,0.06,0,8,-165.0,3.5
900,0.3,0.1,300,0.1,0.08,1,8,-50.0,3.1666666666666665
900,0.3,0.1,300,0.1,0.12,2,8,575.0,2.5
900,0.3,0.1,300,0.15,0.06,0,8,-165.0,3.75
900,0.3,0.1,300,0.15,0.08,1,8,-50.0,3.4166666666666665
900,0.3,0.1,300,0.15,0.12,2,8,575.0,2.75
900,0.3,0.1,300,0.2,0.06,0,8,-165.0,4.0
900,0.3,0.1,300,0.2,0.08,1,8,-50.0,3.6666666666666665
900,0.3,0.1,300,0.2,0.12,2,8,575.0,3.0
900,0.3,0.1,600,0.1,0.06,0,8,-465.0,4.0
900,0.3,0.1,600,0.1,0.08,1,8,-350.0,3.6666666666666665
900,0.3,0.1,600,0.1,0.12,2,8,275.0,3.0
900,0.3,0.1,600,0.15,0.06,0,8,-465.0,4.25
900,0.3,0.1,600,0.15,0.08,1,8,-350.0,3.9166666666666665
900,0.3,0.1,600,0.15,0.12,2,8,275.0,3.25
900,0.3,0.1,600,0.2,0.06,0,8,-465.0,4.5
900,0.3,0.1,600,0.2,0.08,1,8,-350.0,4.166666666666667
900,0.3,0.1,600,0.2,0.12,2,8,275.0,3.5
900,0.3,0.2,300,0.1,0.06,0,8,,4.0
900,0.3,0.2,300,0.1,0.08,0,8,,3.6666666666666665
900,0.3,0.2,300,0.1,0.12,0,8,,3.0
900,0.3,0.2,300,0.15,0.06,0,8,,4.25
900,0.3,0.2,300,0.15,0.08,0,8,,3.9166666666666665
900,0.3,0.2,300,0.15,0.12,0,8,,3.25
900,0.3,0.2,300,0.2,0.06,0,8,,4.5
900,0.3,0.2,300,0.2,0.08,0,8,,4.166666666666667
900,0.3,0.2,300,0.2,0.12,0,8,,3.5
900,0.3,0.2,600,0.1,0.06,0,8,,4.5
900,0.3,0.2,600,0.1,0.08,0,8,,4.166666666666667
900,0.3,0.2,600,0.1,0.12,0,8,,3.5
900,0.3,0.2,600,0.15,0.06,0,8,,4.75
900,0.3,0.2,600,0.15,0.08,0,8,,4.416666666666667
900,0.3,0.2,600,0.15,0.12,0,8,,3.75
900,0.3,0.2,600,0.2,0.06,0,8,,5.0
900,0.3,0.2,600,0.2,0.08,0,8,,4.666666666666667
900,0.3,0.2,600,0.2,0.12,0,8,,4.0
