H,delta,beta_rel,Q,delta_hold,disp_max,calib_hits,calib_n,calib_median_lead,strictness
600,0.15,0.1,300,0.2,0.06,6,8,745.0,3.5
600,0.15,0.1,300,0.2,0.08,7,8,960.0,3.1666666666666665
600,0.15,0.1,300,0.2,0.12,7,8,960.0,2.5
600,0.15,0.1,600,0.1,0.06,5,8,445.0,3.5
600,0.15,0.1,600,0.1,0.08,6,8,660.0,3.1666666666666665
600,0.15,0.1,600,0.1,0.12,6,8,660.0,2.5
600,0.15,0.1,600,0.15,0.06,5,8,445.0,3.75
600,0.15,0.1,600,0.15,0.08,6,8,660.0,3.4166666666666665
600,0.15,0.1,600,0.15,0.12,6,8,660.0,2.75
600,0.15,0.1,600,0.2,0.06,5,8,445.0,4.0
600,0.15,0.1,600,0.2,0.08,6,8,660.0,3.6666666666666665
600,0.15,0.1,600,0.2,0.12,6,8,660.0,3.0
600,0.15,0.2,300,0.1,0.06,4,8,505.0,3.5
600,0.15,0.2,300,0.1,0.08,7,8,960.0,3.1666666666666665
600,0.15,0.2,300,0.1,0.12,7,8,960.0,2.5
600,0.15,0.2,300,0.15,0.06,4,8,505.0,3.75
600,0.15,0.2,300,0.15,0.08,7,8,960.0,3.4166666666666665
600,0.15,0.2,300,0.15,0.12,7,8,960.0,2.75
600,0.15,0.2,300,0.2,0.06,4,8,505.0,4.0
600,0.15,0.2,300,0.2,0.08,7,8,960.0,3.6666666666666665
600,0.15,0.2,300,0.2,0.12,7,8,960.0,3.0
600,0.15,0.2,600,0.1,0.06,3,8,205.0,4.0
600,0.15,0.2,600,0.1,0.08,6,8,660.0,3.6666666666666665
600,0.15,0.2,600,0.1,0.12,6,8,660.0,3.0
600,0.15,0.2,600,0.15,0.06,3,8,205.0,4.25
600,0.15,0.2,600,0.15,0.08,6,8,660.0,3.9166666666666665
600,0.15,0.2,600,0.15,0.12,6,8,660.0,3.25
600,0.15,0.2,600,0.2,0.06,3,8,205.0,4.5
600,0.15,0.2,600,0.2,0.08,6,8,660.0,4.166666666666667
600,0.15,0.2,600,0.2,0.12,6,8,660.0,3.5
600,0.2,0.05,300,0.1,0.06,6,8,470.0,2.916666666666667
600,0.2,0.05,300,0.1,0.08,7,8,510.0,2.5833333333333335
600,0.2,0.05,300,0.1,0.12,8,8,700.0,1.9166666666666667
600,0.2,0.05,300,0.15,0.06,6,8,470.0,3.1666666666666665
600,0.2,0.05,300,0.15,0.08,7,8,510.0,2.833333333333333
600,0.2,0.05,300,0.15,0.12,8,8,700.0,2.1666666666666665
600,0.2,0.05,300,0.2,0.06,5,8,510.0,3.416666666666667
600,0.2,0.05,300,0.2,0.08,6,8,1015.0,3.0833333333333335
600,0.2,0.05,300,0.2,0.12,7,8,890.0,2.416666666666667
600,0.2,0.05,600,0.1,0.06,4,8,170.0,3.416666666666667
600,0.2,0.05,600,0.1,0.08,5,8,210.0,3.0833333333333335
600,0.2,0.05,600,0.1,0.12,6,8,400.0,2.416666666666667
600,0.2,0.05,600,0.15,0.06,4,8,170.0,3.6666666666666665
600,0.2,0.05,600,0.15,0.08,5,8,210.0,3.333333333333333
600,0.2,0.05,600,0.15,0.12,6,8,400.0,2.6666666666666665
600,0.2,0.05,600,0.2,0.06,4,8,210.0,3.916666666666667
