right,MG,true_k
7999,2.195692102950955,2.0
11999,2.1970177641862634,2.0
15999,2.196034130939032,2.0
19999,2.1969306742367394,2.0
23999,2.1960232980437353,2.0
27999,3.78305091098312,13.0
31999,11.006272772516843,13.0
35999,11.132692168155248,13.0
39999,11.18781248761422,13.0
43999,11.13901990532321,13.0
47999,11.156798945818705,13.0
51999,9.093275925976739,5.0
55999,6.026467379304214,5.0
59999,6.019147747766973,5.0
63999,6.02007905037403,5.0
67999,6.028058460416745,5.0
71999,6.023495248302704,5.0
75999,10.69912530077406,18.0
79999,16.626299285676488,18.0
83999,16.778364404531256,18.0
87999,16.48851105717174,18.0
91999,16.577223137644378,18.0
95999,16.711042715309198,18.0
99999,13.565371701160421,9.0
103999,9.447663880487815,9.0
107999,9.493231201780997,9.0
111999,9.46846343493966,9.0
115999,9.48748863330583,9.0
119999,9.481977354205036,9.0
123999,13.701103853410585,20.0
127999,16.40144968798963,20.0
131999,16.40900876791018,20.0
135999,16.663280097172503,20.0
139999,16.477248994603897,20.0
143999,16.6271721840477,20.0
147999,8.829089019800882,4.0
151999,4.643659481121542,4.0
155999,4.6430949048221,4.0
159999,4.641249665870295,4.0
163999,4.640085699714192,4.0
167999,4.638716991432933,4.0
171999,8.763621633610718,16.0
175999,14.776702882795941,16.0
179999,14.80370885772967,16.0
183999,14.833314841882702,16.0
187999,14.69006394186387,16.0
191999,14.72005854645897,16.0
195999,12.27859673107362,7.0
199999,9.585605877723681,7.0
203999,9.590803674789509,7.0
207999,9.595327853691158,7.0
211999,9.58891184361572,7.0
215999,9.573412691842071,7.0
219999,1.841803765262874,1.0
223999,1.0328930395066958,1.0
227999,1.0328878152725791,1.0
231999,1.0328920184062562,1.0
235999,1.0328864306947951,1.0
239999,1.0328921139422873,1.0
243999,1.9414553627652136,14.0
247999,12.775154716724684,14.0
251999,12.607169580251195,14.0
255999,12.648069857433237,14.0
259999,12.78035317674724,14.0
263999,12.694680124811427,14.0
267999,11.757090811849991,10.0
271999,9.692446485175237,10.0
275999,9.698982143844836,10.0
279999,9.728643699433663,10.0
283999,9.717726891765833,10.0
287999,9.728532801216234,10.0
291999,13.535986601757257,19.0
295999,16.59201597781274,19.0
299999,16.939982674716493,19.0
303999,16.85198402958566,19.0
307999,16.656520827463755,19.0
311999,16.948817205401888,19.0
315999,10.85553723341041,6.0
319999,7.494943055809809,6.0
323999,7.49599657914901,6.0
327999,7.501300524339384,6.0
331999,7.506451566142038,6.0
335999,7.493912371389994,6.0
339999,8.849319853821878,12.0
343999,10.430293720898993,12.0
347999,10.382176115236454,12.0
351999,10.44837552963279,12.0
355999,10.403594414530353,12.0
359999,10.42198868128681,12.0
363999,5.8291529473307415,3.0
367999,3.26879605755479,3.0
371999,3.266193873469908,3.0
375999,3.264574475509704,3.0
379999,3.265317418848865,3.0
383999,3.2660193928081895,3.0
387999,6.398177828772731,17.0
391999,15.373119876124475,17.0
395999,15.081400920777055,17.0
399999,15.173481248481094,17.0
403999,15.404749622977643,17.0
407999,15.309381111791993,17.0
411999,12.07021008804307,8.0
415999,8.521535551395198,8.0
419999,8.50073725804676,8.0
423999,8.516717295176939,8.0
427999,8.49079819051219,8.0
431999,8.54193962615988,8.0
435999,11.702451113248518,15.0
439999,14.136256345124599,15.0
443999,14.103688944805638,15.0
447999,14.100613714820078,15.0
451999,14.239616630904521,15.0
455999,14.348860307746186,15.0
459999,12.495842897669142,11.0
463999,9.796744728975636,11.0
467999,9.791983113105026,11.0
471999,9.74875874256022,11.0
475999,9.812856811821572,11.0
479999,9.76715862584535,11.0
483999,3.7498848055266807,2.0
487999,2.195971172347623,2.0
491999,2.19617287845071,2.0
495999,2.1957955195194394,2.0
499999,2.196231975792386,2.0
503999,2.1957472272059304,2.0
