observer,rho_raw,mae_raw,rho_cal,mae_cal,max_error_cal,degenerate
c_norm,0.9478260869565216,2.321516503055198,0.9478260869565216,1.4062393177212025,5.1600864541296545,0.0
w_fro,0.9478260869565216,2.321516740911247,0.9478260869565216,1.4062527399304932,5.15992879961928,0.0
g_fro,0.9501976284584979,4.467125259674031,0.9501976284584979,1.532275167074321,5.918616586622456,0.0
g_proj,0.939262187088274,1.9370453312999096,0.939262187088274,1.5325222080677179,6.566150921332808,0.0
loss_full,0.9043478260869564,5.006962693090826,0.9043478260869564,1.9255651422867455,8.15221661481509,0.0
c_proj1,0.9094861660079051,2.557676318212865,0.9094861660079051,1.9498689202608417,6.5986413483344,0.0
fn_proj1,0.917786561264822,2.7979364367352555,0.917786561264822,2.019075023254245,11.154364672436579,0.0
fn_fro,0.9022397891963109,2.1935374452776917,0.9022397891963109,2.136012502531344,5.85519737646138,0.0
