tag,mode,observer,r,MG,LB,TwoNN,PRdelay,traj_pr,update_pr,degenerate
batch_proj,batch_proj,c_norm,1,26.13409899000034,28.001056608583344,31.460974510122718,38.95100319914713,1.0000009716070524,1.0000001845868187,0.0
batch_proj,batch_proj,c_norm,5,27.0623000028863,28.8040401986249,32.122923931209506,39.03170787712663,4.305964024272784,4.32627584126577,0.0
batch_proj,batch_proj,c_norm,10,27.158152406023028,28.951566052614456,35.91263082688287,38.32407896196944,5.859398462502106,5.843984152332842,0.0
batch_proj,batch_proj,c_norm,15,26.89360013640788,28.714530407959227,34.05860671373507,37.81720056323045,8.281366931190396,8.30436808278422,0.0
batch_proj,batch_proj,c_norm,20,25.889041664110167,27.862403466646217,33.40193944130571,36.745636114761645,9.811903104854462,9.815899847834046,0.0
batch_proj,batch_proj,c_proj1,1,26.491293637314588,28.3090836824088,31.315861165819122,38.958171124290786,1.0000009716070524,1.0000001845868187,0.0
batch_proj,batch_proj,c_proj1,5,27.20655316429341,28.925263725489547,33.34530098383858,37.31633468979752,4.305964024272784,4.32627584126577,0.0
batch_proj,batch_proj,c_proj1,10,26.30364545721483,28.115406505981596,34.35050097262327,38.79844037523812,5.859398462502106,5.843984152332842,0.0
batch_proj,batch_proj,c_proj1,15,27.576890782087254,29.507409407980898,34.3749057096243,38.282778194815926,8.281366931190396,8.30436808278422,0.0
batch_proj,batch_proj,c_proj1,20,26.841716871351615,28.5124360081106,32.76228241068304,37.17030993308782,9.811903104854462,9.815899847834046,0.0
batch_proj,batch_proj,fn_fro,1,26.515940985652893,28.326680258731066,31.379728023418767,38.957903105597325,1.0000009716070524,1.0000001845868187,0.0
batch_proj,batch_proj,fn_fro,5,27.256623958333176,29.000912583621023,32.8124654772126,38.87766049408469,4.305964024272784,4.32627584126577,0.0
batch_proj,batch_proj,fn_fro,10,26.493081749645278,28.293326559359187,34.167749891161854,38.90958281584132,5.859398462502106,5.843984152332842,0.0
batch_proj,batch_proj,fn_fro,15,26.77333198928333,28.53268118439999,32.40135733722266,38.357976947725085,8.281366931190396,8.30436808278422,0.0
batch_proj,batch_proj,fn_fro,20,26.477089143955276,28.301085323006557,33.247584676731556,38.24740516501559,9.811903104854462,9.815899847834046,0.0
batch_proj,batch_proj,fn_proj1,1,26.495939813775607,28.314163868791496,31.324180248448055,38.9583181257067,1.0000009716070524,1.0000001845868187,0.0
batch_proj,batch_proj,fn_proj1,5,26.838319549428682,28.677360648161994,34.05485824337489,38.404496494068475,4.305964024272784,4.32627584126577,0.0
batch_proj,batch_proj,fn_proj1,10,26.762046441263017,28.548003334264443,33.35563349718708,37.72508316840413,5.859398462502106,5.843984152332842,0.0
batch_proj,batch_proj,fn_proj1,15,27.01630335081184,28.824228695517686,33.01924253918819,38.58463515841269,8.281366931190396,8.30436808278422,0.0
batch_proj,batch_proj,fn_proj1,20,27.62017843572643,29.500313336913884,35.05688554459654,38.75411684528186,9.811903104854462,9.815899847834046,0.0
batch_proj,batch_proj,g_fro,1,24.51197588395137,25.915029218165934,27.445112895667837,39.42580341121343,1.0000009716070524,1.0000001845868187,0.0
batch_proj,batch_proj,g_fro,5,25.901002238591413,27.320650933549526,30.428687018588885,39.625599156345025,4.305964024272784,4.32627584126577,0.0
batch_proj,batch_proj,g_fro,10,25.075967205644606,26.539118885827303,29.27141328191888,39.26361306631965,5.859398462502106,5.843984152332842,0.0
batch_proj,batch_proj,g_fro,15,25.436157172591393,26.914659280927143,27.935650742089837,39.28901109197013,8.281366931190396,8.30436808278422,0.0
batch_proj,batch_proj,g_fro,20,25.63891025138566,27.19247811217399,30.154621610071825,39.21540739129313,9.811903104854462,9.815899847834046,0.0
batch_proj,batch_proj,g_proj,1,26.499364580488802,28.317083962610695,31.325137465523422,38.95822401485468,1.0000009716070524,1.0000001845868187,0.0
batch_proj,batch_proj,g_proj,5,27.370275418379006,29.260043480653554,34.848863852381186,38.56881430184463,4.305964024272784,4.32627584126577,0.0
batch_proj,batch_proj,g_proj,10,26.932934850628424,28.774269990965536,34.18634224958865,38.410597060111506,5.859398462502106,5.843984152332842,0.0
batch_proj,batch_proj,g_proj,15,26.979407087545887,28.80602386201052,34.70943997978678,38.128603881436696,8.281366931190396,8.30436808278422,0.0
batch_proj,batch_proj,g_proj,20,26.35592938735976,28.20660819081251,32.85789558324062,38.52479274513586,9.811903104854462,9.815899847834046,0.0
batch_proj,batch_proj,loss_full,1,17.897286508736098,19.305211372564372,19.720134411014488,39.35485878614107,1.0000009716070524,1.0000001845868187,0.0
batch_proj,batch_proj,loss_full,5,23.235624823847512,24.634928492836842,27.13141573677953,39.69885536387243,4.305964024272784,4.32627584126577,0.0
batch_proj,batch_proj,loss_full,10,21.979715463642822,23.46310063199134,25.290691312886597,39.32010215472322,5.859398462502106,5.843984152332842,0.0
batch_proj,batch_proj,loss_full,15,23.683646498462053,25.084801158443355,27.206392559703698,39.34491051549681,8.281366931190396,8.30436808278422,0.0
batch_proj,batch_proj,loss_full,20,23.96491180897198,25.458474116170635,27.477696337493697,39.140483218751996,9.811903104854462,9.815899847834046,0.0
batch_proj,batch_proj,w_fro,1,26.134091320215955,28.00104879486953,31.460969588133718,38.95100324998074,1.0000009716070524,1.0000001845868187,0.0
batch_proj,batch_proj,w_fro,5,27.062194090018362,28.803751125749493,32.12324898045221,39.03171233046843,4.305964024272784,4.32627584126577,0.0
batch_proj,batch_proj,w_fro,10,27.158184091623795,28.951657498359832,35.91295237399033,38.324091027219396,5.859398462502106,5.843984152332842,0.0
batch_proj,batch_proj,w_fro,15,26.893636786592502,28.714476147533436,34.05866585760216,37.81712558025635,8.281366931190396,8.30436808278422,0.0
batch_proj,batch_proj,w_fro,20,25.889187838215538,27.862473708495752,33.40182367030597,36.74561403237394,9.811903104854462,9.815899847834046,0.0
gd,gd,c_norm,1,29.06870248638886,29.726909335421507,148.21089108858317,1.0000841647085568,1.046302520381251,1.0377911225973142,0.0
gd,gd,c_norm,5,26.598119416984233,27.509010833091132,127.37958522951708,1.0594753714904734,1.0318268270255184,1.0105752234943077,0.0
gd,gd,c_norm,10,24.119823915223428,24.562667517371864,119.58410888679222,1.0001272829344088,1.0366907213452612,1.032369668901759,0.0
gd,gd,c_norm,15,29.431119761791983,29.92779513331033,113.9103861207105,1.000008843684988,1.0333178431152166,1.0543260347611039,0.0
gd,gd,c_norm,20,26.277389720920524,27.195172398482196,158.0130211849875,1.0003099691145567,1.0408677095139758,1.0180889872781642,0.0
gd,gd,c_proj1,1,28.238335259994784,28.66021736302256,114.90584525405745,1.000005711430474,1.046302520381251,1.0377911225973142,0.0
gd,gd,c_proj1,5,22.088120193018433,22.425430696634315,121.01553635522,1.0003448531101644,1.0318268270255184,1.0105752234943077,0.0
gd,gd,c_proj1,10,28.51622429239722,28.95637483288602,114.7378966444235,1.0000142882551162,1.0366907213452612,1.032369668901759,0.0
gd,gd,c_proj1,15,27.86042120507488,28.27678165468457,115.06425621577505,1.0000160091591979,1.0333178431152166,1.0543260347611039,0.0
gd,gd,c_proj1,20,22.12808485596544,23.156574715107375,124.24549727821959,1.0179626145993748,1.0408677095139758,1.0180889872781642,0.0
gd,gd,fn_fro,1,28.812414925531257,29.76857678481131,127.76729329879336,1.000611560885799,1.046302520381251,1.0377911225973142,0.0
gd,gd,fn_fro,5,27.866083787142117,28.74980228266996,118.78230117708912,1.000594360994144,1.0318268270255184,1.0105752234943077,0.0
gd,gd,fn_fro,10,27.2900644470036,27.78166748471012,115.77237892953318,1.0000530995988681,1.0366907213452612,1.032369668901759,0.0
gd,gd,fn_fro,15,29.07973151810956,29.549290910168928,114.15498058153153,1.0000232401921305,1.0333178431152166,1.0543260347611039,0.0
gd,gd,fn_fro,20,25.237866051428863,25.87167576725569,130.43069831126,1.0003085295741525,1.0408677095139758,1.0180889872781642,0.0
gd,gd,fn_proj1,1,28.653076918789115,29.11567968485741,118.53726245775532,1.0000342340615542,1.046302520381251,1.0377911225973142,0.0
gd,gd,fn_proj1,5,21.817961462024584,22.71194511737193,123.375281177773,1.0354161691375259,1.0318268270255184,1.0105752234943077,0.0
gd,gd,fn_proj1,10,24.277336941173484,24.6886273441403,117.1147074814578,1.0000135578509832,1.0366907213452612,1.032369668901759,0.0
gd,gd,fn_proj1,15,28.19622009011877,28.620601138187467,115.11678442022,1.0000165480448544,1.0333178431152166,1.0543260347611039,0.0
gd,gd,fn_proj1,20,27.0261620590966,27.46995132988001,128.9458850934775,1.0001953588592563,1.0408677095139758,1.0180889872781642,0.0
gd,gd,g_fro,1,27.23185652769269,27.61358757995344,115.59861943017714,1.000036820881777,1.046302520381251,1.0377911225973142,0.0
gd,gd,g_fro,5,27.432182499980325,27.795487743158482,115.54137867759414,1.0000098441138168,1.0318268270255184,1.0105752234943077,0.0
gd,gd,g_fro,10,28.352379803833998,28.785267950592505,115.07803676305787,1.0000197194452336,1.0366907213452612,1.032369668901759,0.0
gd,gd,g_fro,15,28.4687479395991,28.911862235962293,114.94825752607665,1.0000286370610345,1.0333178431152166,1.0543260347611039,0.0
gd,gd,g_fro,20,27.24115875764965,27.622024407659268,115.57852554201847,1.0000359413644522,1.0408677095139758,1.0180889872781642,0.0
gd,gd,g_proj,1,27.150946675140766,27.507886971293146,115.60849077225473,1.0000140499676122,1.046302520381251,1.0377911225973142,0.0
gd,gd,g_proj,5,28.628627899624327,29.119942924789306,114.92114537291462,1.0000685116711923,1.0318268270255184,1.0105752234943077,0.0
gd,gd,g_proj,10,28.173248494821692,29.0991967945659,130.4920374390842,1.0005615487913544,1.0366907213452612,1.032369668901759,0.0
gd,gd,g_proj,15,26.0725727227691,26.400523612370222,116.15183228190065,1.0000317292152268,1.0333178431152166,1.0543260347611039,0.0
gd,gd,g_proj,20,21.115168460957612,21.737572558777554,121.99726629930223,1.0028105287940994,1.0408677095139758,1.0180889872781642,0.0
gd,gd,loss_full,1,25.365448779106327,25.761030004762063,116.61284783584304,1.0000929830859309,1.046302520381251,1.0377911225973142,0.0
gd,gd,loss_full,5,23.92470953585614,24.19694053628819,117.14860426245102,1.0000457978583333,1.0318268270255184,1.0105752234943077,0.0
gd,gd,loss_full,10,26.924937813821522,27.296498791616166,115.7755367546578,1.0000500661432605,1.0366907213452612,1.032369668901759,0.0
gd,gd,loss_full,15,27.218678824163597,27.603115566484984,115.609315065078,1.0000423881809293,1.0333178431152166,1.0543260347611039,0.0
gd,gd,loss_full,20,24.67601517050913,24.976425628671564,116.90140403265964,1.000050567794272,1.0408677095139758,1.0180889872781642,0.0
gd,gd,w_fro,1,29.06819923873818,29.72641902091877,148.28920147203786,1.0000841496591195,1.046302520381251,1.0377911225973142,0.0
gd,gd,w_fro,5,26.59837266341848,27.50930269205457,127.37959869444455,1.0594779346299845,1.0318268270255184,1.0105752234943077,0.0
gd,gd,w_fro,10,24.1167582284057,24.559138725594455,119.58495031244433,1.0001272371379062,1.0366907213452612,1.032369668901759,0.0
gd,gd,w_fro,15,29.418119421254257,29.91370187971374,113.9145123842853,1.0000089174567857,1.0333178431152166,1.0543260347611039,0.0
gd,gd,w_fro,20,26.272338025229562,27.192245207198575,158.15134624864035,1.000310446647521,1.0408677095139758,1.0180889872781642,0.0
noise,noise,c_norm,1,26.244563419193504,27.891671130631533,31.401091130672167,38.70713855062146,1.0000067536167179,1.0000011122300314,0.0
noise,noise,c_norm,5,26.447995993362124,28.24081556480794,33.68427216277321,37.14214068039505,4.97110510067501,4.9983337306409155,0.0
noise,noise,c_norm,10,27.364123440619586,29.02020164388027,33.840417916254296,38.905628843477054,9.935263987428929,9.991459715257792,0.0
noise,noise,c_norm,15,26.980143367458226,28.781250883423635,33.85710131017747,38.384023855294856,14.838593486498635,14.974921937174773,0.0
noise,noise,c_norm,20,26.76457297525226,28.741100229642935,33.93367824844238,38.38053788209422,19.715679423441888,19.952096601635617,0.0
noise,noise,c_proj1,1,25.674504202246528,27.510367955539323,32.352333099298555,38.69108357682911,1.0000067536167179,1.0000011122300314,0.0
noise,noise,c_proj1,5,26.51332497741668,28.352293658806605,33.815446359091546,37.730108549402814,4.97110510067501,4.9983337306409155,0.0
noise,noise,c_proj1,10,26.764202527208024,28.58877303148802,32.60228768660921,38.582416572558124,9.935263987428929,9.991459715257792,0.0
noise,noise,c_proj1,15,27.74560458964237,29.427020505945954,33.50014007858208,38.64019656763572,14.838593486498635,14.974921937174773,0.0
