file,cfg_id,tag,mode,r,seed,observer,available,functional_rank,functional_pr,traj_rank,traj_pr,update_pr,n_windows,frac_degenerate,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd,tau_used,theiler_used
qp_r01_s00.npz,3,qp,qp,1,0,w_fro,20,20.0,15.576718662940696,3.0,1.0000026984198347,1.0000098232421608,1,0.0,1.1431612339056254,0.0,1.1457150557551283,0.0,2.2976340003149653,0.0,1.9946151273179344,0.0,1.013661767137279,0.0,1.0631404794950619,0.0,1.9182859046808145,0.0,2.447889149677268,0.0,0.5607418859580915,0.0,3.0,0.0,16.0,150.0
qp_r01_s00.npz,3,qp,qp,1,0,c_norm,20,20.0,15.576718662940696,3.0,1.0000026984198347,1.0000098232421608,1,0.0,1.143161234158716,0.0,1.1457150559856488,0.0,2.2976340009496177,0.0,1.9946131811696326,0.0,1.0136607880249133,0.0,1.0631394498352431,0.0,1.9182840431232846,0.0,2.4478867780578546,0.0,0.560741520569108,0.0,3.0,0.0,16.0,150.0
qp_r01_s00.npz,3,qp,qp,1,0,g_fro,20,20.0,15.576718662940696,3.0,1.0000026984198347,1.0000098232421608,1,0.0,1.1444000136628636,0.0,1.1469267204365003,0.0,2.300605039000596,0.0,2.349592186690217,0.0,1.1921885466942577,0.0,1.2035805001290976,0.0,1.4700236728039855,0.0,1.6148527627876712,0.0,1.1097974855932833,0.0,2.0,0.0,16.0,150.0
qp_r01_s00.npz,3,qp,qp,1,0,g_proj,20,20.0,15.576718662940696,3.0,1.0000026984198347,1.0000098232421608,1,0.0,1.1431612571760006,0.0,1.1457150769442455,0.0,2.2976338293750778,0.0,1.9908499755324762,0.0,1.0117851488752807,0.0,1.061163094343073,0.0,1.9147037021818947,0.0,2.443329505948284,0.0,0.5600330131924234,0.0,3.0,0.0,16.0,150.0
qp_r01_s00.npz,3,qp,qp,1,0,c_proj1,20,20.0,15.576718662940696,3.0,1.0000026984198347,1.0000098232421608,1,0.0,1.1431611809976445,0.0,1.1457150077078055,0.0,2.2976333826430517,0.0,1.9912759278597736,0.0,1.0120106717077555,0.0,1.0613984379515988,0.0,1.9151262437226366,0.0,2.4438702114052107,0.0,0.56011290522212,0.0,3.0,0.0,16.0,150.0
qp_r01_s00.npz,3,qp,qp,1,0,fn_fro,20,20.0,15.576718662940696,3.0,1.0000026984198347,1.0000098232421608,1,0.0,1.1431612629221215,0.0,1.145715082276997,0.0,2.297634022726352,0.0,1.9935374234761647,0.0,1.0131197264907303,0.0,1.06257032819069,0.0,1.9172548398778777,0.0,2.446575673023634,0.0,0.5605392237098807,0.0,3.0,0.0,16.0,150.0
qp_r01_s00.npz,3,qp,qp,1,0,fn_proj1,20,20.0,15.576718662940696,3.0,1.0000026984198347,1.0000098232421608,1,0.0,1.1431612783427572,0.0,1.145715096773923,0.0,2.297633633540253,0.0,1.990781498275182,0.0,1.0117452638309854,0.0,1.0611222277382144,0.0,1.9146315933424722,0.0,2.4432363141452633,0.0,0.5600195559226118,0.0,3.0,0.0,16.0,150.0
qp_r01_s00.npz,3,qp,qp,1,0,loss_full,20,20.0,15.576718662940696,3.0,1.0000026984198347,1.0000098232421608,1,0.0,1.1431550361895038,0.0,1.1457101429795382,0.0,2.2975908517357597,0.0,2.2333482921281926,0.0,1.1313090012682483,0.0,1.1410389557367138,0.0,1.3950160463898726,0.0,1.5324275623586472,0.0,1.0533729517194776,0.0,2.0,0.0,16.0,150.0
qp_r01_s01.npz,3,qp,qp,1,1,w_fro,20,20.0,16.754789462809946,3.0,1.0000019673200604,1.0000071192662474,1,0.0,0.2731852387268811,0.0,0.27382765876117116,0.0,3.1463501323521923,0.0,1.9993331217134576,0.0,1.0132032142460894,0.0,1.2287265963509322,0.0,1.3074204289368108,0.0,2.9895626416463026,0.0,0.5577189794058565,0.0,3.0,0.0,16.0,150.0
qp_r01_s01.npz,3,qp,qp,1,1,c_norm,20,20.0,16.754789462809946,3.0,1.0000019673200604,1.0000071192662474,1,0.0,0.2731852387487653,0.0,0.27382765878150983,0.0,3.1463501693732825,0.0,1.9993338665581097,0.0,1.0132034404114505,0.0,1.2287268735226258,0.0,1.3074207224810865,0.0,2.989563309795598,0.0,0.5577191293373109,0.0,3.0,0.0,16.0,150.0
qp_r01_s01.npz,3,qp,qp,1,1,g_fro,20,20.0,16.754789462809946,3.0,1.0000019673200604,1.0000071192662474,1,0.0,0.27329626219508873,0.0,0.2739370476467186,0.0,3.1485345823392237,0.0,2.4673986224027065,0.0,1.2362908374409591,0.0,1.23715117017785,0.0,1.2380061500756052,0.0,1.2441339183668265,0.0,1.096980379718403,0.0,2.0,0.0,16.0,150.0
qp_r01_s01.npz,3,qp,qp,1,1,g_proj,20,20.0,16.754789462809946,3.0,1.0000019673200604,1.0000071192662474,1,0.0,0.2731852259431499,0.0,0.2738276463703425,0.0,3.146351226840064,0.0,1.9994293023875482,0.0,1.0132455000889675,0.0,1.228777720781385,0.0,1.3074749399152668,0.0,2.9896874720000355,0.0,0.5577377065672756,0.0,3.0,0.0,16.0,150.0
qp_r01_s01.npz,3,qp,qp,1,1,c_proj1,20,20.0,16.754789462809946,3.0,1.0000019673200604,1.0000071192662474,1,0.0,0.2731852397917805,0.0,0.27382765976290824,0.0,3.146351475600041,0.0,1.999394128019816,0.0,1.0132290847673027,0.0,1.228757910914575,0.0,1.307453798143958,0.0,2.9896390175166854,0.0,0.5577308679560519,0.0,3.0,0.0,16.0,150.0
qp_r01_s01.npz,3,qp,qp,1,1,fn_fro,20,20.0,16.754789462809946,3.0,1.0000019673200604,1.0000071192662474,1,0.0,0.27318523883623724,0.0,0.2738276588513327,0.0,3.1463492254042085,0.0,1.9993721592619857,0.0,1.013226269783437,0.0,1.22875461996657,0.0,1.3074501991420941,0.0,2.989630611173522,0.0,0.5577260199930917,0.0,3.0,0.0,16.0,150.0
qp_r01_s01.npz,3,qp,qp,1,1,fn_proj1,20,20.0,16.754789462809946,3.0,1.0000019673200604,1.0000071192662474,1,0.0,0.27318523894433094,0.0,0.27382765895518907,0.0,3.146350076856249,0.0,1.9993510008034325,0.0,1.013212148454745,0.0,1.2287365322392312,0.0,1.3074315539658177,0.0,2.9895891614010917,0.0,0.5577223488371017,0.0,3.0,0.0,16.0,150.0
qp_r01_s01.npz,3,qp,qp,1,1,loss_full,20,20.0,16.754789462809946,3.0,1.0000019673200604,1.0000071192662474,1,0.0,0.2731878190610471,0.0,0.27383006066089566,0.0,3.1459160239569046,0.0,2.409015995495705,0.0,1.2070138240501234,0.0,1.2093051967352995,0.0,1.2104984269768144,0.0,1.2202151504977705,0.0,1.0341659404940529,0.0,2.0,0.0,16.0,150.0
qp_r01_s02.npz,3,qp,qp,1,2,w_fro,20,20.0,16.140202643833927,3.0,1.000001130075951,1.0000041478303703,1,0.0,1.1000512427366882,0.0,1.1019278262278054,0.0,1.1112462361125888,0.0,1.9914907630269647,0.0,1.0031299350809768,0.0,1.0150866492851063,0.0,1.1212382210890435,0.0,1.183399185966629,0.0,0.5601709050825869,0.0,3.0,0.0,16.0,150.0
qp_r01_s02.npz,3,qp,qp,1,2,c_norm,20,20.0,16.140202643833927,3.0,1.000001130075951,1.0000041478303703,1,0.0,1.100051241963397,0.0,1.1019278253160323,0.0,1.1112462361149602,0.0,1.9914902580005225,0.0,1.0031296151199889,0.0,1.0150863032335897,0.0,1.1212378078662002,0.0,1.1833987829893957,0.0,0.5601708539502033,0.0,3.0,0.0,16.0,150.0
qp_r01_s02.npz,3,qp,qp,1,2,g_fro,20,20.0,16.140202643833927,3.0,1.000001130075951,1.0000041478303703,1,0.0,1.1006423128107004,0.0,1.1024516137187674,0.0,1.1114672772522929,0.0,2.3003749290737994,0.0,1.1757888935458252,0.0,1.1957846135051247,0.0,1.837797963505452,0.0,2.197829148407637,0.0,1.1138253667239895,0.0,2.0,0.0,16.0,150.0
qp_r01_s02.npz,3,qp,qp,1,2,g_proj,20,20.0,16.140202643833927,3.0,1.000001130075951,1.0000041478303703,1,0.0,1.1000512395364734,0.0,1.1019278199195262,0.0,1.111246235502684,0.0,1.9915680229349175,0.0,1.0031663258959385,0.0,1.0151224539441648,0.0,1.1212763683023175,0.0,1.1834409435898683,0.0,0.560187204546714,0.0,3.0,0.0,16.0,150.0
qp_r01_s02.npz,3,qp,qp,1,2,c_proj1,20,20.0,16.140202643833927,3.0,1.000001130075951,1.0000041478303703,1,0.0,1.1000512451494853,0.0,1.10192782663272,0.0,1.1112462380236645,0.0,1.9915245504878374,0.0,1.0031453451423074,0.0,1.0151016575086655,0.0,1.1212539881309695,0.0,1.1834166939203712,0.0,0.5601783852251317,0.0,3.0,0.0,16.0,150.0
qp_r01_s02.npz,3,qp,qp,1,2,fn_fro,20,20.0,16.140202643833927,3.0,1.000001130075951,1.0000041478303703,1,0.0,1.1000512405873943,0.0,1.101927823705426,0.0,1.1112462356868524,0.0,1.9914904662453266,0.0,1.003129511331425,0.0,1.0150861264382582,0.0,1.1212375128310788,0.0,1.183398578337809,0.0,0.560171032616359,0.0,3.0,0.0,16.0,150.0
qp_r01_s02.npz,3,qp,qp,1,2,fn_proj1,20,20.0,16.140202643833927,3.0,1.000001130075951,1.0000041478303703,1,0.0,1.1000512474899058,0.0,1.1019278293045438,0.0,1.1112462399258067,0.0,1.9915167335507649,0.0,1.0031418739677567,0.0,1.0150983768844046,0.0,1.1212506789060126,0.0,1.1834128673438513,0.0,0.5601766222226219,0.0,3.0,0.0,16.0,150.0
qp_r01_s02.npz,3,qp,qp,1,2,loss_full,20,20.0,16.140202643833927,3.0,1.000001130075951,1.0000041478303703,1,0.0,1.1000594954380738,0.0,1.1019362233667813,0.0,1.111246121766244,0.0,2.1521764279475066,0.0,1.0994085775123386,0.0,1.1173366885360678,0.0,1.7176951294220089,0.0,2.0525837947859085,0.0,1.0608609275485872,0.0,2.0,0.0,16.0,150.0
qp_r02_s00.npz,3,qp,qp,2,0,w_fro,20,20.0,15.576718662940696,9.0,2.0000309727236347,1.5686332069239697,1,0.0,2.3460176311551746,0.0,2.356331149351464,0.0,4.073126523030655,0.0,2.0006843173067352,0.0,1.0158131110818396,0.0,1.0736771104410157,0.0,2.18494698564473,0.0,2.9361973481240407,0.0,0.41805257431304405,0.0,3.0,0.0,16.0,150.0
qp_r02_s00.npz,3,qp,qp,2,0,c_norm,20,20.0,15.576718662940696,9.0,2.0000309727236347,1.5686332069239697,1,0.0,2.3460177828994744,0.0,2.356331269378398,0.0,4.0731287773955005,0.0,2.000683721331816,0.0,1.0158128164649896,0.0,1.0736767986673215,0.0,2.18494635150112,0.0,2.9361964962994267,0.0,0.41805248703359854,0.0,3.0,0.0,16.0,150.0
qp_r02_s00.npz,3,qp,qp,2,0,g_fro,20,20.0,15.576718662940696,9.0,2.0000309727236347,1.5686332069239697,1,0.0,1.998363507386953,0.0,2.0430780425859556,0.0,4.2542135680992725,0.0,6.23145250264947,0.0,3.2618252934654275,0.0,3.2766923885329717,0.0,3.348897314290029,0.0,3.511488427951508,0.0,1.167644702755299,0.0,1.0,0.0,16.0,150.0
qp_r02_s00.npz,3,qp,qp,2,0,g_proj,20,20.0,15.576718662940696,9.0,2.0000309727236347,1.5686332069239697,1,0.0,2.3870719132394633,0.0,2.411165749548129,0.0,14.436626277819736,0.0,2.2390181215046674,0.0,1.1414768666222144,0.0,1.2062566983421419,0.0,2.444100390810292,0.0,3.275017533171751,0.0,0.4438721925350765,0.0,3.0,0.0,16.0,150.0
qp_r02_s00.npz,3,qp,qp,2,0,c_proj1,20,20.0,15.576718662940696,9.0,2.0000309727236347,1.5686332069239697,1,0.0,1.8647158898870897,0.0,1.9171123974980395,0.0,2.505038630366018,0.0,2.504873309851405,0.0,1.2634063272579814,0.0,1.2651266459499322,0.0,1.2779691394329797,0.0,1.286973523055197,0.0,0.7163435143560011,0.0,2.0,0.0,16.0,150.0
qp_r02_s00.npz,3,qp,qp,2,0,fn_fro,20,20.0,15.576718662940696,9.0,2.0000309727236347,1.5686332069239697,1,0.0,1.8733443395177019,0.0,1.929693599268765,0.0,2.504704512625011,0.0,2.5481268003878172,0.0,1.2862381003240055,0.0,1.28819044792645,0.0,1.3031973513232133,0.0,1.3128483133238535,0.0,0.7140059560774873,0.0,2.0,0.0,16.0,150.0
qp_r02_s00.npz,3,qp,qp,2,0,fn_proj1,20,20.0,15.576718662940696,9.0,2.0000309727236347,1.5686332069239697,1,0.0,1.990611440465643,0.0,2.0195897958893436,0.0,2.5104122361019607,0.0,2.1676429156944628,0.0,1.086990804218052,0.0,1.0875639077492851,0.0,1.0904213327851564,0.0,1.096085451763481,0.0,0.7365601195290278,0.0,2.0,0.0,16.0,150.0
qp_r02_s00.npz,3,qp,qp,2,0,loss_full,20,20.0,15.576718662940696,9.0,2.0000309727236347,1.5686332069239697,1,0.0,2.0101808478651395,0.0,2.051156933881034,0.0,5.667403496508851,0.0,4.890485366050881,0.0,2.5113686636291614,0.0,2.5164554254301357,0.0,2.549243334252578,0.0,2.5862445402519425,0.0,1.1533556740133004,0.0,1.0,0.0,16.0,150.0
