run,t_memorise,t_grok,final_val_acc,final_train_acc,diverged_at,n_rows
g_p1,7470,12290.0,1.0,1.0,,
g_p1x,10140,,0.01381509032943677,1.0,,
g_p2,6470,7680.0,1.0,1.0,,
g_p2x,9730,,0.02146652497343252,0.9997874149659864,,
g_p3,5970,6600.0,1.0,1.0,,
g_p3x,9420,,0.7353878852284803,1.0,,
