r,seed,observer,MG,traj_pr,degenerate
2,0,w_fro,2.360887756800611,2.000017822604296,False
2,0,c_norm,2.3608941503941643,2.000017822604296,False
2,0,g_fro,2.4288362134709494,2.000017822604296,False
2,0,g_proj,2.3313209730745603,2.000017822604296,False
2,0,c_proj1,2.241636051973393,2.000017822604296,False
2,0,fn_fro,2.2941231461333915,2.000017822604296,False
2,0,fn_proj1,2.213993509893235,2.000017822604296,False
2,0,loss_full,2.516838805544632,2.000017822604296,False
2,1,w_fro,2.3539035670382114,2.000012726082192,False
2,1,c_norm,2.353870341602972,2.000012726082192,False
2,1,g_fro,2.4336580753182284,2.000012726082192,False
2,1,g_proj,2.355318041213934,2.000012726082192,False
2,1,c_proj1,2.3627562708419734,2.000012726082192,False
2,1,fn_fro,2.310419129433056,2.000012726082192,False
2,1,fn_proj1,2.3277186323458805,2.000012726082192,False
2,1,loss_full,2.4157791751540487,2.000012726082192,False
2,2,w_fro,2.143223743936643,2.000010801058749,False
2,2,c_norm,2.143224757261752,2.000010801058749,False
2,2,g_fro,2.628031961405045,2.000010801058749,False
2,2,g_proj,2.2341878649637024,2.000010801058749,False
2,2,c_proj1,2.1585886809176236,2.000010801058749,False
2,2,fn_fro,2.2374636605202234,2.000010801058749,False
2,2,fn_proj1,2.3574477228145785,2.000010801058749,False
2,2,loss_full,3.2598697090632496,2.000010801058749,False
4,0,w_fro,4.096240539698141,4.0001789325339905,False
4,0,c_norm,4.096259846860681,4.0001789325339905,False
4,0,g_fro,6.85253854166652,4.0001789325339905,False
4,0,g_proj,3.8870897854603745,4.0001789325339905,False
4,0,c_proj1,4.288451486700573,4.0001789325339905,False
4,0,fn_fro,4.423391415509927,4.0001789325339905,False
4,0,fn_proj1,2.826268541138426,4.0001789325339905,False
4,0,loss_full,6.7381090250282005,4.0001789325339905,False
4,1,w_fro,3.963090855286169,3.999814701559928,False
4,1,c_norm,3.9630883504559336,3.999814701559928,False
4,1,g_fro,5.627111761720227,3.999814701559928,False
4,1,g_proj,4.230898006914701,3.999814701559928,False
4,1,c_proj1,4.053277988363692,3.999814701559928,False
4,1,fn_fro,4.851130117797472,3.999814701559928,False
4,1,fn_proj1,4.618900063994266,3.999814701559928,False
4,1,loss_full,5.698283681253967,3.999814701559928,False
4,2,w_fro,5.508378430313973,3.999991763594722,False
4,2,c_norm,5.5083263874482356,3.999991763594722,False
4,2,g_fro,7.107309726409026,3.999991763594722,False
4,2,g_proj,2.7225002746023432,3.999991763594722,False
4,2,c_proj1,4.391058245714048,3.999991763594722,False
4,2,fn_fro,4.349405148742601,3.999991763594722,False
4,2,fn_proj1,4.82714734631917,3.999991763594722,False
4,2,loss_full,6.830908909407159,3.999991763594722,False
6,0,w_fro,6.815878491410552,6.000207597328467,False
6,0,c_norm,6.81583411348563,6.000207597328467,False
6,0,g_fro,7.833741700566329,6.000207597328467,False
6,0,g_proj,4.424675253230596,6.000207597328467,False
6,0,c_proj1,5.121264289750409,6.000207597328467,False
6,0,fn_fro,6.957541684543578,6.000207597328467,False
6,0,fn_proj1,5.090963770612886,6.000207597328467,False
6,0,loss_full,10.125099238624054,6.000207597328467,False
6,1,w_fro,5.1353755287909735,6.000055660727898,False
6,1,c_norm,5.135403730714741,6.000055660727898,False
6,1,g_fro,13.493708909003113,6.000055660727898,False
6,1,g_proj,4.593055802237908,6.000055660727898,False
6,1,c_proj1,4.155655029463517,6.000055660727898,False
6,1,fn_fro,6.198720119902779,6.000055660727898,False
6,1,fn_proj1,6.11904611392264,6.000055660727898,False
6,1,loss_full,12.297682097343976,6.000055660727898,False
6,2,w_fro,7.567717023389179,6.000056396531475,False
6,2,c_norm,7.567742507428589,6.000056396531475,False
6,2,g_fro,10.59733572982978,6.000056396531475,False
6,2,g_proj,5.387110340567769,6.000056396531475,False
6,2,c_proj1,6.1101300556417355,6.000056396531475,False
6,2,fn_fro,8.317395750600317,6.000056396531475,False
6,2,fn_proj1,6.508369811670515,6.000056396531475,False
6,2,loss_full,10.738144742712874,6.000056396531475,False
8,0,w_fro,5.537187611100451,8.000161351956537,False
8,0,c_norm,5.53719756991099,8.000161351956537,False
8,0,g_fro,12.438969368878116,8.000161351956537,False
8,0,g_proj,5.669125897269936,8.000161351956537,False
8,0,c_proj1,5.199798319175435,8.000161351956537,False
8,0,fn_fro,4.835998278723373,8.000161351956537,False
8,0,fn_proj1,7.591685903513795,8.000161351956537,False
8,0,loss_full,12.966155525160856,8.000161351956537,False
8,1,w_fro,5.815641940200668,8.000136936244578,False
8,1,c_norm,5.815650059888569,8.000136936244578,False
8,1,g_fro,14.922377886609821,8.000136936244578,False
8,1,g_proj,7.425099051364164,8.000136936244578,False
8,1,c_proj1,7.261852515935921,8.000136936244578,False
8,1,fn_fro,7.763246763474772,8.000136936244578,False
8,1,fn_proj1,7.500086450676039,8.000136936244578,False
8,1,loss_full,17.371218204585485,8.000136936244578,False
8,2,w_fro,7.64875701878454,8.000001534160932,False
8,2,c_norm,7.648787061425064,8.000001534160932,False
8,2,g_fro,14.870627123888275,8.000001534160932,False
8,2,g_proj,6.420301404740857,8.000001534160932,False
8,2,c_proj1,7.131939312911835,8.000001534160932,False
8,2,fn_fro,5.690137979328023,8.000001534160932,False
8,2,fn_proj1,7.33482121610394,8.000001534160932,False
8,2,loss_full,14.492607024359542,8.000001534160932,False
10,0,w_fro,6.872951605241385,9.999453572859295,False
10,0,c_norm,6.872970447974619,9.999453572859295,False
10,0,g_fro,14.814960966660676,9.999453572859295,False
10,0,g_proj,6.786432640299786,9.999453572859295,False
10,0,c_proj1,8.81834486426636,9.999453572859295,False
10,0,fn_fro,6.968258660816962,9.999453572859295,False
10,0,fn_proj1,6.489551478208636,9.999453572859295,False
10,0,loss_full,18.28222613046789,9.999453572859295,False
10,1,w_fro,9.162597663688294,9.999868888349052,False
10,1,c_norm,9.162619578553022,9.999868888349052,False
10,1,g_fro,18.79249445828431,9.999868888349052,False
10,1,g_proj,10.084437731510894,9.999868888349052,False
10,1,c_proj1,6.218428708003836,9.999868888349052,False
10,1,fn_fro,12.268051845174323,9.999868888349052,False
10,1,fn_proj1,12.379551396676108,9.999868888349052,False
10,1,loss_full,19.76019571589384,9.999868888349052,False
10,2,w_fro,8.549280572445905,9.999589095780848,False
10,2,c_norm,8.549276813797228,9.999589095780848,False
10,2,g_fro,18.829270462377423,9.999589095780848,False
10,2,g_proj,8.19963292897172,9.999589095780848,False
10,2,c_proj1,6.948957506372472,9.999589095780848,False
10,2,fn_fro,11.927595943086502,9.999589095780848,False
10,2,fn_proj1,6.809495653503041,9.999589095780848,False
10,2,loss_full,18.265199362744205,9.999589095780848,False
12,0,w_fro,9.548593965825093,11.999666951151914,False
12,0,c_norm,9.548596882218671,11.999666951151914,False
12,0,g_fro,18.433743569442406,11.999666951151914,False
12,0,g_proj,10.80572814976914,11.999666951151914,False
12,0,c_proj1,7.512221308040705,11.999666951151914,False
12,0,fn_fro,8.542904758851241,11.999666951151914,False
12,0,fn_proj1,7.735583784223254,11.999666951151914,False
12,0,loss_full,20.485401320383513,11.999666951151914,False
12,1,w_fro,10.610921025917515,11.999886289876388,False
12,1,c_norm,10.61082771733046,11.999886289876388,False
12,1,g_fro,17.464867722643433,11.999886289876388,False
12,1,g_proj,10.121246933118803,11.999886289876388,False
12,1,c_proj1,6.729248204991505,11.999886289876388,False
12,1,fn_fro,11.869409555082454,11.999886289876388,False
12,1,fn_proj1,9.020171756038858,11.999886289876388,False
12,1,loss_full,18.91439312682541,11.999886289876388,False
12,2,w_fro,10.833064886716159,11.999929323790738,False
12,2,c_norm,10.833030001981943,11.999929323790738,False
12,2,g_fro,19.225787887714823,11.999929323790738,False
12,2,g_proj,10.904601910610548,11.999929323790738,False
12,2,c_proj1,10.129456489677368,11.999929323790738,False
12,2,fn_fro,7.6805814686413925,11.999929323790738,False
12,2,fn_proj1,7.591034022230147,11.999929323790738,False
12,2,loss_full,19.525463923289834,11.999929323790738,False
14,0,w_fro,9.555632561850652,13.997998300173647,False
14,0,c_norm,9.555626210788741,13.997998300173647,False
14,0,g_fro,19.852270309502124,13.997998300173647,False
14,0,g_proj,12.504021649558556,13.997998300173647,False
14,0,c_proj1,6.995186879650378,13.997998300173647,False
14,0,fn_fro,8.658139910061498,13.997998300173647,False
14,0,fn_proj1,8.504237367302968,13.997998300173647,False
14,0,loss_full,21.0000917290255,13.997998300173647,False
14,1,w_fro,12.126823308884061,13.997466114768207,False
14,1,c_norm,12.126757941425273,13.997466114768207,False
14,1,g_fro,19.93678526990446,13.997466114768207,False
14,1,g_proj,11.314721174376318,13.997466114768207,False
14,1,c_proj1,7.26736647405729,13.997466114768207,False
14,1,fn_fro,12.74258096240482,13.997466114768207,False
14,1,fn_proj1,11.022115784902068,13.997466114768207,False
14,1,loss_full,19.466631571177253,13.997466114768207,False
14,2,w_fro,9.290349305769881,13.997172355387379,False
14,2,c_norm,9.290365306993577,13.997172355387379,False
14,2,g_fro,21.18367387369377,13.997172355387379,False
14,2,g_proj,11.489355114351174,13.997172355387379,False
14,2,c_proj1,10.902631493138077,13.997172355387379,False
14,2,fn_fro,6.788256704340376,13.997172355387379,False
14,2,fn_proj1,14.478938275487405,13.997172355387379,False
14,2,loss_full,21.33689604999064,13.997172355387379,False
16,0,w_fro,10.468405680793346,15.998396380595507,False
16,0,c_norm,10.468403922206626,15.998396380595507,False
16,0,g_fro,21.365407187728678,15.998396380595507,False
16,0,g_proj,12.717570569610398,15.998396380595507,False
16,0,c_proj1,15.155705389465199,15.998396380595507,False
16,0,fn_fro,10.117493963397955,15.998396380595507,False
16,0,fn_proj1,13.535153628821803,15.998396380595507,False
16,0,loss_full,22.170597502293035,15.998396380595507,False
16,1,w_fro,15.637540935028115,15.996838330124396,False
16,1,c_norm,15.637570870091404,15.996838330124396,False
16,1,g_fro,21.37561586499651,15.996838330124396,False
16,1,g_proj,11.451778910785993,15.996838330124396,False
16,1,c_proj1,11.12883736108994,15.996838330124396,False
16,1,fn_fro,17.350426312716003,15.996838330124396,False
16,1,fn_proj1,13.731644280582056,15.996838330124396,False
16,1,loss_full,20.237428108907373,15.996838330124396,False
16,2,w_fro,13.589102734072599,15.998001237234016,False
16,2,c_norm,13.589077429880462,15.998001237234016,False
16,2,g_fro,22.63076612128519,15.998001237234016,False
16,2,g_proj,18.096520190148254,15.998001237234016,False
