,n,rmse_takens,rmse_er,rmse_min,a_takens,rmse_takens_fit,b_er,rmse_er_fit,a_min,b_min,rmse_min_fit,loglog_dE,loglog_dN,loglog_const,rmse_loglog,sd_y
r_track_1,16.0,10.756654271205006,1.7804294415702888,1.7943603691905265,0.4395424787755314,3.4426910684103316,1.1151786396182313,1.5451805950736124,0.9199999999999999,1.24,1.3522682703544802,3.889152106498121,0.5064674585373787,1.1008953759975797,0.6457104651336268,1.1087329432647448
MG_plateau,16.0,8.543693319118228,3.9129618879466253,3.948229208642996,0.5730367236397097,3.566866764772937,1.3985344142141025,2.4381491114142766,1.0,1.72,1.1735416570139467,8.62645565670065,1.0291553074379167,-5.515425554435825,0.18687480896399666,2.0077528173775674
PR_plateau,16.0,8.496662247998254,3.8689224854426296,3.8133490666157557,0.5541226983671782,2.5422131646929635,1.2886064414586251,3.1711927937847206,0.8400000000000001,1.78,1.1361768000977555,11.086967927740298,0.14333329614486945,-6.46267659089563,0.0882142332660639,2.638281569241257
