arm,theiler_label,theiler_canonical,theiler_fast,MG_canonical,MG_fast,LB_canonical,LB_fast,dMG,dLB,deg_canonical,deg_fast
fast,0,0,0,2.978226114607227,2.978226114607227,3.0103309317697793,3.0103309317697793,0.0,0.0,False,False
fast,1,1,1,2.977895530536167,2.977895530536167,3.009978424930491,3.009978424930491,0.0,0.0,False,False
fast,2,2,2,2.977895530536167,2.977895530536167,3.009978424930491,3.009978424930491,0.0,0.0,False,False
fast,5,5,5,2.977895530536167,2.977895530536167,3.009978424930491,3.009978424930491,0.0,0.0,False,False
fast,10,10,10,2.977895530536167,2.977895530536167,3.009978424930491,3.009978424930491,0.0,0.0,False,False
fast,20,20,20,2.977895530536167,2.977895530536167,3.009978424930491,3.009978424930491,0.0,0.0,False,False
fast,50,50,50,2.977895530536167,2.977895530536167,3.009978424930491,3.009978424930491,0.0,0.0,False,False
fast,100,100,100,2.977895530536167,2.977895530536167,3.009978424930491,3.009978424930491,0.0,0.0,False,False
fast,150,150,150,2.977895530536167,2.977895530536167,3.009978424930491,3.009978424930491,0.0,0.0,False,False
fast,frozen,76,76,2.977895530536167,2.977895530536167,3.009978424930491,3.009978424930491,0.0,0.0,False,False
slow,0,0,0,2.2515852968917796,2.2515852968917796,2.3858443333220083,2.3858443333220083,0.0,0.0,False,False
slow,1,1,1,2.9337085051737355,2.9337085051737355,3.1941238294374394,3.1941238294374394,0.0,0.0,False,False
slow,2,2,2,3.2985422496671792,3.2985422496671792,3.6857838084642176,3.6857838084642176,0.0,0.0,False,False
slow,5,5,5,3.313467298270802,3.313467298270802,3.8915177840501842,3.8915177840501842,0.0,0.0,False,False
slow,10,10,10,3.348154202766184,3.348154202766184,4.036672898032857,4.036672898032857,0.0,0.0,False,False
slow,20,20,20,3.3552029236654803,3.3552029236654803,4.195776356729962,4.195776356729962,0.0,0.0,False,False
slow,50,50,50,3.3603586406013117,3.3603586406013117,4.3727602170254505,4.3727602170254505,0.0,0.0,False,False
slow,100,100,100,3.3603586406013117,3.3603586406013117,4.3727602170254505,4.3727602170254505,0.0,0.0,False,False
slow,150,150,150,3.3603586406013117,3.3603586406013117,4.3727602170254505,4.3727602170254505,0.0,0.0,False,False
slow,frozen,76,76,3.3603586406013117,3.3603586406013117,4.3727602170254505,4.3727602170254505,0.0,0.0,False,False
transient,0,0,0,1.1967357965075922,1.1967357965075922,1.1969203586932935,1.1969203586932935,0.0,0.0,False,False
transient,1,1,1,1.462713632020413,1.462713632020413,1.4630222485936202,1.4630222485936202,0.0,0.0,False,False
transient,2,2,2,1.7041922076607354,1.7041922076607354,1.7046548222793718,1.7046548222793718,0.0,0.0,False,False
transient,5,5,5,2.3795725930797698,2.3795725930797698,2.380727791468377,2.380727791468377,0.0,0.0,False,False
transient,10,10,10,3.446564414933827,3.446564414933827,3.4497698784672464,3.4497698784672464,0.0,0.0,False,False
transient,20,20,20,5.4842777639407245,5.4842777639407245,5.49526159962054,5.49526159962054,0.0,0.0,False,False
transient,50,50,50,11.16318462466747,11.16318462466747,11.220114784579184,11.220114784579184,0.0,0.0,False,False
transient,100,100,100,20.646619367721335,20.646619367721335,20.873622116373078,20.873622116373078,0.0,0.0,False,False
transient,150,150,150,27.80166130373603,27.80166130373603,28.279501259879858,28.279501259879858,0.0,0.0,False,False
transient,frozen,150,150,27.80166130373603,27.80166130373603,28.279501259879858,28.279501259879858,0.0,0.0,False,False
