arm,r,seed,observer,theiler_label,n_windows,frac_degenerate,all_degenerate,MG,LB,S_med,theiler_used,n_points,n_pairs,n_query,n_pairs_near_ref,frac_near_ref,frac_query_valid,frac_kept_from_W0,r1_med,rk_med,spread_med,dt_med,dist_inflation,r1_med_W0,rk_med_W0,dt_med_W0,PRdelay,acorr,roughness,tau_used,traj_PR,MG_sd
fast,2,0,w_fro,0,7,0.0,False,2.228791140502218,2.2718861155974492,8.820581406184882,0.0,7924.0,158480.0,321.0,141560.0,0.8932357395254922,0.9968847352024922,1.0,0.060642584987656824,0.42723529865119714,7.161715762311095,2867.0,1.0,0.060642584987656824,0.42723529865119714,2867.0,1.5700059479944133,2.0,0.724488892527033,4.0,1.9996818285684383,0.003599377133900906
fast,2,0,w_fro,1,7,0.0,False,2.228791140502218,2.2718861155974492,8.820581406184882,1.0,7924.0,158480.0,321.0,141560.0,0.8932357395254922,0.9968847352024922,1.0,0.060642584987656824,0.42723529865119714,7.161715762311095,2867.0,1.0,0.060642584987656824,0.42723529865119714,2867.0,1.5700059479944133,2.0,0.724488892527033,4.0,1.9996818285684383,0.003599377133900906
fast,2,0,w_fro,2,7,0.0,False,2.228791140502218,2.2718861155974492,8.820581406184882,2.0,7924.0,158480.0,321.0,141560.0,0.8932357395254922,0.9968847352024922,1.0,0.060642584987656824,0.42723529865119714,7.161715762311095,2867.0,1.0,0.060642584987656824,0.42723529865119714,2867.0,1.5700059479944133,2.0,0.724488892527033,4.0,1.9996818285684383,0.003599377133900906
fast,2,0,w_fro,5,7,0.0,False,2.228791140502218,2.2718861155974492,8.820581406184882,5.0,7924.0,158480.0,321.0,141560.0,0.8932357395254922,0.9968847352024922,1.0,0.060642584987656824,0.42723529865119714,7.161715762311095,2867.0,1.0,0.060642584987656824,0.42723529865119714,2867.0,1.5700059479944133,2.0,0.724488892527033,4.0,1.9996818285684383,0.003599377133900906
fast,2,0,w_fro,10,7,0.0,False,2.228791140502218,2.2718861155974492,8.820581406184882,10.0,7924.0,158480.0,321.0,141560.0,0.8932357395254922,0.9968847352024922,1.0,0.060642584987656824,0.42723529865119714,7.161715762311095,2867.0,1.0,0.060642584987656824,0.42723529865119714,2867.0,1.5700059479944133,2.0,0.724488892527033,4.0,1.9996818285684383,0.003599377133900906
fast,2,0,w_fro,20,7,0.0,False,2.228791140502218,2.2718861155974492,8.820581406184882,20.0,7924.0,158480.0,321.0,141560.0,0.8932357395254922,0.9902461232172932,1.0,0.060642584987656824,0.42723529865119714,7.161715762311095,2867.0,1.0,0.060642584987656824,0.42723529865119714,2867.0,1.5700059479944133,2.0,0.724488892527033,4.0,1.9996818285684383,0.003599377133900906
fast,2,0,w_fro,50,7,0.0,False,2.228791140502218,2.2718861155974492,8.820581406184882,50.0,7924.0,158480.0,321.0,141560.0,0.8932357395254922,0.9767998477750467,1.0,0.060642584987656824,0.42723529865119714,7.161715762311095,2867.0,1.0,0.060642584987656824,0.42723529865119714,2867.0,1.5700059479944133,2.0,0.724488892527033,4.0,1.9996818285684383,0.003599377133900906
fast,2,0,w_fro,100,7,0.0,False,2.228791140502218,2.2718861155974492,8.820581406184882,100.0,7924.0,158480.0,321.0,141560.0,0.8932357395254922,0.9739798333388373,1.0,0.060642584987656824,0.42723529865119714,7.161715762311095,2867.0,1.0,0.060642584987656824,0.42723529865119714,2867.0,1.5700059479944133,2.0,0.724488892527033,4.0,1.9996818285684383,0.003599377133900906
fast,2,0,w_fro,150,7,0.0,False,2.228791140502218,2.2718861155974492,8.820581406184882,150.0,7924.0,158480.0,321.0,141560.0,0.8932357395254922,0.9679049883551056,1.0,0.060642584987656824,0.42723529865119714,7.161715762311095,2867.0,1.0,0.060642584987656824,0.42723529865119714,2867.0,1.5700059479944133,2.0,0.724488892527033,4.0,1.9996818285684383,0.003599377133900906
fast,2,0,w_fro,frozen,7,0.0,False,2.228791140502218,2.2718861155974492,8.820581406184882,76.0,7924.0,158480.0,321.0,141560.0,0.8932357395254922,0.9746792346607412,1.0,0.060642584987656824,0.42723529865119714,7.161715762311095,2867.0,1.0,0.060642584987656824,0.42723529865119714,2867.0,1.5700059479944133,2.0,0.724488892527033,4.0,1.9996818285684383,0.003599377133900906
fast,2,0,c_proj1,0,7,0.0,False,2.344796547062866,2.366028303723692,8.082758803888055,0.0,7924.0,158480.0,321.0,138745.0,0.8754732458354366,0.9968847352024922,1.0,0.14114404727823604,0.4940739274210676,3.2499295583721475,956.0,1.0,0.14114404727823604,0.4940739274210676,956.0,2.835449091352576,3.0,0.48820933450980714,4.0,1.9996818285684383,0.0006485949340780965
fast,2,0,c_proj1,1,7,0.0,False,2.344796547062866,2.366028303723692,8.082758803888055,1.0,7924.0,158480.0,321.0,138745.0,0.8754732458354366,0.9966516014285243,1.0,0.14114404727823604,0.4940739274210676,3.2499295583721475,956.0,1.0,0.14114404727823604,0.4940739274210676,956.0,2.835449091352576,3.0,0.48820933450980714,4.0,1.9996818285684383,0.0006485949340780965
fast,2,0,c_proj1,2,7,0.0,False,2.344796547062866,2.366028303723692,8.082758803888055,2.0,7924.0,158480.0,321.0,138745.0,0.8754732458354366,0.9966516014285243,1.0,0.14114404727823604,0.4940739274210676,3.2499295583721475,956.0,1.0,0.14114404727823604,0.4940739274210676,956.0,2.835449091352576,3.0,0.48820933450980714,4.0,1.9996818285684383,0.0006485949340780965
fast,2,0,c_proj1,5,7,0.0,False,2.344796547062866,2.366028303723692,8.082758803888055,5.0,7924.0,158480.0,321.0,138745.0,0.8754732458354366,0.9966516014285243,1.0,0.14114404727823604,0.4940739274210676,3.2499295583721475,956.0,1.0,0.14114404727823604,0.4940739274210676,956.0,2.835449091352576,3.0,0.48820933450980714,4.0,1.9996818285684383,0.0006485949340780965
