arm,theiler_label,MG,S_med,spread_rk_r1,r1,r1_at_W0,frac_near_ref,frac_kept,dt_med_W0,deg,r1_inflation
fast,0,5.693591145078408,3.442409859474472,1.7908179275701972,1.0215524755692371,1.0215524755692371,0.8734461761736496,1.0,2546.5,0.0,1.0
fast,1,5.678120655459767,3.452007778822057,1.791444217348347,1.0217766359686815,1.0215524755692371,0.8692705704189803,0.9971826097930339,2546.5,0.0,1.0002194311156845
fast,10,5.678107922085658,3.452007778822057,1.791444217348347,1.0217766359686815,1.0215524755692371,0.8692689929328622,0.9967077864714791,2546.5,0.0,1.0002194311156845
fast,100,5.676344991594234,3.452513219498171,1.7921038828157738,1.0217766359686815,1.0215524755692371,0.8692563730439172,0.9939109035840483,2546.5,0.0,1.0002194311156845
fast,150,5.674258538421664,3.453243103412869,1.7921982419554257,1.0217766359686815,1.0215524755692371,0.868491292276628,0.9924832786471479,2546.5,0.0,1.0002194311156845
fast,2,5.678107922085658,3.452007778822057,1.791444217348347,1.0217766359686815,1.0215524755692371,0.8692689929328622,0.9971826097930339,2546.5,0.0,1.0002194311156845
fast,20,5.677987248160421,3.4520626968648846,1.791444217348347,1.0217766359686815,1.0215524755692371,0.8692674154467441,0.996680969207471,2546.5,0.0,1.0002194311156845
fast,5,5.678107922085658,3.452007778822057,1.791444217348347,1.0217766359686815,1.0215524755692371,0.8692689929328622,0.9967503785966684,2546.5,0.0,1.0002194311156845
fast,50,5.677956063394307,3.4520626968648846,1.791444217348347,1.0217766359686815,1.0215524755692371,0.8692595280161535,0.9952959363957596,2546.5,0.0,1.0002194311156845
fast,frozen,5.677297397836677,3.452450486844401,1.7919783184757678,1.0217766359686815,1.0215524755692371,0.8692595280161535,0.9950214538112064,2546.5,0.0,1.0002194311156845
slow,0,2.0729512085515083,8.686786742512737,4.533490156417583,0.09002740290036249,0.09002740290036249,0.7779104618879353,1.0,573.75,0.0,1.0
slow,1,2.640569573084183,6.774014230368669,2.7513609586496637,0.14048262575455805,0.09002740290036249,0.7234445986875315,0.900012619888945,573.75,0.0,1.56044294546669
slow,10,3.4297840460760347,5.283941055568661,1.9555188971179527,0.22045252800657894,0.09002740290036249,0.5516705577990912,0.5502571302372539,573.75,0.0,2.44872695317629
slow,100,3.5019661380620546,5.180962170654428,1.9385211081300113,0.22823302396143935,0.09002740290036249,0.5364304644119131,0.5466525744573448,573.75,0.0,2.535150594247792
slow,150,3.50076897904572,5.181930964968464,1.9385865601837475,0.22823302396143935,0.09002740290036249,0.5308714033316506,0.5440765396264513,573.75,0.0,2.535150594247792
slow,2,3.017630025394434,5.96963691439572,2.3337773853178323,0.16967101731123463,0.09002740290036249,0.6672403457849571,0.8000378596668349,573.75,0.0,1.8846596907723467
slow,20,3.4859466015333083,5.195227602418372,1.9397004644907865,0.22561706643483265,0.09002740290036249,0.541827044422009,0.5478956335184251,573.75,0.0,2.50609324679213
slow,5,3.3573545086628407,5.425707923552778,2.067335078659903,0.20655829748669868,0.09002740290036249,0.584207786471479,0.608458480565371,573.75,0.0,2.2943936049705482
slow,50,3.5005945145958135,5.187985099719151,1.9385211081300113,0.22743985840853875,0.09002740290036249,0.537731890459364,0.5478956335184251,573.75,0.0,2.5263403261810966
slow,frozen,3.500688102734558,5.184644830795475,1.9385211081300113,0.22785334594282192,0.09002740290036249,0.536750694093892,0.5478956335184251,573.75,0.0,2.5309332336843906
transient,0,1.1970710903720105,15.860020707754332,10.00942968505241,0.000153023374881375,0.000153023374881375,0.8377255805148914,1.0,6.0,0.0,1.0
transient,1,1.4632641274526108,12.972149962733502,5.506131849017226,0.000306016236134025,0.000153023374881375,0.780551173649672,0.900012619888945,6.0,0.0,1.9998005949826378
transient,10,3.452086357032787,5.48653312975785,1.8230209785613543,0.0016816102744584252,0.000153023374881375,0.20348624432104995,0.0006940938919737,6.0,0.0,10.989237923696452
transient,100,20.834739068177825,0.8948116599219527,1.098634612009063,0.015305211150344476,0.000153023374881375,0.0,0.0,6.0,0.0,100.01877923689241
transient,150,28.91240654684897,0.633624085522474,1.0733677625956104,0.022770827887972224,0.000153023374881375,0.0,0.0,6.0,0.0,148.8062062781216
transient,2,1.7050067109502436,11.130573772857824,4.005147380899899,0.000458979422082925,0.000153023374881375,0.7116292276627966,0.8000378596668349,6.0,0.0,2.9994072633591418
transient,20,5.5051406331910036,3.4301579505942144,1.434832961481568,0.003207213001109275,0.000153023374881375,0.0,0.0,6.0,0.0,20.958974428550757
transient,5,2.3815531275124497,7.963164868371491,2.5045050033446383,0.0009176901100356001,0.000153023374881375,0.4916535209490156,0.5001892983341747,6.0,0.0,5.997058362795887
transient,50,11.212954080608373,1.674604840264052,1.1872901017334083,0.0077661635918168,0.000153023374881375,0.0,0.0,6.0,0.0,50.75148550237632
transient,frozen,28.91240654684897,0.633624085522474,1.0733677625956104,0.022770827887972224,0.000153023374881375,0.0,0.0,6.0,0.0,148.8062062781216
