family,r,N,seed,observer,max_E,state_rank,state_PR,margin,innov_ratio,tau_c,MG,LB,TwoNN,PRdelay,specPR64,specPR256,specPR1024,specPR0,roughness,acorr,degenerate
qp,1,20000,0,generic,10,1,1.0,0.003535533905932738,,,1.3852806615010638,1.4829749087771422,2.0133934381979377,1.0081336144873874,1.0036740482630733,1.0239920290867068,1.074224885393667,1.7052739784970075,0.022180791759612614,54.0,False
qp,1,20000,0,generic,20,1,1.0,0.003535533905932738,,,1.3844456217917782,1.4823030216063706,2.0096183788249227,1.0338596937908888,1.0042374914969738,1.0423557066258409,1.0942889448812552,1.7373411311915148,0.022485940357182977,54.0,False
qp,1,20000,0,norm,10,1,1.0,0.003535533905932738,,,1.3432265006436466,1.3662264365013546,2.553160286365025,1.0410918929056283,1.1141271273647981,1.1251886595083487,1.1912098490025123,2.9461084419740873,0.05074894640003683,26.0,False
qp,1,20000,0,norm,20,1,1.0,0.003535533905932738,,,1.3426844555435973,1.365606827895292,2.548547671166606,1.1618352289291043,1.1157129156709622,1.125392757265708,1.191053352224101,2.9479385648902805,0.05076483295949708,26.0,False
qp,1,20000,1,generic,10,1,1.0,0.003535533905932738,,,1.3857519379099892,1.4833052078100615,2.014383225227855,1.0101316827413682,1.0066805813358948,1.2024877256963278,1.2642920379195346,2.0133323459139674,0.024755738727701704,50.0,False
qp,1,20000,1,generic,20,1,1.0,0.003535533905932738,,,1.3845098677782448,1.4823554079733658,2.0096836145569985,1.034645513913967,1.0003241229452478,1.0512527928300222,1.1106592911418292,1.765252222985737,0.022762141127884567,53.0,False
qp,1,20000,1,norm,10,1,1.0,0.003535533905932738,,,1.3432149844080434,1.3662224141943122,2.553693506030174,1.0411622685356254,1.1180432871877735,1.1257884803597171,1.190956897645103,2.950584317240014,0.0507875542897505,26.0,False
qp,1,20000,1,norm,20,1,1.0,0.003535533905932738,,,1.3427488711946438,1.3656791109186681,2.548373517779671,1.1621976418524274,1.120897940206134,1.1290611061139237,1.1945960639439959,2.9573689963425496,0.05081063631046344,26.0,False
qp,1,20000,2,generic,10,1,1.0,0.003535533905932738,,,1.3853435587250753,1.4830294499205632,2.0134362879444287,1.00825182483851,1.0015049048646112,1.024705669282065,1.084340016951894,1.7235763537134594,0.02234685304318985,54.0,False
qp,1,20000,2,generic,20,1,1.0,0.003535533905932738,,,1.3844702808822078,1.4823240967652092,2.009638010345202,1.0341417769939665,1.0017745886869969,1.0399140188238065,1.1014361838456426,1.7510402286755238,0.022599295724562006,54.0,False
qp,1,20000,2,norm,10,1,1.0,0.003535533905932738,,,1.343234934071413,1.3662470464257384,2.553133511565352,1.041200690771911,1.1215431558509852,1.129147292660374,1.1945364065409532,2.9580546816437683,0.0508096545731504,26.0,False
