observer,k,truth,MG,LB,PRdelay,roughness,n,error
coord_active0,1,1.0,1.1413711837024596,1.1494562760523461,1.8949432738674168,1.4365504784397398,4,0.1413711837024596
coord_active0,3,3.0,1.1239543473726434,1.1279967598545895,1.9981737359543705,1.765331317251679,4,1.8760456526273566
coord_active0,5,5.0,1.137605692845782,1.1411517541614578,1.981298441973086,1.384009921362276,4,3.8623943071542177
coord_active0,8,8.0,1.1182785665284394,1.122816893487832,1.968165047993752,1.3247351583620195,4,6.881721433471561
coord_inactive,1,1.0,16.38579234989317,17.282805165254583,19.959220817013488,1.413508806517671,4,15.385792349893169
coord_inactive,3,3.0,16.385792349909728,17.282805165231416,19.959220817013886,1.413508806517964,4,13.385792349909728
coord_inactive,5,5.0,16.385792349821344,17.282805165247478,19.959220817013815,1.413508806517187,4,11.385792349821344
coord_inactive,8,8.0,16.385792349873295,17.282805165247478,19.959220817012934,1.4135088065178185,4,8.385792349873295
logdet,1,1.0,1.1413695691987358,1.1494544802007525,1.8957766360028687,1.436901112128126,4,0.14136956919873578
logdet,3,3.0,3.3341287001312265,3.41434443676102,4.828518376459188,1.479839126916553,4,0.33412870013122653
logdet,5,5.0,5.635548369956121,5.728526975039413,6.808645011721793,1.4059720972176784,4,0.6355483699561209
logdet,8,8.0,8.577332863929515,8.997074296012272,8.40844456419949,1.506439663777864,4,0.5773328639295148
norm_fro,1,1.0,1.1413709612217269,1.1494557004206998,1.8957550961119352,1.4368919937185527,4,0.14137096122172688
norm_fro,3,3.0,3.476842323415043,3.5412355662681305,4.762072751984989,1.4023126000472101,4,0.4768423234150432
norm_fro,5,5.0,5.294040441105364,5.381532888002507,6.1614072474027015,1.446245087906788,4,0.29404044110536365
norm_fro,8,8.0,7.829411167894957,8.235265927371827,9.577596020604025,1.4678031906692568,4,0.17058883210504305
norm_fro_sq,1,1.0,1.141369951369413,1.1494556521549337,1.8957724964484663,1.4368990276322644,4,0.1413699513694131
norm_fro_sq,3,3.0,3.476941094742208,3.5413900019571933,4.76217137113127,1.4023183809853095,4,0.4769410947422079
norm_fro_sq,5,5.0,5.293668266370247,5.381173183530401,6.161513615435027,1.4462517993294026,4,0.293668266370247
norm_fro_sq,8,8.0,7.829743216986183,8.23566369913463,9.577690103526137,1.4678101694780987,4,0.17025678301381664
norm_l1,1,1.0,1.1413710288212027,1.1494561261529888,1.8949432725260493,1.436550478626563,4,0.14137102882120267
norm_l1,3,3.0,3.6015585910237915,3.675338191644678,5.026939534433341,1.466179858321094,4,0.6015585910237915
norm_l1,5,5.0,5.591795592305539,5.722368976023812,7.857915094587614,1.4367551499694697,4,0.5917955923055391
norm_l1,8,8.0,8.093060900486027,8.431650413158847,9.852817066534765,1.4816962560144669,4,0.09306090048602655
proj_half_active,1,1.0,1.1413699524271657,1.1494554124339786,1.8949432728162212,1.43655047845904,4,0.14136995242716566
proj_half_active,3,3.0,1.1239532198875146,1.1279956242444673,1.9981737359613119,1.7653313173951228,4,1.8760467801124854
proj_half_active,5,5.0,2.3746051775815893,2.4004821054343206,2.544290431326855,1.480332677797669,4,2.6253948224184107
proj_half_active,8,8.0,3.592711630062036,3.6656717123978684,3.425287057128937,1.3389152584074009,4,4.407288369937964
proj_inactive_only,1,1.0,14.825629126237864,16.306279564607685,19.98854297444536,1.00257209915787,4,13.825629126237864
proj_inactive_only,3,3.0,14.881920562542795,16.328536673251257,19.990223154514858,1.0025720729937828,4,11.881920562542795
proj_inactive_only,5,5.0,15.535347436335035,16.72974902827636,19.97972571053628,1.2059148166912146,4,10.535347436335035
proj_inactive_only,8,8.0,14.819128146234227,16.253801399491454,19.989383067944388,0.9962657147698346,4,6.8191281462342275
proj_rand0,1,1.0,1.141371463906069,1.1494567397548163,1.894943272508098,1.4365504785765855,4,0.14137146390606903
proj_rand0,3,3.0,2.839825693397844,2.8976132687528904,3.523381861161975,1.5706201694823205,4,0.16017430660215615
proj_rand0,5,5.0,5.194637512963421,5.308735480209146,3.747717374107164,1.376597438118983,4,0.19463751296342124
proj_rand0,8,8.0,6.963317567967229,7.314258058479615,5.586904944743612,1.4290393452506407,4,1.0366824320327712
proj_rand1,1,1.0,1.1413710136390898,1.1494553848116553,1.8949432730544675,1.4365504785747714,4,0.14137101363908977
proj_rand1,3,3.0,3.3567120484335238,3.432417607225915,3.728272706354798,1.616477555246255,4,0.3567120484335238
proj_rand1,5,5.0,4.573826708855133,4.6429768211064,4.362074702909009,1.4901014871681477,4,0.4261732911448668
proj_rand1,8,8.0,7.254502272098909,7.614094643159233,5.490219941935856,1.451795822406508,4,0.7454977279010908
proj_rand2,1,1.0,1.1413710182294907,1.1494560199173784,1.8949432730345719,1.4365504784986391,4,0.14137101822949072
proj_rand2,3,3.0,3.199315132020538,3.329839664975623,2.8802422595705774,1.4758109507575288,4,0.19931513202053797
proj_rand2,5,5.0,4.2029075088455325,4.326681457275656,3.626121380717117,1.4701641687735516,4,0.7970924911544675
proj_rand2,8,8.0,6.502019064978322,6.85704046493511,4.878610187451886,1.4259161331966208,4,1.497980935021678
proj_rand3,1,1.0,1.1413688140850362,1.1494547547542635,1.894943272634717,1.436550478681224,4,0.1413688140850362
proj_rand3,3,3.0,3.47809006430401,3.548704603838016,2.9081328565314117,1.576351833387248,4,0.47809006430401
proj_rand3,5,5.0,4.432729655594663,4.541888142690116,3.6213624946227823,1.3838052973024713,4,0.5672703444053369
proj_rand3,8,8.0,7.308382142858081,7.634546385432051,4.345502225008812,1.4113142190227996,4,0.6916178571419191
trace,1,1.0,1.1413710181139478,1.1494563845116461,1.8949432730936715,1.4365504784905578,4,0.1413710181139478
trace,3,3.0,3.6015582902814955,3.6753381027181247,5.02693946521274,1.4661798592712514,4,0.6015582902814955
trace,5,5.0,5.591796053612646,5.722369532423105,7.857915015764751,1.4367551449306921,4,0.5917960536126463
trace,8,8.0,8.093061453727454,8.431651084994389,9.852817018100499,1.481696250048939,4,0.09306145372745434
