observer,cfg_id,mae,max_error,rho,inversions,objective
gradient_fro,2,1.7824140045995087,3.3940634907160465,0.9488721804511278,3,2.7415235282069155
gradient_fro,3,1.534271439797065,3.5794856248456703,0.9759398496240601,7,3.1211942835239155
gradient_fro,1,2.454710889957778,6.750954629338565,0.9458646616541352,6,4.367354084358563
gradient_fro,0,4.3241505634710204,12.093415862047278,0.9458646616541352,6,7.038162942778111
gradient_projection,2,3.9893072784420602,10.637322969681367,0.8887218045112781,7,6.634905723894265
gradient_projection,3,4.3140184649911495,10.679383277587695,0.8165413533834586,6,6.815925956629304
gradient_projection,1,4.627206478593959,11.539667926139755,0.956390977443609,5,7.108156667514923
gradient_projection,0,4.9908907415338035,13.02877243427714,0.9218045112781955,8,8.145206606675375
loss,2,1.7989657787846938,3.37372929267325,0.9488721804511278,3,2.7550251726856816
loss,3,1.5379461501119898,3.570870519870729,0.9759398496240601,7,3.1235767280925995
loss,1,2.491763250766958,6.743502692242211,0.9458646616541352,6,4.40328865460329
loss,0,4.3392646484606585,12.122591862336556,0.9488721804511278,6,7.057653427811141
weight_fro,3,1.6052869968524555,4.67218548824181,0.9714285714285714,5,3.056114820088727
weight_fro,2,2.4755289142346553,6.668244046249619,0.9669172932330825,3,3.9257655211720985
weight_fro,0,3.893460705196033,10.997838934376812,0.9744360902255638,4,6.143136545352554
weight_fro,1,3.9184735112508498,11.039154349207154,0.9699248120300751,4,6.174346663631923
weight_projection,2,2.7811972190531336,8.422479537734091,0.9924812030075187,3,4.494569149713247
weight_projection,3,2.5205218303888675,8.317157920010656,0.9744360902255638,5,4.518095518390465
weight_projection,0,4.19617361161289,11.633758137922994,0.9759398496240601,6,6.84123733230134
weight_projection,1,4.240992030326176,11.385005242641853,0.9789473684210527,7,6.998742816722453
weight_trace,3,1.2785118880687836,3.4109869608368086,0.9879699248120299,4,2.390159932194305
weight_trace,2,2.301381933279553,6.718532854340944,0.9548872180451128,3,3.7591618614306945
weight_trace,1,3.7645328683630623,10.983743411271695,0.9714285714285714,5,6.162094380053817
weight_trace,0,3.843814908030643,11.085833350972766,0.9774436090225563,5,6.256689910676558
