cfg_id,seed,k,observer,MG,error,window,cycles,max_E,kn,tau,eta
0,0,10,loss,6.7867486245736925,-3.2132513754263075,2000,500.0,31,20,1,0.2
0,0,11,weight_fro,7.807671296207788,-3.192328703792212,2000,500.0,31,20,1,0.2
0,0,11,weight_projection,7.325250316622972,-3.674749683377028,2000,500.0,31,20,1,0.2
0,0,11,weight_trace,7.910504650869189,-3.089495349130811,2000,500.0,31,20,1,0.2
0,0,11,gradient_fro,7.1833329038940334,-3.8166670961059666,2000,500.0,31,20,1,0.2
0,0,11,gradient_projection,5.451400348208139,-5.548599651791861,2000,500.0,31,20,1,0.2
0,0,11,loss,7.154163288204684,-3.8458367117953163,2000,500.0,31,20,1,0.2
0,0,12,weight_fro,7.7322581357801985,-4.2677418642198015,2000,500.0,31,20,1,0.2
0,0,12,weight_projection,7.906775025405397,-4.093224974594603,2000,500.0,31,20,1,0.2
0,0,12,weight_trace,8.012235675755349,-3.987764324244651,2000,500.0,31,20,1,0.2
0,0,12,gradient_fro,7.30698871702737,-4.69301128297263,2000,500.0,31,20,1,0.2
0,0,12,gradient_projection,6.81014092498945,-5.18985907501055,2000,500.0,31,20,1,0.2
0,0,12,loss,7.269923684700373,-4.730076315299627,2000,500.0,31,20,1,0.2
0,0,13,weight_fro,8.288913130470302,-4.711086869529698,2000,500.0,31,20,1,0.2
0,0,13,weight_projection,8.142420829629181,-4.857579170370819,2000,500.0,31,20,1,0.2
0,0,13,weight_trace,8.285467104095146,-4.7145328959048545,2000,500.0,31,20,1,0.2
0,0,13,gradient_fro,7.38936349810633,-5.61063650189367,2000,500.0,31,20,1,0.2
0,0,13,gradient_projection,7.04395242318282,-5.95604757681718,2000,500.0,31,20,1,0.2
0,0,13,loss,7.356397840442318,-5.643602159557682,2000,500.0,31,20,1,0.2
0,0,14,weight_fro,7.9385121095292535,-6.0614878904707465,2000,500.0,31,20,1,0.2
0,0,14,weight_projection,7.662110224438062,-6.337889775561938,2000,500.0,31,20,1,0.2
0,0,14,weight_trace,8.060465590458803,-5.9395344095411975,2000,500.0,31,20,1,0.2
0,0,14,gradient_fro,7.773439499106543,-6.226560500893457,2000,500.0,31,20,1,0.2
0,0,14,gradient_projection,6.617514750863382,-7.382485249136618,2000,500.0,31,20,1,0.2
0,0,14,loss,7.749312984676121,-6.250687015323879,2000,500.0,31,20,1,0.2
0,0,15,weight_fro,8.2591528803324,-6.740847119667601,2000,500.0,31,20,1,0.2
0,0,15,weight_projection,8.22068819576118,-6.779311804238819,2000,500.0,31,20,1,0.2
0,0,15,weight_trace,8.486625726844807,-6.513374273155193,2000,500.0,31,20,1,0.2
0,0,15,gradient_fro,8.28602297224721,-6.71397702775279,2000,500.0,31,20,1,0.2
0,0,15,gradient_projection,7.423965765698783,-7.576034234301217,2000,500.0,31,20,1,0.2
0,0,15,loss,8.246267506952583,-6.753732493047417,2000,500.0,31,20,1,0.2
0,0,16,weight_fro,8.610973001403126,-7.389026998596874,2000,500.0,31,20,1,0.2
0,0,16,weight_projection,8.13811047177225,-7.861889528227749,2000,500.0,31,20,1,0.2
0,0,16,weight_trace,8.525251119885473,-7.474748880114527,2000,500.0,31,20,1,0.2
0,0,16,gradient_fro,8.13541923843824,-7.86458076156176,2000,500.0,31,20,1,0.2
0,0,16,gradient_projection,7.329273467697304,-8.670726532302696,2000,500.0,31,20,1,0.2
0,0,16,loss,8.079302123848866,-7.920697876151134,2000,500.0,31,20,1,0.2
0,0,17,weight_fro,8.617653978013312,-8.382346021986688,2000,500.0,31,20,1,0.2
0,0,17,weight_projection,8.254230272534901,-8.745769727465099,2000,500.0,31,20,1,0.2
0,0,17,weight_trace,8.579132132041273,-8.420867867958727,2000,500.0,31,20,1,0.2
0,0,17,gradient_fro,8.006226952417611,-8.993773047582389,2000,500.0,31,20,1,0.2
0,0,17,gradient_projection,7.013123368834914,-9.986876631165085,2000,500.0,31,20,1,0.2
0,0,17,loss,7.997322513191701,-9.002677486808299,2000,500.0,31,20,1,0.2
0,0,18,weight_fro,8.557222337134345,-9.442777662865655,2000,500.0,31,20,1,0.2
0,0,18,weight_projection,8.547812763488857,-9.452187236511143,2000,500.0,31,20,1,0.2
0,0,18,weight_trace,8.750487316667648,-9.249512683332352,2000,500.0,31,20,1,0.2
0,0,18,gradient_fro,8.133994976283162,-9.866005023716838,2000,500.0,31,20,1,0.2
0,0,18,gradient_projection,8.223137366426831,-9.776862633573169,2000,500.0,31,20,1,0.2
0,0,18,loss,8.106037586424293,-9.893962413575707,2000,500.0,31,20,1,0.2
1,0,1,weight_fro,0.5745186976524225,-0.42548130234757753,3000,800.0,31,30,2,0.2
1,0,1,weight_projection,0.5745156493821616,-0.4254843506178384,3000,800.0,31,30,2,0.2
1,0,1,weight_trace,0.5745143018255932,-0.42548569817440685,3000,800.0,31,30,2,0.2
1,0,1,gradient_fro,0.9431039756854112,-0.056896024314588844,3000,800.0,31,30,2,0.2
1,0,1,gradient_projection,0.5744096711802001,-0.42559032881979986,3000,800.0,31,30,2,0.2
1,0,1,loss,0.9431449363127329,-0.056855063687267116,3000,800.0,31,30,2,0.2
0,0,19,weight_fro,8.894098270724728,-10.105901729275272,2000,500.0,31,20,1,0.2
0,0,19,weight_projection,8.290434328378469,-10.709565671621531,2000,500.0,31,20,1,0.2
0,0,19,weight_trace,9.003941231942234,-9.996058768057766,2000,500.0,31,20,1,0.2
0,0,19,gradient_fro,7.981838459117538,-11.018161540882462,2000,500.0,31,20,1,0.2
0,0,19,gradient_projection,7.1921771612998535,-11.807822838700147,2000,500.0,31,20,1,0.2
0,0,19,loss,7.959081552002303,-11.040918447997697,2000,500.0,31,20,1,0.2
1,0,2,weight_fro,1.8558000955589837,-0.14419990444101627,3000,800.0,31,30,2,0.2
1,0,2,weight_projection,1.8844280664770874,-0.11557193352291262,3000,800.0,31,30,2,0.2
1,0,2,weight_trace,1.8530429867660037,-0.14695701323399635,3000,800.0,31,30,2,0.2
1,0,2,gradient_fro,2.284728673130035,0.28472867313003514,3000,800.0,31,30,2,0.2
1,0,2,gradient_projection,1.9246377668243875,-0.07536223317561253,3000,800.0,31,30,2,0.2
1,0,2,loss,2.3340104709759815,0.33401047097598147,3000,800.0,31,30,2,0.2
0,0,20,weight_fro,9.002161065623188,-10.997838934376812,2000,500.0,31,20,1,0.2
0,0,20,weight_projection,8.366241862077006,-11.633758137922994,2000,500.0,31,20,1,0.2
0,0,20,weight_trace,8.914166649027234,-11.085833350972766,2000,500.0,31,20,1,0.2
0,0,20,gradient_fro,7.906584137952722,-12.093415862047278,2000,500.0,31,20,1,0.2
0,0,20,gradient_projection,6.971227565722859,-13.02877243427714,2000,500.0,31,20,1,0.2
0,0,20,loss,7.877408137663445,-12.122591862336556,2000,500.0,31,20,1,0.2
1,0,3,weight_fro,3.429961186660005,0.4299611866600048,3000,800.0,31,30,2,0.2
1,0,3,weight_projection,3.3886911684078598,0.3886911684078598,3000,800.0,31,30,2,0.2
1,0,3,weight_trace,3.364052653006601,0.36405265300660083,3000,800.0,31,30,2,0.2
1,0,3,gradient_fro,3.457801605176662,0.457801605176662,3000,800.0,31,30,2,0.2
1,0,3,gradient_projection,3.53599969497498,0.5359996949749801,3000,800.0,31,30,2,0.2
1,0,3,loss,3.446872245145072,0.4468722451450722,3000,800.0,31,30,2,0.2
1,0,4,weight_fro,4.520969063513912,0.5209690635139124,3000,800.0,31,30,2,0.2
1,0,4,weight_projection,4.449515295258793,0.4495152952587933,3000,800.0,31,30,2,0.2
1,0,4,weight_trace,4.191660180884041,0.1916601808840408,3000,800.0,31,30,2,0.2
1,0,4,gradient_fro,4.6387990321870545,0.6387990321870545,3000,800.0,31,30,2,0.2
1,0,4,gradient_projection,3.9321683026848713,-0.06783169731512873,3000,800.0,31,30,2,0.2
1,0,4,loss,4.618849584238551,0.6188495842385509,3000,800.0,31,30,2,0.2
1,0,5,weight_fro,5.672482613587711,0.6724826135877109,3000,800.0,31,30,2,0.2
1,0,5,weight_projection,4.898055379909903,-0.10194462009009708,3000,800.0,31,30,2,0.2
1,0,5,weight_trace,5.87365937926966,0.8736593792696601,3000,800.0,31,30,2,0.2
1,0,5,gradient_fro,7.888969611988256,2.888969611988256,3000,800.0,31,30,2,0.2
1,0,5,gradient_projection,4.87142587989054,-0.12857412010945968,3000,800.0,31,30,2,0.2
1,0,5,loss,8.289368925729526,3.2893689257295264,3000,800.0,31,30,2,0.2
1,0,6,weight_fro,6.256432001418426,0.2564320014184256,3000,800.0,31,30,2,0.2
1,0,6,weight_projection,5.30643450831654,-0.6935654916834597,3000,800.0,31,30,2,0.2
1,0,6,weight_trace,6.196260363773337,0.19626036377333733,3000,800.0,31,30,2,0.2
1,0,6,gradient_fro,8.834322703582188,2.8343227035821883,3000,800.0,31,30,2,0.2
1,0,6,gradient_projection,5.812031683528531,-0.18796831647146917,3000,800.0,31,30,2,0.2
1,0,6,loss,8.887690641473132,2.8876906414731316,3000,800.0,31,30,2,0.2
1,0,7,weight_fro,6.8965835418477015,-0.1034164581522985,3000,800.0,31,30,2,0.2
1,0,7,weight_projection,6.546049033292507,-0.4539509667074926,3000,800.0,31,30,2,0.2
1,0,7,weight_trace,7.313684276674017,0.3136842766740173,3000,800.0,31,30,2,0.2
1,0,7,gradient_fro,9.602858623843364,2.602858623843364,3000,800.0,31,30,2,0.2
1,0,7,gradient_projection,5.950285233173042,-1.0497147668269582,3000,800.0,31,30,2,0.2
1,0,7,loss,9.795052558994259,2.795052558994259,3000,800.0,31,30,2,0.2
1,0,8,weight_fro,6.95574996088552,-1.0442500391144804,3000,800.0,31,30,2,0.2
1,0,8,weight_projection,6.024725303193843,-1.9752746968061574,3000,800.0,31,30,2,0.2
1,0,8,weight_trace,7.0209369208850365,-0.9790630791149635,3000,800.0,31,30,2,0.2
1,0,8,gradient_fro,9.008221124137616,1.0082211241376164,3000,800.0,31,30,2,0.2
1,0,8,gradient_projection,5.8493522838367955,-2.1506477161632045,3000,800.0,31,30,2,0.2
1,0,8,loss,9.010259562903212,1.0102595629032116,3000,800.0,31,30,2,0.2
1,0,9,weight_fro,7.502883116454078,-1.4971168835459219,3000,800.0,31,30,2,0.2
1,0,9,weight_projection,6.824698513897376,-2.175301486102624,3000,800.0,31,30,2,0.2
1,0,9,weight_trace,7.9376229751752785,-1.0623770248247215,3000,800.0,31,30,2,0.2
1,0,9,gradient_fro,10.849459274247254,1.8494592742472538,3000,800.0,31,30,2,0.2
1,0,9,gradient_projection,6.639581126075915,-2.3604188739240852,3000,800.0,31,30,2,0.2
1,0,9,loss,10.92653975187804,1.9265397518780407,3000,800.0,31,30,2,0.2
1,0,10,weight_fro,8.103778314814123,-1.8962216851858766,3000,800.0,31,30,2,0.2
1,0,10,weight_projection,6.142934985976938,-3.8570650140230622,3000,800.0,31,30,2,0.2
1,0,10,weight_trace,7.856695612440767,-2.1433043875592332,3000,800.0,31,30,2,0.2
1,0,10,gradient_fro,10.400452307550788,0.400452307550788,3000,800.0,31,30,2,0.2
1,0,10,gradient_projection,6.519479073151787,-3.4805209268482127,3000,800.0,31,30,2,0.2
1,0,10,loss,10.433166886908747,0.4331668869087473,3000,800.0,31,30,2,0.2
1,0,11,weight_fro,7.804136096921662,-3.1958639030783376,3000,800.0,31,30,2,0.2
1,0,11,weight_projection,7.015018159921987,-3.984981840078013,3000,800.0,31,30,2,0.2
1,0,11,weight_trace,8.089649553295274,-2.910350446704726,3000,800.0,31,30,2,0.2
1,0,11,gradient_fro,10.670485083729831,-0.3295149162701687,3000,800.0,31,30,2,0.2
1,0,11,gradient_projection,6.828468297507585,-4.171531702492415,3000,800.0,31,30,2,0.2
1,0,11,loss,10.674972373162968,-0.32502762683703246,3000,800.0,31,30,2,0.2
1,0,12,weight_fro,7.92679071322935,-4.07320928677065,3000,800.0,31,30,2,0.2
